,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,pGOi6_Uq4WI,Aprende Inglés Americano con 2 Acentos de USA,45,8,0.125,0,2019-04-17,17:22:07,2,afternoon,2113187,120825,1813,0,11263,15.2,hd,true,True,https://i.ytimg.com/vi/pGOi6_Uq4WI/maxresdefault.jpg,1280,720,"['ingles', 'español', 'aprende ingles', 'aprende ingles americano', 'acentos de usa', 'acentos de estados unidos', 'ingles sureño', 'ingles sureño estados unidos', 'southern english accent', 'acento neoyorquino', 'acento de nueva york', 'acento de new york', 'neoyorquino', 'aprende ingles rapido', 'jerga de estados unidos', 'jerga en ingles', 'jerga en ingles americano', 'ingles americano', 'hablar como los americanos', 'american accent', 'american english', 'vlog güero', 'ingles estadounidense', 'American Boy']",24,22,none,es,,American Boy,296000,8824790,70,"🛑Practica Ingles o Español con mi curso de idiomas: http://bit.ly/americanboycurso   

✏ ¿Necesitas una traducción? https://bit.ly/translationsnow

Si estudias el inglés americano, seguro que has oído hablar de los varios acentos de EEUU. En este video, mi amigo Roberto (Vlog Güero) les enseñamos las diferencias entre nuestros acentos en inglés; el Neoyorquino y el sureño. Si alguna vez has visto una película que cuenta una historia en Nueva York, sabes que el acento neoyorquino es muy distinto. Y si alguna vez has visto una película que cuenta una historia del campo, también sabes que los acentos del sur también son distintos. 

Así que en este video hablamos sobre el acento americano, nuestros acentos, vocabulario en inglés, la jerga de nuestras regiones y unos language tips.

📱Sígueme en Instagram: https://www.instagram.com/americanboy/
🎥Suscríbete al Canal de Robert: @Vlog Güero 

mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE"
1,eJa8udXHrn8,Como Hablan los Venezolanos,27,4,0.0,0,2017-10-29,22:50:09,6,night,1872284,55034,1552,0,4778,11.416666666666666,hd,false,True,https://i.ytimg.com/vi/eJa8udXHrn8/maxresdefault.jpg,1280,720,"['como hablan los venezolanos', 'venezolanos', 'frases venezolanas', 'acentos', 'venezuela', 'venezolano', 'español venezolano', 'español', 'hablando venezolano', 'dialecto venezolano', 'español de venezuela', 'youtuber venezolano', 'spanish', 'gringo hablando español', 'gringo', 'palabras venezolanas', 'acento venezolano', 'venezuela libre', 'venezuela libre 2019', 'youtuber venezolana']",20,22,none,,,American Boy,296000,8824790,70,"📑¿Necesitas una traducción? https://bit.ly/translationsnow

Siempre me costaba entender el español de Venezuela, así que en este video, mi amiga Sonia, una youtuber venezolana, me enseña frases y palabras venezolanas : ) 

Hicimos un video en el canal de Sonia: http://bit.ly/2icZQ7J
la historia de mi acento español: https://youtu.be/CalnwLb13Ws

Venezuela Libre ❤️

Suscríbete a mi canal: http://bit.ly/americanboysubscribe
Sígueme en Twitter: https://twitter.com/AmericanBoy
Sígueme en Instagram: https://www.instagram.com/americanboy/

mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE"
2,hxo-0FaOsSM,COMO HABLAN LOS DOMINICANOS 🇩🇴,30,4,1.0,0,2019-05-18,10:15:26,5,morning,580665,25620,484,0,4536,22.5,hd,false,True,https://i.ytimg.com/vi/hxo-0FaOsSM/maxresdefault.jpg,1280,720,"['republica dominicana', 'palabras dominicanas', 'frases dominicanas', 'youtuber dominicanos', 'acento dominicano', 'republica dominicana turismo', 'palabras dominicanas que vienen del ingles', 'frases dominicanas y su significado', 'frases dominicanas de tigueraje', 'frases dominicanas de calle', 'español dominicano', 'aprender español', 'learn spanish', 'como se habla en rd', 'language tips', 'gringo hablando español', 'como hablan los dominicanos', 'humor dominicano', 'dominicanos hablando']",19,22,none,es,['https://en.wikipedia.org/wiki/Entertainment'],American Boy,296000,8824790,70,"📑¿Necesitas una traducción? https://bit.ly/translationsnow

🎥 Suscríbete al Canal de Felix: https://www.youtube.com/user/analisalaman
📱Sígueme en Instagram: https://www.instagram.com/americanboy/

Si estudias español, seguro que has oído hablar de los varios acentos del idioma, especialmente el español dominicano. Y si alguna vez has oido a un dominicano hablando, ya sabes que es un español muy distinto. Así que en este video, mi amigo Felix Baez me enseña unas palabras y frases de la República Dominicana. 

Así que en este video hablamos sobre el acento dominicano, vocabulario en español, la jerga dominicana y unos language tips.

mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE"
3,aP8loSFLsyg,¿Por Qué Se Habla Español en Estados Unidos?,45,9,0.0,0,2017-08-27,18:55:23,6,night,451958,40595,509,0,5696,4.633333333333333,hd,false,True,https://i.ytimg.com/vi/aP8loSFLsyg/maxresdefault.jpg,1280,720,"['Español en Estados Unidos', 'Español en EEUU', 'Español en USA', 'Español Americano', 'Gringo Hablando Español', 'Gringos Hablando Español', 'hablando español', 'español', 'spanish', 'spanish in the united states', 'estados unidos', 'gringos', 'how i learned spanish', 'learn spanish', 'mexicanos en estados unidos', 'racismo en españa', 'como aprender español', 'proyectos de español en estados unidos', 'enseñando español en estados unidos', 'personas hablando español en estados unidos', 'gringo hablando español']",21,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],American Boy,296000,8824790,70,"📑¿Necesitas una traducción? https://bit.ly/translationsnow

🎧 2 Audiolibros en Inglés GRATIS: https://geni.us/audiolibrosgratis

Si estás leyendo esto, dime cuales son los idiomas que se hablan en tu país! 

He hablado antes de como algo que la gente siempre quiere saber sobre mi es por qué hablo español.

Pues a veces esta pregunta me da la sensación de que para muchas personas, es raro el hecho de que yo sea un estadounidense bilingüe que habla español - es como si fuera algo único, o digamos - especial. 

En realidad, no es nada especial. Pero por alguna razón u otra, cuando la gente se entera de que soy de EEUU, en la mayoría de los casos, la reacción es una de asombro.

Y bueno yo entiendo que a la mayoría de los estadounidenses, no les interesa aprender otro idioma, mucho menos hacer el esfuerzo para hacerlo, pero al mismo tiempo, hay muchos de nosotros a quienes les encanta el aprendizaje de idiomas - y la mayoría de estas personas deciden aprender español por la cantidad de personas en el país que lo hablan en EEUU. 

De hecho, en Estados Unidos tenemos la segunda población más grande de hispanohablantes del mundo. Hay varias partes del país en que mucha gente no sabe ingles porque no es necesario saberlo porque todo el mundo habla español.

¿Pero por qué se habla español en EEUU? O sea, ¿De donde viene esa conexión entre la cultura hispana y la cultura gringa? 

Tras el “descubrimiento” de las Américas en 1492 por Cristóbal Colón, los Reyes Católicos de España patrocinaron varios viajes al nuevo mundo. Y uno de esos viajes terminó con el establecimiento de La Florida por Juan Ponce de León en 1513. 

¿Eso significa que los españoles llegaron a Estados Unidos antes de los ingleses? 

Exacto. De hecho, los Ingleses no llegaron hasta el siglo 17 con el establecimiento de la colonia de Jamestown, Virginia. 

¿Y eso significa que en Estados Unidos, se hablaba español casi 100 años antes de que se hablara ingles?

Sígueme en Instagram: https://www.instagram.com/americanboy/

Exacto. Tampoco yo lo sabía.  

Pero la historia no termina con la Florida porque fíjate que siempre hemos compartido frontera con México. 

Antes de la guerra entre Estados Unidos y México en el siglo 19, varios territorios o estados que hoy se ubican en Estados Unidos formaban parte de México. 

¿Estas diciendo que los Mexicanos vivían en Estados Unidos antes de los gringos?! 

Sí. Y eso significa que la historia hispana y el idioma español tienen una presencia mucho más larga que la historia anglosajona aquí en Estados Unidos. Y con 50 millones hispanohablantes viviendo ahora en Estados Unidos, el Instituto Estadística del país estima que en 2050, Estados Unidos tendrá la población más grande de hispanohablantes del mundo. 

Así que si tomamos en cuenta, se puede decir que el español forma parte de la identidad lingüística y cultural los Estados Unidos. Y por eso lo aprendí. Y así, aunque no soy latino, el español se convirtió en una parte de mi identidad.


mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE"
4,KsCAvQ7-6jA,COMO APRENDER INGLÉS | 3 TIPS IMPORTANTES,41,6,0.8333333333333334,0,2018-11-06,21:50:39,1,night,265704,20483,233,0,1524,15.383333333333333,hd,false,True,https://i.ytimg.com/vi/KsCAvQ7-6jA/maxresdefault.jpg,1280,720,"['como aprender ingles', 'como aprender ingles rapido y facil', 'ingles americano', 'aprender ingles', 'curso de ingles', 'ingles basico', 'aprender ingles rápido', 'aprenda ingles', 'aprender inglés', 'how i learned spanish', 'como hablan los venezolanos', 'gringo hablando español', 'bilingüe', 'como ser bilingue rapido', 'ser bilingue', 'ser bilingue en los estados unidos', 'como hablar ingles como americano', 'ingles canadiense', 'ingles de canada', 'aprende ingles', 'acento americano', 'language tips']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],American Boy,296000,8824790,70,"📑¿Necesitas una traducción? https://bit.ly/translationsnow

Casi todo el mundo quiere aprender ingles. Pero para muchos, les resulta demasiado difícil. En este video, les doy unos language tips con 3 razones por las cuales el inglés les parece difíicil y como TU puedes superar estas dificultades para aprender más inglés, más rápido : ) 

Suscríbete a mi canal: http://bit.ly/americanboysubscribe
Sígueme en Instagram: https://www.instagram.com/americanboy/ 

Jerga Estadounidense/English Slang: https://youtu.be/XWWMLD-52JU

Como Hablan los Venezolanos: https://youtu.be/eJa8udXHrn8

Si lees esto comenta: Barbie Noble : )

mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE"
5,PsAtMiw7d14,APRENDE INGLÉS AMERICANO CON LA MÚSICA DE MIGOS | ACENTO SUREÑO,63,10,1.0,0,2019-08-17,11:17:45,5,afternoon,260415,25873,212,0,1668,15.816666666666666,hd,false,True,https://i.ytimg.com/vi/PsAtMiw7d14/maxresdefault.jpg,1280,720,"['Migos', 'Migos English', 'acento de migos', 'Cardi B', 'ingles', 'aprende ingles', 'aprende ingles con musica', 'español', 'aprende ingles cantando', 'ingles canciones', 'jerga americana ingles', 'jerga americana', 'learn english', 'english slang', 'hip hop', 'como aprender ingles', 'language tips', 'aprender ingles', 'ingles americano', 'language learning', 'aprende ingles americano', 'atlanta', 'atlanta hip hop', 'trap en ingles', 'hip hop en ingles', 'ingles sureño', 'ingles sureño estados unidos', 'ingles acento sureño']",28,22,none,es,['https://en.wikipedia.org/wiki/Hip_hop_music'],American Boy,296000,8824790,70,"💻 Nuevo Curso de Inmersión: http://bit.ly/americanboycurso

🎧 2 Audiolibros en Inglés GRATIS: https://geni.us/audiolibrosgratis
📱Sígueme en Instagram: https://www.instagram.com/americanboy/

Si estudias el inglés americano, seguro que has oído mucho de la jerga de EEUU, especialmente en las canciones de Hip Hop. En este video, les enseño unas palabras y frases de jerga en inglés que se pueden oír en las canciones de Migos, el grupo de Trap en Inglés de Atlanta, Georgia. 

Si alguna vez has oído una canción de ellos, sabes que cantan un acento sureño, que es uno de los acentos más conocidos del país y uno que definitivamente deberías saber si estudias inglés.

Así que en este video hablamos sobre esa jerga de USA, nuestros acentos, vocabulario en inglés, y unos language tips.

🎧 Audifonos: https://geni.us/audifonos
📷 mi cámara: https://geni.us/0qnpByx
🎥 mi lente: https://geni.us/Hu2A
🎤 mi micrófono: https://geni.us/IAJwMnE"
6,AdyLXa_eJgM,COMO HABLAN LOS DOMINICANOS Pt. 2 🇩🇴| Me Voy de Viaje 🛩,55,10,0.4,0,2019-07-03,07:58:43,2,morning,257908,16197,261,0,1641,15.5,hd,false,False,https://i.ytimg.com/vi/AdyLXa_eJgM/maxresdefault.jpg,1280,720,"['republica dominicana', 'palabras dominicanas', 'frases dominicanas', 'youtuber dominicanos', 'acento dominicano', 'republica dominicana turismo', 'palabras dominicanas que vienen del ingles', 'frases dominicanas y su significado', 'frases dominicanas de tigueraje', 'frases dominicanas de calle', 'español dominicano', 'aprender español', 'learn spanish', 'como se habla en rd', 'language tips', 'gringo hablando español', 'como hablan los dominicanos', 'humor dominicano', 'dominicanos hablando', 'dominican spanish']",20,22,none,es,['https://en.wikipedia.org/wiki/Entertainment'],American Boy,296000,8824790,70,"🎥 Suscríbete al Canal de Felix: https://www.youtube.com/user/analisalaman

📱Sígueme en Instagram: https://www.instagram.com/americanboy/

Si estudias español, seguro que has oído hablar de los varios acentos del idioma, especialmente el español dominicano. Y si alguna vez has oido a un dominicano hablando, ya sabes que es un español muy distinto. Así que en este video, mi amigo Felix Baez me enseña unas palabras y frases de la República Dominicana. 

Así que en este video hablamos sobre el acento dominicano, vocabulario en español, la jerga dominicana y unos language tips.

mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE"
7,XWWMLD-52JU,Inglés Americano | Jerga de EEUU | American Slang,49,7,0.14285714285714285,0,2018-01-27,08:22:52,5,morning,237943,14040,116,0,1213,15.783333333333333,hd,false,True,https://i.ytimg.com/vi/XWWMLD-52JU/maxresdefault.jpg,1280,720,"['slang estadounidense', 'jerga norteamericano', 'jerga estadounidense', 'jerga americano', 'jergas en ingles', 'ingles estadounidense', 'ingles norteamericano', 'jerga', 'roberto gerringer', 'american slang', 'slang', 'como aprender ingles', 'hablar ingles', 'aprender ingles', 'aprender ingles rapido', 'ingles americano', 'ingles', 'aprenda ingles rapido y facil', 'gringo hablando español', 'español', 'como hablan los gringos', 'english slang', 'slang americano', 'american boy', 'expresiones en ingles']",25,22,none,,,American Boy,296000,8824790,70,"Si quieres aprender el inglés americano rápido como los gringos, este video es para ti. Mi amigo Roberto Gerringer y yo les enseñamos algunas de las palabras, jerga, y expresiones en inglés mas típicas de nuestro querido Estados Unidos. 

Pueden utilizar estas palabras y frases para hablar inglés norteamericano con un toque más informal. 

¿Cuál fue tu favorita? ¿Quieres aprender mas jerga estadounidense? Dímelo en los comentarios : )  

Ver el video en el canal de Roberto: https://youtu.be/SC4b7M-JwmQ

Saber la historia de mi acento español: https://youtu.be/CalnwLb13Ws

Suscríbete a mi canal: http://bit.ly/americanboysubscribe
Sígueme en Twitter: https://twitter.com/AmericanBoy
Sígueme en Instagram: https://www.instagram.com/americanboy/"
8,YDPF1ot4XTY,¿Cuánto Cuesta Vivir en Nueva York?,35,6,0.0,0,2017-03-31,00:58:11,4,late_night,200577,7873,528,0,737,4.65,hd,false,True,https://i.ytimg.com/vi/YDPF1ot4XTY/maxresdefault.jpg,1280,720,"['cuanto cuesta vivir en nueva york', 'nueva york', 'nyc', 'cuanto cuesta nyc', 'como mudarme a nueva york', 'apartamentos en nueva york', 'donde vivir en nueva york', 'cuanto cuesta visitar nueva york', 'how i learned spanish', 'ny', 'new york', 'live in nyc', 'spanish', 'espanol', 'español', 'hacer la mudanza', 'mudanza']",17,22,none,,,American Boy,296000,8824790,70,"💻 Nuevo Curso de Inmersión: http://bit.ly/cursodeinmersion

Suscríbete a mi canal: http://bit.ly/americanboysubscribe
Sígueme en Twitter: https://twitter.com/AmericanBoy
Sígueme en Instagram: https://www.instagram.com/americanboy/

¿Así que quieres vivir en Nueva York? Pues te doy la bienvenida porque me encanta vivir en esta ciudad. Me mudé aquí hace 8 años para estudiar y fue la mejor decisión que había tomado en mi vida. 

Es impresionante, tiene energía, tiene magia, tiene oportunidad, tiene de todo...

Y como es la ciudad más famosa del mundo, casi todo el mundo quiere mudarse acá. Y bueno lo entiendo porque yo también era una de esas personas. 

Pero quería hacer este video porque muchas personas que no viven acá piensan que esta ciudad es una utopía. Pero la verdad es que la realidad de Nueva York es menos bonita que la imagen que se ve en la televisión o en las películas. 

Así que si estás pensando en mudarte acá, hay unas cositas que deberías saber. 

Primero que nada tienes que saber que vivir en Nueva York es difícil. Para tener éxito acá tienes que ser una persona bastante fuerte que pueda aguantar toda la mierda que esta ciudad te va a tirar. 

A veces literalmente. 

Para darte una idea: imagínate que te despiertas a las 6 de la mañana porque la calefacción no sirve asi que te estás muriendo de frío, y los obreros de construcción acaban de empezar su día laboral justo en frente de tu apartamento así que puedes oír cada ruido de los martillos y herramientas que utilizan. Tras un intento inútil de cubrir los oídos con tu almohada, te das por vencido y te levantas para ducharte...pero como la calefacción no sirve, no tienes agua caliente así que tienes que elegir entre ir al trabajo oliendo a mierda o arriesgarte la vida con el agua helada que te va a matar de hipotermia. Luego, sales de la casa a la hora perfecta para llegar a tiempo al trabajo, pero sin darte cuenta, pisas una pila de mierda….y parece humana. 

Solamente en Nueva York. 

Pero lo más importante es que Nueva York es una de las ciudades más caras del mundo así que es mejor tener una cantidad suficiente de ahorros cuando te mudes. Y bueno, la cantidad exacta que vas a necesitar depende de varias cosas pero yo te voy a decir esto. 

Si te vas a mudar a Nueva York y no eres millonario, no te mudes hasta que que tengas un empleo. Y yo sé que muchas personas vienen a Nueva York sin un trabajo y se quedan con un amigo... pero vamos….no quieres ser ese “amigo” que se queda en el sofá de un amigo por 3 meses sin pagar ni un centavo. A los neoyorquinos no nos gustan esas personas así que no seas como esas personas. 

Si te vas a mudar tu solo, los apartamentos más baratos cuestan entre $1,500-2000 al mes. Así que si ya tienes tu empleo, te recomiendo que tengas como entre $6,000-$8000 en tu cuenta bancaria cuando llegues. Vas a gastar como $5000 para alquilar un apartamento porque te van a cobrar 2 meses de alquiler y otro mes de fianza. 

Pero si vas a vivir con dos o tres roommates, cada uno va a pagar como entre $800-1000 al mes. Pero eso no incluye los gastos mensuales como el internet, electricidad, el metro, tu celular, el gimnasio, comida, y diversión.  

Así que la pregunta era “¿Cuánto cuesta vivir en Nueva York?” verdad? Pues les digo que les va a costar un chingo de lana. 

Y bueno si el costo de la vida no te asusta, es porque eres bastante rico, bastante loco, o quizás las dos cosas. Pero de todos modos si sigues con ganas de vivir aquí ya que sabes cuanto te va a costar, te mereces una enhorabuena porque es aún más probable que tu tengas la fuerza mental necesaria para sobrevivir en esta gran ciudad. 

Pero bueno a parte de eso me encanta vivir en Nueva York en serio. Esta ciudad me ha tantas oportunidades por las cuales estoy completamente agradecido. 

Y si tienen más preguntas sobre la vida en Nueva York, déjenme algo en los comentarios y allí los puedo ayudar con cualquier duda que tengan. 

Y bueno si están pensando en venir de vacaciones o para vivir por un tiempo, espero verlos por acá pronto : )"
9,p5VvKIDeIMQ,Como Hablan los Venezolanos: Parte 2,36,6,0.0,0,2018-08-26,21:18:00,6,night,185344,13189,115,0,1941,16.166666666666668,hd,false,True,https://i.ytimg.com/vi/p5VvKIDeIMQ/maxresdefault.jpg,1280,720,"['como hablan los venezolanos', 'frases venezolanas', 'venezolano', 'español venezolano', 'español', 'hablando venezolano', 'español de venezuela', 'gringo hablando español', 'palabras venezolanas', 'gringo', 'acento venezolano', 'acento venezuela', 'acento venezolano maracucho', 'acento venezolano caracas', 'venezuela', 'venezolanos', 'venezuela libre', 'venezuela libre 2019']",18,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],American Boy,296000,8824790,70,"📑¿Necesitas una traducción? https://bit.ly/translationsnow

PARTE II 

Mi amiga Sonia me enseña frases y palabras venezolanas : ) 

Ver Parte I: https://youtu.be/eJa8udXHrn8
Hicimos un video en el canal de Sonia: http://bit.ly/2icZQ7J
la historia de mi acento español: https://youtu.be/CalnwLb13Ws

Suscríbete a mi canal: http://bit.ly/americanboysubscribe
Sígueme en Twitter: https://twitter.com/AmericanBoy
Sígueme en Instagram: https://www.instagram.com/americanboy/

mi cámara: https://geni.us/0qnpByx
mi lente: https://geni.us/Hu2A
mi micrófono: https://geni.us/IAJwMnE

Venezuela Libre ❤️"
