,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,o2-ftYNOWts,El Guerito REACCIONA a NO SE ACEPTAN DEVOLUCIONES,49,8,0.625,0,2021-03-26,16:15:01,4,afternoon,1203,82,0,0,22,14.5,hd,false,False,https://i.ytimg.com/vi/o2-ftYNOWts/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español', 'no se aceptan devoluciones', 'reacciones', 'eugenio derbez', 'gringo reacciona', 'gringa reacciona', 'el guerito reacciona', 'reaccionando a un gringo en mexico', 'rusos reaccionan', 'rusos reaccionan a musica mexicana', 'ford quarterman', 'los gringo tv', 'los gringo tv en despierta america', 'instructions not included']",24,24,none,es-MX,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",El Güerito,226,3833,31,"Reacciono a No Se Aceptan Devoluciones por primera vez! Estuvo bonita esta película. 

El Guerito REACCIONA a NO SE ACEPTAN DEVOLUCIONES

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
1,UXPJzgquF5k,Amigo Mexicano ¿Cuánto Sabes? - El Güerito Aprende,50,7,0.0,0,2021-02-12,18:15:00,4,night,204,23,0,0,11,8.166666666666666,hd,false,False,https://i.ytimg.com/vi/UXPJzgquF5k/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español', '¿Cuánto Sabes?', 'cuanto sabes de geografia', 'cuanto sabes de cultura general', 'datos curiosos', 'datos de mexico', 'omegle', 'trivia preguntas', 'trivia preguntas y respuestas', 'el güerito aprende', 'curiosidades del mundo', 'curiosidades de mexico']",22,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"Hago preguntas sobre el país de México a personas desconocidas. ¿Cuantas sabes tu?  

Amigo Mexicano ¿Cuánto Sabes? - El Güerito Aprende

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
2,1ghPWlwd0o4,Amigo Colombiano ¿Cuánto Sabes? - El Güerito Aprende,52,7,0.0,0,2021-02-19,17:15:15,4,afternoon,192,23,0,0,25,8.383333333333333,hd,false,False,https://i.ytimg.com/vi/1ghPWlwd0o4/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español', 'omegle', 'reacciones por omegle', 'curiosidades de colombia', 'cuanto sabes de geografia', 'amigo colobiano ¿cuanto sabes?', 'el güerito aprende', 'preguntas de colombia cultura general', 'preguntas de colombia', 'argentina contra colombia', 'argentinas', 'colombiana', 'colombia']",23,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"Hago preguntas del de Colombia a la gente, el ganador te va a sorprender... 

Amigo Colombiano ¿Cuánto Sabes? - El Güerito Aprende

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
3,B4g4XB3TcLA,GRINGO REACCIONA a 15 cosas que MÉXICO tiene y OTROS PAÍSES NO,62,12,0.5,0,2021-06-11,18:45:00,4,night,180,27,0,0,18,9.466666666666667,hd,false,False,https://i.ytimg.com/vi/B4g4XB3TcLA/hqdefault.jpg,480,360,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español']",11,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"Supiste estas cosas únicas sobre Mexico?

GRINGO REACCIONA a 15 cosas que MÉXICO tiene y OTROS PAÍSES NO

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
4,-vyTmvVRZ-A,El Güerito Canta - Me Gusta Todo Ti,35,7,0.0,0,2020-12-25,16:45:00,4,afternoon,160,26,0,0,6,3.5,hd,false,False,https://i.ytimg.com/vi/-vyTmvVRZ-A/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'la banda el recodo', 'el recodo', 'banda', 'el guerito canta', 'el güerito canta', 'me gusta todo de ti', 'cantar', 'canciones', 'mujeres hermosas', 'modelo', 'modelo bonita', 'mujer hermosa', 'banda el recodo', 'gringo show', 'mexico', 'todo de ti']",22,24,none,es-MX,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",El Güerito,226,3833,31,"Un amigo mio me pidió que hiciera este video. Fue muy divertido hacer, aunque me falta mucho para cantar bien. jaja

El Güerito Canta - Me Gusta Todo Ti

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
5,vMvG5v4ka5A,El Guerito REACCIONA a NO MANCHES FRIDA,39,7,0.5714285714285714,0,2021-04-02,23:51:00,4,late_night,146,11,0,0,0,1.5666666666666667,hd,false,False,https://i.ytimg.com/vi/vMvG5v4ka5A/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español', 'no manches frida', 'omar chaparro', 'martha higareda', 'El Guerito REACCIONA a NO MANCHES FRIDA', 'reaccionando a un gringo en mexico', 'peliculas mexicanas 2020', 'el guerito reacciona', 'gringo reacciona a', 'peliculas chistosas', 'gringo aprende español', 'conoce al gringo']",22,24,none,es-MX,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",El Güerito,226,3833,31,"Soy un gringo conociendo a la cultura Mexicana. Me pidieron ver No Manches Frida, entonces lo hice :) Y disculpe si estabas mirando al live stream porque lo quitaron! Pero aquí esta el video completo! 

El Guerito REACCIONA a NO MANCHES FRIDA

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
6,8tdJ5DnLOfw,Güerito Habla Como SINALOENSE - El Güerito Imita,48,7,0.14285714285714285,0,2021-01-15,16:45:01,4,afternoon,125,13,0,0,14,5.633333333333333,hd,false,False,https://i.ytimg.com/vi/8tdJ5DnLOfw/maxresdefault.jpg,1280,720,"['el güerito imita', 'güerito habla como sinaloense', 'el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo habla', 'gringo hablando español', 'americano hablando español', 'guero hablando español', 'reacciones', 'gringo habla como mexicano', 'acentos mexicanos', 'acento de sinaloa', 'acento sinaloense', 'Sinaloa', 'omegle', 'reacciones de omegle', 'el guerito ojos azules']",23,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"Un Americano imita el acento de Sinaloa, México.. le salió bien o no?

Güerito Habla Como SINALOENSE - El Güerito Imita

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
7,JgIcy1Vp-ZU,¿Cuál es la MEJOR Película Mexicana? - El Güerito Reacciona,59,9,0.1111111111111111,0,2021-03-19,16:15:00,4,afternoon,120,20,1,0,25,7.25,hd,false,False,https://i.ytimg.com/vi/JgIcy1Vp-ZU/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español', 'pelicula mexicana', 'cine mexicano', 'cine méxico', 'cual es la mejor pelicula mexicana de todos los tiempos', '¿Cuál es la MEJOR Película Mexicana?', 'reacciones a peliculas', 'la mejor pelicula mexicana', 'eugenio derbez', 'pedro infante', 'omar chaparro', 'no manches frida', 'no se aceptan devoluciones']",23,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"Pregunto a la gente cual película Mexicana es la mas chida, la mas padre. ¿Que opinas?

¿Cuál es la MEJOR Película Mexicana? - El Güerito Reacciona

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
8,IP7msF60v3Q,Amigo Argentino ¿Cuánto Sabes? - El Güerito Aprende,51,7,0.0,0,2021-02-26,17:15:14,4,afternoon,108,23,0,0,21,8.35,hd,false,False,https://i.ytimg.com/vi/IP7msF60v3Q/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo hablando el español', 'americano hablando el español', 'guero hablando el español', 'buenos aires', 'argentina', 'Amigo Argentino ¿Cuánto Sabes?', '¿Cuánto Sabes?', 'El Güerito Aprende', 'curiosidades de argentina', 'datos de argentina', 'datos interesantes de argentina', 'prueba de conocimiento', 'prueba de conocimiento general', 'juego de preguntas y respuestas', 'preguntas de argentina', 'preguntas de argentina a extranjeros']",24,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"¿Cuánto sabes del país de Argentina? Veremos ;)

Amigo Argentino ¿Cuánto Sabes? - El Güerito Aprende

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
9,rKPAHD3oamk,Trabalenguas Gringo v  Latinos  El Güerito Aprende,50,7,0.0,0,2021-01-08,16:00:26,4,afternoon,104,16,0,0,14,8.05,hd,false,False,https://i.ytimg.com/vi/rKPAHD3oamk/maxresdefault.jpg,1280,720,"['el güerito', 'el güero', 'gringo', 'amerciano', 'guero', 'guerito', 'el guerito', 'mexico', 'gringo loco', 'gringo mexicano', 'learn spanish', 'trabalenguas', 'trabalenguas mexicanos', 'trabalenguas para niños', 'americano hablando español', 'gringo hablando español', 'cuando cuentas cuentos cuenta cuantos cuentos cuentas', 'cuando cuentes cuentos', 'tres tristes tigres', 'chile', 'colombia', 'argentina', 'el güerito aprende', 'El guerito aprende', 'estadounidense aprendiendo español', 'gringos aprendiendo español']",26,24,none,es-MX,['https://en.wikipedia.org/wiki/Entertainment'],El Güerito,226,3833,31,"Yo batallo contra personas latinas en una guerra de trabalenguas. Quien va a ganar??...

Trabalenguas Gringo v  Latinos  El Güerito Aprende

Si te gustó este video, dale un like, suscríbete, activa la camapana de notificaciones, y lo más importante, comparte los videos con tus amigos. Muchas thank you :)

✅ Suscríbete para mas videos chidos!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

🛑Mira estes series de videos también!

El Güerito:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x2elidPa1AbwW4HxsOBcTx

El Güerito Canta:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zjCe_KAeiMbfKTGL-ayDXg

El Güerito Viaja:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_ySAb4yZHPWpGX1mxRl0df8

El Güerito Reacciona:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_zuW_cYEGuI3XDz50r3hQGM

El Güerito Aprende:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_xNOGlVwJPZ30u8_iuqHFuw

El Güerito Imita:
https://www.youtube.com/playlist?list=PLH8iGvCCBF_x5lKxDJKal00P6RHQ0v_Lo

Nuevos videos cada Viernes por la tarde! 

Envíame un correo si prefieres: elguerito667@gmail.com
 
#elgüerito #elguerito"
