,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,Lq5JZdrKds0,Gringo Probando Comida Callejera Mexicana,41,5,0.0,0,2018-11-25,21:05:22,6,night,2322682,96402,1721,0,7701,12.216666666666667,hd,false,True,https://i.ytimg.com/vi/Lq5JZdrKds0/maxresdefault.jpg,1280,720,"['gringo', 'gringos', 'wheres the gringo', 'ford quarterman', 'mexican food', 'comida mexicana', 'tacos', 'quesadillas', 'cochinita pibil', 'gringo mexicano', 'mexican gringo', 'mexico city', 'chile rellenos', 'cdmx', 'ciudad de mexico', 'gringo probando comida mexicana', 'chile mexicano', 'luisito comunica', 'ford quaterman', 'ford gringo', 'güero mexicano', 'comida callejera mexicana', 'tacos callejeros', 'tacos de la calle', 'tacos de la esquina', 'coreano vlogs', 'wero', 'wero wero tv']",28,19,none,es-MX,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Ford Quarterman,578000,49431898,122,"México tiene la mejor comida en el mundo, y ni siquiera tienes que entrar en un restaurante para gozarla! Caminando por la calle en una ciudad mexicana uno se encuentra con demasiadas opciones.

Este video grabé a través de 3 días, documentando mis experiencias con los puestos de comida cerca de mi departamento en La Condesa, CDMX. Espero que les guste :)

QUE VIVA LA COMIDA CALLEJERA MEXICANA. QUE VIVA MÉXICO CABRÓNES!!!!

Síganme en Instagram: http://www.instagram.com/fordquarterman"
1,0KgfTKERTu8,MI PERRA MAE MAE TUVO 13 CACHORROS CHOCOLATITOS 🐶🍫🥰,51,8,0.875,0,2019-12-23,14:33:51,0,afternoon,2212467,60525,1428,0,3640,12.85,hd,false,True,https://i.ytimg.com/vi/0KgfTKERTu8/maxresdefault.jpg,1280,720,"['ford quarterman', 'gringo', 'gringo mexicano', 'dogs', 'puppies', 'puppy', 'chocolate labs', 'labrador', 'mexico', 'vlogs', 'dog lovers', 'labrador retrievers', 'vagaboom', 'nacimiento', 'nace bebe', 'nace perritos', 'cachorros', 'cachorritos', 'cachorros labradores', 'feliz navidad', 'familia', 'nace bebe en casa', 'kenro vlogs', 'wero wero', 'coreano vlogs', 'luisito comunica', 'welping box', 'pig rail', 'vagaboom bebe', 'puppy birth', 'puppy videos', 'puppy lovers', 'perros', 'perritos']",34,15,none,es-MX,,Ford Quarterman,578000,49431898,122,"Mae Mae, nuestra querida labradora chocolate, tuvo 13 cachorros en casa el otro día, y documenté toda la experiencia!

Nunca he hecho un video con toda mi familia, y ¿qué mejor momento hacerlo que cuando la familia se multiplica? 

De nuestra familia a la suya, ¡FELIZ NAVIDAD! 

Quédense pendientes por más videos de toda esta experiencia hermosa aquí en YouTube. 

Parte 2 - https://youtu.be/YoVzsITfbZY
Parte 3 - https://youtu.be/u_pi5HNx9U4

Les invito a seguirme en Instagram donde publico historias diarias de nuestras hermosuras chocolatitas! 🐶🍫🥰

Mi Instagram - http://instagram.com/fordquarterman
Mi Facebook - http://facebook.com/fordquarterman"
2,A-6XtZ0vu3s,¿POR QUÉ MÉXICO? EXPLICADO POR UN GRINGO,40,7,1.0,0,2018-11-05,15:14:32,0,afternoon,2139861,150885,1806,0,12904,9.6,hd,false,True,https://i.ytimg.com/vi/A-6XtZ0vu3s/maxresdefault.jpg,1280,720,"['gringo', 'gringos', 'gringo mexicano', 'ford quarterman', 'wheres the gringo', 'por que méxico', 'mexico lindo y querido', 'why méxico?', 'viva mexico cabrones', 'méxico', 'mexican food', 'mexican cuisine', 'mexican culture', 'mexican music', 'tacos', 'gringo loco', 'superholly', 'ford quateman', 'gringo in mexico', 'mexican gringo', 'why mexico', 'porque mexico', 'luisito comunica', 'coreano vlogs', 'los gringos tv', 'donald trump', 'donald trump mexico']",27,19,none,es-MX,,Ford Quarterman,578000,49431898,122,"En este video hablo por qué prefiero vivir en México que cualquier otro lugar. Es un país que nosotros, los gringos, damos por sentado, y no lo entiendo.

Después de viajar por el mundo durante los últimos 5 años, y después de manejar mi carro por la panamericana de EEUU a la Patagonia, Argentina a través de los últimos 2.5 años, escogí México lindo y querido. México ha cambiado mi vida. Me ha dado todo. No hay otro lugar igual, y este video es un homenaje de mi amor por México.

El sueño mexicano es el nuevo sueño americano.

¡¡¡QUE VIVA MÉXICO CABRONES!!

COMPARTIRLO SI TE SIENTES IDENTIFICADO!

Síganme en Instagram: http://www.instagram.com/fordquarterman

Sígan a Los Gringos TV: 

Instagram: http://www.instagram.com/losgringostv

Youtube: https://www.youtube.com/channel/UCeNbjSxLc97882xje6JtiAA"
3,zwnEzQyFEac,PROBÉ LAS TORTAS AHOGADAS DE GUADALAJARA Y ESTO ME PASÓ,55,10,1.0,0,2019-10-29,11:00:10,1,afternoon,2014091,39660,540,0,3705,15.016666666666667,hd,false,True,https://i.ytimg.com/vi/zwnEzQyFEac/maxresdefault.jpg,1280,720,"['gringo', 'mexicano', 'quarterman', 'mexican', 'food', 'tacos', 'comida', 'mexicana', 'wero', 'güero', 'vlogs', 'torta ahogada', 'mexican food', 'comida mexicana', 'guadalajara', 'gdl', 'jalisco', 'gastronomy', 'tortas las famosas', 'quesadillas', 'luisito comunica', 'ford quarterman', 'gringo mexicano', 'mexican gringo', 'gringo in mexico', 'spicy food', 'hot sauce challenge', 'picante', 'salsa picante', 'chile mexicano', 'tapatio', 'tortas', 'torta mexicana', 'learn spanish', 'aprende ingles', 'habla ingles']",36,19,none,es-MX,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Ford Quarterman,578000,49431898,122,"Fui a probar las famosas tortas ahogadas de Guadalajara por la primera vez, y aunque me gustaron, me enchilé BIEN cabrón!

Cuál es la mejor torta ahogada en México? Fui a comparar 5 de las más recomendadas. Están de acuerdo con mi selección, o creen que no fui al mejor lugar? Ustedes me dirán en los comentarios!

Tortas Ahogadas probadas en el video:

Don Jose El de la Bicicleta - https://www.facebook.com/pages/Las-Tortas-De-Don-Jose-El-De-La-Bici/242959309063896

Tortas Toño - http://www.tortastono.com.mx/

Torta El Príncipe Heredero (Las de Sears) - https://www.facebook.com/TortasSears/

El Güerito - https://www.facebook.com/Tortas-Ahogadas-el-G%C3%BCerito-391609937604678/

Tortas El Beto - https://www.facebook.com/pages/Tortas-Ahogadas-De-Chamorro-Don-Beto/355543997862863

Cuál es el plato típico de tu region? Crees que debería hacer un video al respecto?

Mis otras redes sociales:

Instagram - http://instagram.com/fordquarterman
Facebook - http://facebook.com/fordquarterman

#tortaahogada #guadalajara #tortasahogadas"
4,eYd6cm4KJyY,FINGÍ NO HABLAR ESPAÑOL EN MÉXICO Y ASÍ ME TRATARON...,54,10,1.0,0,2020-06-17,10:45:09,2,afternoon,1905242,71025,1030,0,3577,14.266666666666667,hd,false,True,https://i.ytimg.com/vi/eYd6cm4KJyY/maxresdefault.jpg,1280,720,"['gringo', 'mexicano', 'wero', 'güero', 'gringo mexicano', 'gringo latino', 'wheres the gringo', 'gringo loco', 'wero loco', 'gringo in mexico', 'travel mexico', 'visit mexico', 'learn spanish', 'language learning', 'aprende ingles', 'habla ingles', 'vagaboom', 'wero wero tv', 'coreano vlogs', 'american in mexico', 'speak english', 'speak spanish', 'clases de ingles', 'lingoda', 'language school', 'language sprint', 'social experiment', 'experimento social', 'broma', 'prank', 'broma pesada', 'sorpresa', 'hablar ingles', 'superholly', 'miss holly']",35,22,none,es-MX,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Ford Quarterman,578000,49431898,122,"Regístrate para el Lingoda Language Sprint!
👇🏾👇🏾👇🏾👇🏾👇🏾
https://bit.ly/fordessprint

⚠️Utiliza el código “FORD01” para recibir $11 de descuento en tu primer mes! ⚠️
---------------------------------------------------------------------------------------------------------------------------
Fui a la calle en Coyoacán, CDMX y fingí como si no hablara español para ver como los mexicanos me trataron! Y de repente cambiaba a español fluido para ver como reaccionaron! Estuvo MUY divertido y chistoso jajaja 😂🤣

Gracias a todos los mexicanos por siempre recibir a los extranjeros con la mejor onda....son lo máximo!

Les gustaría ver más videos así? Me divertí demasiado haciendo esto...
---------------------------------------------------------------------------------------------------------------------------
Síganme en todas las redes:

Instagram - http://instagram.com/fordquarterman
Facebook - http://facebook.com/fordquarterman
Twitter - http://twitter.com/wheresthegringo
TikTok - https://vm.tiktok.com/WMc2pA/

#aprendeingles #hablaingles #learnspanish"
5,EQB3yPffwjg,FUI A LA MARCHA FEMINISTA Y ESTO PASÓ || #8M DÍA INTERNACIONAL DE LA MUJER - CDMX,81,15,1.0,0,2020-03-09,14:05:42,0,afternoon,1884328,85512,4682,0,52212,21.916666666666668,hd,false,True,https://i.ytimg.com/vi/EQB3yPffwjg/maxresdefault.jpg,1280,720,"['international womens day', 'dia internacional de la mujer', '8m', '8demarzo', 'marcha feminista', 'cdmx', 'monumento de la revolucion', 'un dia sin nosotras', 'ni una mas', 'ni una menos', 'feminismo', 'marcha feminina', 'international womens day 2020', 'dia de la mujer', 'dia de la mujer 2020', 'mexico city', 'feminist', 'feminista', 'feministas protestan', 'femicidios', 'justica para fatima', 'marcha 8m', '8M2020', 'gringo mexicano', 'gringo latino', 'paro nacional', '9M', 'un dia sin mujeres', 'paro nacional de mujeres', '9M2020']",30,22,none,es-MX,['https://en.wikipedia.org/wiki/Society'],Ford Quarterman,578000,49431898,122,"Ayer, el 8 de Marzo 2020 fue un día histórico en México, cuando miles de mujeres salieron a la calle para el Día Internacional de la Mujer para marchar y alzar sus voces para la igualdad de género y luchar contra la violencia de género.

Yo decidí ir a la protesta para observar, aprender, y ayudar a compartir las opiniones de las mujeres. Así es como me fue...

¿QUÉ OPINAS TÚ AL RESPECTO DE LO QUE ESTÁ PASANDO EN MÉXICO Y AMÉRICA LATINA CON ESTE MOVIMIENTO FEMINISTA? ¡ÚNENSE A LA CONVERSACIÓN EN LOS COMENTARIOS ABAJO!

Mis otras redes sociales:

Instagram - http://instagram.com/fordquarterman
Facebook - http://facebook.com/fordquarterman
Twitter - http://twitter.com/wheresthegringo

#8M #díainternacionaldelamujer #niunamenos #8marzo"
6,vSszaVMqi0E,No TODOS los MEXICANOS son MORENOS?,35,6,0.5,0,2020-04-15,13:11:55,2,afternoon,1750428,67824,3130,0,15363,13.683333333333334,hd,false,True,https://i.ytimg.com/vi/vSszaVMqi0E/maxresdefault.jpg,1280,720,"['gringo', 'mexicano', 'mexican', 'tacos', 'mexicana', 'wero', 'güero', 'vlogs', 'los altos de jalisco', 'whitexicans', 'jalisco', 'capilla de guadalupe', 'tequila', 'gringo mexicano', 'gringo latino', 'diversidad', 'wera', 'wero wero tv', 'coreano vlogs', 'luisitio comunica', 'mexican people', 'mexicans', 'mexicans girls', 'mexicanas', 'white mexicans', 'gente', 'tepatitlan', 'charreada', 'diversidad mexicana', 'whitexican says', 'americans in mexico', 'us expats', 'us expats abroad', 'racial diversity', 'arandas', 'tepabril', 'feria tepabril', 'bajío', 'altos de jalisco']",39,22,none,es-MX,,Ford Quarterman,578000,49431898,122,"La diversidad mexicana no conoce límites!

Fui a una región que se llama Los Altos de Jalisco donde se encuentra alta concentración de gente blanca. Quería grabar un video para romper el estereotipo que todos los mexicanos parecen de una forma. 

Desde Los Altos de Jalisco, a La Costa Chica y hasta los pueblos de Chiapas - QUE VIVA LA DIVERSIDAD MEXICANA! ✊✊🏻✊🏼✊🏽✊🏾✊🏿

Gracias a mis anfitriones alteños mega chingónes Rafa y Marco Antonio -
http://instagram.com/rafadlt
http://instagram.com/marcoantoniodltj

Para probar su marca de tequila - Reserva de la Torre. 
Pedidos aquí --- https://www.facebook.com/rafa.delatorre.92
---------------------------------------------------------------------------------------------------------------------------
Síganme en todas las redes sociales - 
Instagram - http://instagram.com/fordquarterman
Facebook - http://facebook.com/fordquarterman
Twitter - http://twitter.com/wheresthegringo
TikTok - https://vm.tiktok.com/WMc2pA/

#losaltosdejalisco #whitexicans #güero"
7,nwyDmriZLic,"QUERIDO DONALD TRUMP: AQUÍ TIENES TUS ""INMIGRANTES CRIMINALES""",62,8,1.0,0,2019-02-24,19:57:45,6,night,1547959,68067,1875,0,7584,14.1,hd,false,True,https://i.ytimg.com/vi/nwyDmriZLic/maxresdefault.jpg,1280,720,"['mexican', 'wero', 'güero', 'vlogs', 'donald trump', 'make america great again', 'trump', 'build the wall', 'mexico wall', 'gringo mexicano', 'mexican gringo', 'pinche gringo', 'trump pendejo', 'learn spanish', 'language learning', 'aprende ingles', 'message to donald trump', 'illegal immigration', 'border crossing', 'mexico usa border', 'donald trump immigration', 'donald trump wall', 'illegal immigrants', 'mexican illegals']",24,19,none,es-MX,,Ford Quarterman,578000,49431898,122,"*** COMPARTAN ESTE VIDEO CON EL MUNDO CON EL HASHTAG #NOSOYCRIMINAL ***

Donald Trump dice que México (y América Latina) manda puros criminales, violadores, narcotraficantes, y mala gente de todos tipos a los EEUU, y quiere construir un muro para dividirnos. Su mensaje en cuanto a la inmigración está basado en miedo y mentiras, y nada de la realidad.

Este video es una colección de historias de inmigrantes latinos que viven en EEUU, y una demostración de estadísticas que demuestra que tan equivocado está Donald Trump, y como realmente es la gente latina que vive en EEUU: noble, honesta, trabajadora, y muy capaz.

¡COMPARTEN ESTE VIDEO CON ALGUIEN QUE LO NECESITA VER!
----------------------------------------------------------------------------------------------------------------
Instagram - http://www.instagram.com/fordquarterman

#DonaldTrump #MAGA #MakeAmericaGreatAgain #MexicoWall #IllegalImmigration #NationalEmergency #NoSoyCriminal"
8,YoVzsITfbZY,ASÍ ES LA VIDA CON 13 CACHORROS CHOCOLATITOS 🐶🍫,47,8,0.875,0,2020-01-07,19:09:52,1,night,1528362,63053,789,0,3991,12.816666666666666,hd,false,True,https://i.ytimg.com/vi/YoVzsITfbZY/hqdefault.jpg,480,360,"['puppies', 'puppy', 'chocolate labs', 'labradors', 'chocolate labradors', 'lovable labs', 'dogs', 'dog lovers', 'puppy lovers', 'puppy videos', 'gringo', 'gringo mexicano', 'cachorros', 'cachorritos', 'puppy birth', 'dog birth', 'labrador', 'ford quarterman', 'nacimiento', 'kenro vlogs', 'vagaboom', 'wero wero tv', 'coreano vlogs', 'dog videos', 'perros', 'perritos', 'camada', 'raising puppies', 'lab puppies', 'cachorros labradores']",30,22,none,es-MX,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Pet']",Ford Quarterman,578000,49431898,122,"Bienvenidos a parte 2 de la experiencia del nacimiento y crianza de los 13 cachorros de Mae Mae, nuestra querida labradora chocolate.

De mi nueva familia chocolate a la suya -  FELIZ AÑO NUEVO!

Quédense pendientes por parte 3 de toda esta experiencia hermosa aquí en YouTube. Y mientras tanto, les invito a seguirme en Instagram donde publico historias diarias de nuestras hermosuras chocolatitas! 🐶🍫🥰http://instagram.com/fordquarterman

Por si perdiste parte 1: https://www.youtube.com/watch?v=0KgfTKERTu8&feature=youtu.be

Parte 3 - https://www.youtube.com/watch?v=u_pi5HNx9U4&t=9s

Mi Facebook - http://facebook.com/fordquarterman
Mi Instagram - http://instagram.com/fordquarterman"
9,ecf4wnY7nEg,15 Cosas Que Los Gringos Pueden Aprender De Los Mexicanos Con SuperHolly,72,12,0.0,0,2019-03-15,18:58:13,4,night,1168343,65570,757,0,6278,14.966666666666667,hd,false,True,https://i.ytimg.com/vi/ecf4wnY7nEg/maxresdefault.jpg,1280,720,"['gringo', 'mexicano', 'mexican', 'language', 'tacos', 'wero', 'güero', 'vlogs', 'superholly', 'ford quarterman', 'gringo mexicano', 'wheres the gringo', 'gringo in mexico', 'super holly', 'gringos mexicanos', '15 cosas', 'holly tuggy', 'gringa en mexico', 'ford quateman', 'language learning', 'learn spanish', 'aprende ingles', 'habla ingles', 'miss holly', 'teacher holly', 'los gringos tv', 'ingenio mexicano', 'mexican american', 'mexico usa', 'DONALD TRUMP', 'holly ingles', 'no seas como holly', 'storytime', 'holly no se dice', 'wera español']",35,19,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Ford Quarterman,578000,49431898,122,"Super Holly y yo hemos pasado mucho tiempo en México y EEUU, y nos hemos dado cuenta de las diferencias entre la vida por ambos lados.

Hay pros y contras, nos sentimos identificados con algunas cosas, y con otras no tanto. Por eso, siempre decimos ""no somos de aquí, ni somos de allá!""

Pero en este video detallamos algunas de las cosas que, sin duda, los mexicanos hacen mejor que los gringos. Si nosotros los gringos pudiéramos aprender estas cosas de los mexicanos, mejoraríamos la calidad de nuestras vidas! 

Espero que les guste, y por favor escríbannos más cosas en los comentarios abajo! Qué más podrían aprender los gringos de los mexicanos?
----------------------------------------------------------------------------------------------------------------
Guía de video:

01:14 1.) Como relajarse (How to Relax)

01:56 2.) Las muestras de afecto (How to Show Affection)

02:54 3.) Como disfrutar de la familia (How to Enjoy the Family)

03:47 4.) Como utilizar la misma palabra para un sinfín de significados (How to use the same word for countless meanings)

05:13 5.) Como vestirse bien (How to dress well)

06:28 6.) Como tomar alcohol (How to drink alcohol)

07:12 7.) Como trabajar bien sin dejar que el trabajo define la vida (How to work hard without letting work define your life)

08:16 8.) Como disfrutar de la comida (How to enjoy food)

09:32 9.) Como fluir (How to go with the flow)

10:23 10.) Como aguantar el picante (How to handle spicy food)

10:30 11.) Como no ofenderse tan fácilmente (How to not get offended so easily)

11:34 12.) Como burlarse de sí mismo (How to make fun of yourself)

12:04 13.) Como bailar (How to dance)

12:13 14.) Como hablar bonito (How to speak beautifully)

13:11 15.) El ingenio mexicano (Mexican ingenuity)
----------------------------------------------------------------------------------------------------------------
¡NO OLVIDEN VER EL OTRO VIDEO QUE GRABAMOS EN EL CANAL DE HOLLY!

https://www.youtube.com/watch?v=WTUUAGeOVNc
----------------------------------------------------------------------------------------------------------------
Youtube de Holly: https://www.youtube.com/user/superhollyvideos

Instagram de Holly: http://www.instagram.com/hollyradio

Mi Instagram: http://www.instagram.com/fordquarterman
----------------------------------------------------------------------------------------------------------------"
