,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,FcoYSo6G-0U,🇺🇸 GRINGA REACCIONA A EL CORRIDO DE JUANITO - Calibre 50,56,9,0.7777777777777778,0,2020-11-13,22:00:03,4,night,1944126,76469,1555,0,2715,6.416666666666667,hd,false,True,https://i.ytimg.com/vi/FcoYSo6G-0U/maxresdefault.jpg,1280,720,"['gringa reacciona', 'gringa reacciona a corridos', 'gringa reacciona a corrido de juanito', 'gringa reaccina a calibre 50', 'calibre 50 reaccion', 'el corrido de juanito reaccion', 'americana reacciona a corridos', 'americana reacciona a calibre 50', 'gringa reacts', 'gringa reacciona a musica mexicana', 'gringa reacciona a musica de banda', 'gringa reacciona a musica', 'wera reacciona', 'guera reacciona', 'blanca reacciona a corridos', 'mujer reacciona a corridos', 'estadounidense reacciona a musica mexicana']",17,24,none,,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",Gringa Reacciona,91000,6275114,82,"Amigos gracias a todos por el apoyo y por ver los videos, ya somos 13,000 subscriptores. Muchisimas gracias a todos. COMENTA Y DEJA TU LIKE GRACIAS!!
.
.
.
Instagram: https://www.instagram.com/gringareacciona/
Facebook: https://www.facebook.com/gringareacciona
.
.
.
#gringareacciona #musicamexicana #gringareacts
.
.
gringa reacciona a musica mexicana
gringa reacciona a corridos
gringa reacciona a la cultura mexicana
gringa reacts to mexican music 
gringa reacts to corridos"
1,T3Fa1MiPNWA,🇺🇸 GRINGA PRUEBA TACOS MEXICANOS POR PRIMERA VEZ en MEXICO | Gringa en Mexico,77,12,0.6666666666666666,0,2021-02-19,21:16:08,4,night,462344,16488,306,0,1465,10.316666666666666,hd,false,True,https://i.ytimg.com/vi/T3Fa1MiPNWA/maxresdefault.jpg,1280,720,"['tacos', 'taco', 'gringa reacciona', 'gringa prueba tacos', 'gringa en mexico', 'gringa reacts', 'gringa tacos', 'gringa trying tacos en mexico', 'tacos mexicanos', 'gringa prueba tacos por primera vez', 'gringa eats mexican tacos', 'mexican tacos', 'gringa reacciona tacos', 'gringa reacts to tacos', 'gringa prueba tacos de; pastor', 'gringa vlog en mexico', 'gringa in mexico', 'gringa trying mexican food', 'comida mexicana callejera', 'tacos callejeros en mexico', 'mex', 'trying tacos in california', 'mexico tacos', 'mexico']",24,24,none,,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Gringa Reacciona,91000,6275114,82,"Hola amigos en este video probamos lo tacos en Mexico. Espero y les guste el video. No olviden de dejar su like y subscribirte.  

.
.
Instagram: https://www.instagram.com/gringareacc...
Facebook: https://www.facebook.com/pg/gringarea...
TikTok: https://www.tiktok.com/@gringareacciona
.
.
.
.
#gringareacciona #americanareacciona #gringareacts
.
.
gringa prueba tacos en mexic"
2,eLUv0_AibWo,🇺🇸 GRINGA REACCIONA A CORRIDOS MEXICANOS,40,5,1.0,0,2020-10-13,22:19:52,1,night,385361,14940,491,0,1312,6.016666666666667,hd,false,False,https://i.ytimg.com/vi/eLUv0_AibWo/maxresdefault.jpg,1280,720,"['gringa reacciona a musica mexicana', 'gringo reacciona a musica mexicana', 'gringa reacciona a corridos', 'gringa reacciona a tamboraso', 'americana reacciona a musica de mexico', 'americana reacciona a corridos', 'gringa reacciona a mexico', 'gringa reacciona a corridos tumbados', 'musica mexicana reaccion', 'extranjera reacciona a musica mexicana', 'gringa reacciona a corridos de mexico', 'corridos mexicanos', 'gringa reacciona a banda', 'banda', 'musica de banda', 'musica en mexico', 'musica tipica', 'mexico']",18,22,none,,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",Gringa Reacciona,91000,6275114,82,"Amigos gracias por todo el apoyo que le estan dando al canal :)
Hoy les traigo un video de gringa reacciona a corridos. Espero y les guste :)
.
.
Aqui mi Instagram:
https://www.instagram.com/gringareacciona/
.
.
#corridos #gringareacciona #musicamexicana
.
.
.
gringa reacciona a musica mexicana
gringa reacciona a corridos
gringa reacciona a tamboraso"
3,_Jt1mbVoDws,TACOS MEXICANOS v.s TACOS AMERICANOS - Gringa Reacciona,55,8,0.5,0,2021-01-06,23:06:55,2,late_night,369119,15726,255,0,1603,7.15,hd,false,True,https://i.ytimg.com/vi/_Jt1mbVoDws/maxresdefault.jpg,1280,720,"['gringa reacciona', 'gringa', 'gringa prueba comida mexicana', 'gringa prueba tacos mexicanos', 'gringa reacts to mexican food', 'gringa reacts to tacos', 'tacos mexicanos v', 'tacos mexicanos vs tacos americanos', 'extranjeros prueban tacos', 'extranjeros prueban comida mexicana', 'comida mexicana en usa', 'tacos vs', 'los mejores tacos', 'gringa tacos', 'tacos en mexico', 'tacos en estados unidos', 'taco bell vs', 'tacos de carne asada', 'taco documental', 'gringa hablando en español', 'gringo reacciona', 'mexico', 'usa']",23,24,none,,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Gringa Reacciona,91000,6275114,82,"Girnga prueba tacos mexicanos por primera vez. Espero y les guste el video
.
Instagram: https://www.instagram.com/gringareacc...
Facebook: https://www.facebook.com/pg/gringarea...
TikTok: https://www.tiktok.com/@gringareacciona
.
.
.
.
#gringareacciona #americanareacciona #gringareacts"
4,LxKBppUXYnE,Gringa trabajando en PANADERIA MEXICANA 🇺🇸  | Gringa en Mexico,62,8,0.25,0,2021-02-13,21:30:43,5,night,331403,10079,109,0,1081,11.466666666666667,hd,false,True,https://i.ytimg.com/vi/LxKBppUXYnE/maxresdefault.jpg,1280,720,"['curso de panaderia', 'pan', 'gringa reacciona', 'gringa reacts', 'gringa en panaderia', 'gringa in panaderia', 'gringa making bread', 'gringa haciendo pan', 'gringa haciendo empanada', 'gringa cocina', 'gringa en mexico', 'pan mexicano', 'panaderia mexicana', 'gringa works in mexico', 'gringa trabajando en panaderia', 'gringa trabajando', 'gringa making pozole', 'panaderia', 'gringa working in bakery', 'mexican bakery', 'mexican bread', 'panaderias en mexico', 'bakery', 'como hacer pan', 'pan casero', 'gringa in mexico city']",26,24,none,,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Gringa Reacciona,91000,6275114,82,"Hola amigos en este video trabajamos por un dia en una panaderia en mexico. Espero y les guste el video. No olvides de subscribirte y dejar tu like. Ya casi somos 60,000 muchas gracias 

.
.
Instagram: https://www.instagram.com/gringareacc...
Facebook: https://www.facebook.com/pg/gringarea...
TikTok: https://www.tiktok.com/@gringareacciona
.
.
.
.
#gringaenmexico #gringamexicana #mexican
.
.
.
.
gringa works in bakery 
gringa en panaderia 
gringa en mexico
gringa trabaja en mexico"
5,U1UujpbfV7s,🇺🇸 GRINGA REACCIONA A PELICULA MEXICANA - El Infierno,53,7,0.7142857142857143,0,2020-10-23,20:45:47,4,night,250894,9235,226,0,1153,16.35,hd,false,False,https://i.ytimg.com/vi/U1UujpbfV7s/maxresdefault.jpg,1280,720,"['gringa reacciona a peliculas mexicana', 'gringa reacciona a pelicula de mexico', 'gringa reacciona al infierno', 'el infierno pelicula mexicana reaccion', 'americana reacciona', 'gringo reacciona', 'gringas', 'mexicanos', 'méxico', 'pelicula mexicana reaccion', 'gringa reacciona a el infierno', 'americana reacciona a peliculas mexicanas', 'americana reacciona a mexico', 'gringa reacciona a mexico peliculas', 'peliculas mexicanas', 'el infierno video reaccion', 'video reaccion de gringa', 'reacciones', 'gringa y', 'america']",20,22,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Gringa Reacciona,91000,6275114,82,"Amigos gracias a todos por el apoyo. Ya mero llegamos a 3,000 suscriptores. MUCHISIMAS GREACIAS!!
.
.
.
MIS REDES: gringa reacciona
.
.
.
.
#gringareacciona #americanoreacciona #peliculasmexicanas
.
.
.
gringa reacciona a el infierno
americana reaccciona a pelicula mexicana
americano reacciona a el infierno 
gringo reacciona a el infierno 
mujer reacciona"
6,i7g1HnZKa2E,🇺🇸 GRINGA REACCIONA A CORRIDOS - VIRUS ANTRAX,45,6,1.0,0,2021-04-05,21:07:28,0,night,134958,6285,193,0,425,3.75,hd,false,False,https://i.ytimg.com/vi/i7g1HnZKa2E/maxresdefault.jpg,1280,720,"['gringa reacciona a corridos mexicanos', 'gringa reacciona a corridos tumbados', 'gringa reacciona', 'gringa reacts', 'gringa reacciona a mexico', 'gringa reacciona a virus antrax', 'gringa reacciona corridos', 'la escuela de virus antrax', 'la escuela del viruz antrax calibre 50', 'la escuela del virus antrax reaccion', 'gringa reacts to corridos', 'la gringa reacciona', 'gringa', 'gringa reacciona a corridos de mexico', 'gringa reacciona a musica mexicana', 'reacting to mexican music', 'gringa mexico']",17,24,none,,,Gringa Reacciona,91000,6275114,82,"Gringa Reacciona a la escuela del virus antrax. Espero y les guste el video. No olviden de dejar su like y de subcribirse a este canal de gringa reacciona muchisimas gracias. 
.
.
Instagram: https://www.instagram.com/gringareacciona/?hl=en
Facebook: https://www.facebook.com/pg/gringarea...
TikTok: https://www.tiktok.com/@gringareacciona
.
.
.
.
#gringa #gringareacciona #gringareacts"
7,QjTyGSTIJZ8,🇺🇸 GRINGA REACCIONA A RAP MEXICANO - Cartel de Santa,52,8,0.625,0,2020-10-12,22:20:12,0,night,130303,6289,145,0,673,5.1,hd,false,False,https://i.ytimg.com/vi/QjTyGSTIJZ8/maxresdefault.jpg,1280,720,"['americana reacciona a rap mexicano', 'americana reacciona a cartel de santa', 'gringa reacciona a rap mexicano', 'rap mexicano', 'cartel de santa reaccion', 'reaccionando a cartel de santa', 'reaccionando a rap de mexico', 'gringo reacciona a rap mexicano', 'gringa reacciona', 'americana reacciona', 'cartel de santa si te vienen a contar', 'reaccionando a cartel de santa 2020', 'guera reacciona', 'guera reacciona a rap de mexico', 'reaccionando a hip hop mexicano', 'hip hop mexicano', 'extranjera reacciona']",17,22,none,,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",Gringa Reacciona,91000,6275114,82,"En esta occasion les traigo el video de reaccionando a Rap Mexicano. Cartel de santa. Espero y les guste amigos :) No olviden dejar su like y suscribirse me ayudarian muchisimo.
.
.
.
Instagram: https://www.instagram.com/gringareacciona/
.
.
.
#rap #rapmexicano #carteldesanta #gringareacciona"
8,5DgGshKSpRA,GRINGA REACCIONA A MUSICA MEXICANA POR PRIMERA VEZ ❤️🇲🇽,55,8,1.0,0,2020-09-12,16:43:04,5,afternoon,123657,4520,60,0,382,3.5833333333333335,hd,false,False,https://i.ytimg.com/vi/5DgGshKSpRA/maxresdefault.jpg,1280,720,"['gringa reacciona a mexico', 'gringo reacciona a mexico', 'gringa reacciona', 'gringa', 'gringa reacciona a musica mexicana', 'musica mexicana', 'americana reacciona a mexico', 'americano reacciona a mexico', 'gringa reacciona a canciones de banda', 'gringa vs mexico', 'mexico vs usa', 'guera reacciona de mexico', 'gringa habla de mexico', 'americana habla sobre mexico', 'gringa reacts', 'gringa reacciona a musica', 'guera', 'guera reacciona', 'gruera reacciona a mexico', 'guera vs mexico', 'gringa vs', 'gringa loca']",22,22,none,,['https://en.wikipedia.org/wiki/Music_of_Latin_America'],Gringa Reacciona,91000,6275114,82,"Amigos gracias a todos por ver los videos y espero y les gusten y nos dejen su like. 

Porfavor siguenme en instagram 

https://www.instagram.com/gringareacciona/?hl=en
.
.
.
.
.
.
#mexico
#gringareacciona
#musicadebanda"
9,--MPWAhH4rM,🇺🇸GRINGA VISITA MEXICO POR PRIMERA VEZ,38,6,1.0,0,2021-01-27,20:56:34,2,night,119141,7336,218,0,1273,2.6166666666666667,hd,false,True,https://i.ytimg.com/vi/--MPWAhH4rM/maxresdefault.jpg,1280,720,"['gringa reacciona', 'gringa en mexico', 'gringa visita mexico', 'gringa reacts', 'gringa visits mexico', 'gringa is on mexcio', 'gringa', 'gringa visita a mexico', 'gringa reacciona a mexcio', 'gringa en mexico city', 'gringa visita mexico por primera vez', 'gringo en mexico', 'gringos en mexico', 'gringas en mexico', 'que opinan los gringos de mexico', 'white girl in mexico', 'guera en mexico', 'estado unidense visita mexico', 'americana visita mexcio']",19,24,none,,,Gringa Reacciona,91000,6275114,82,Amigos nos encontramos en mexico. Ya tenia muchas ganas de estar aquí. Voy a grabar muchísimos videos y espero y les guste.
