,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,_9X7fqckvhA,10 MENTIRAS de MÉXICO que YA NO CREEMOS  🇲🇽 🤐 ft @Ford Quarterman @WeroWeroTV @Jan El Wero,90,15,0.3333333333333333,0,2021-03-03,19:00:05,2,night,628911,39187,430,0,8014,21.05,hd,false,True,https://i.ytimg.com/vi/_9X7fqckvhA/maxresdefault.jpg,1280,720,"['ford quarterman', 'wheres the gringo', 'ford', 'werowerotv', 'wero wero tv', 'werowero tv', 'guero guero tv', 'jan el wero', 'jan werowerotv', 'extranjeros en mexico', 'extranjeros opinan de mexico', 'vivir en mexico', 'en mexico', 'méxico', 'mexico', 'en méxico', 'mentiras sobre mexico', 'mentiras de mexico', 'extranjeros reaccionan a mexico', 'extranjeros hablan de mexico', 'mitos sobre mexico']",21,19,none,es-MX,,Jan El Wero,175000,8165002,39,"@Ford Quarterman - CHECA SU VIDEO: https://youtu.be/rmkI8Uy9OAo
@WeroWeroTV - mi otro canal

Hay muchos mitos y mentiras sobre México en el mundo, en este video te revelamos las más descaradas y te decimos por qué no estamos de acuerdo con ellas..



SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero

CONTACTO PARA MARCAS: 
jesus@katanatalent.com"
1,oXknpJKdBF8,NO FUE FÁCIL TOMAR ESTA DECISIÓN ⚠@No Manches • Qué Rico@WeroWeroTV,67,11,0.5454545454545454,0,2020-09-07,17:30:01,0,afternoon,527328,26289,506,0,2607,13.833333333333334,hd,false,True,https://i.ytimg.com/vi/oXknpJKdBF8/maxresdefault.jpg,1280,720,"['jan el wero', 'werowerotv', 'werowero tv', 'werowerotv jan', 'pinches weros', 'wero wero', 'no manches que rico', 'vagaboom', 'coreano vlogs', 'jan werowerotv', 'jan werowerotv novia']",11,27,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Jan El Wero,175000,8165002,39,"Mente Despierta https://youtu.be/jJ1tPCMBtQw
No Manches • Qué Rico https://www.youtube.com/channel/UCouA8XF50J_3jfmTKGBWpyg
WeroWeroTV https://www.youtube.com/user/WeroWeroTV

Colaboraciones / negocios: https://forms.gle/pNvpAmRSjAT9vqzP7 

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero

¿Cuándo volvemos a grabar para WeroWeroTV? ¿Por qué desaparecí de las redes? ¿Qué planes tengo en México? Todo esto respondo en este video.. Gracias por seguirme y ver mis videos :)"
2,VpljQPGQHjw,YA NO VIVIRÉ ACÁ en MÉXICO ¿Nos mudamos? ft @kenroVlogs @La Ruta de la Garnacha @Stephanie Durán,96,17,0.29411764705882354,0,2021-04-14,17:56:57,2,afternoon,463901,19078,329,0,1790,17.366666666666667,hd,false,True,https://i.ytimg.com/vi/VpljQPGQHjw/maxresdefault.jpg,1280,720,"['jan el wero', 'kenrovlogs', 'la ruta de la garnacha', 'nos mudamos', 'adios mexico', 'adiós méxico', 'puebla', 'me mudo', 'YA NO VIVIRÉ ACÁ en MÉXICO', 'werowerotv', 'wero wero tv', 'wero werotv', 'guero guero tv', 'jan wero werotv', 'wero wero tv jan', 'werowerotv jan', 'janel wero', 'extranjero en mexico', 'extranjeros en mexico', 'alemán en méxico', 'aleman en mexico', 'extranjero en méxico', 'extranjeros en méxico', 'ciudad de mexico', 'cdmx vs puebla', 'puebla vs cdmx']",26,19,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Jan El Wero,175000,8165002,39,"@kenroVlogs 
@La Ruta de la Garnacha 
@Stephanie Durán 
@Yo soy Migue 
@WeroWeroTV 

Pronto nos vamos a ir.. por esto ya nos estamos preparando para la salida.. Hay varias razones por que ya no vamos a vivir acá en México..

Sin embargo no se me hace nada fácil, aunque soy un extranjero en México siempre me sentido en casa aquí.. 

¿Quieres aprender cómo crecer en YouTube? 🔥🚀 Llena el formulario ⬇️
https://forms.gle/5HKpJCWTVKb1LVoc8

Redes de Jess:
YouTube:  @Mente Despierta 
Instagram: Instagram: https://www.instagram.com/jessjess_ro/ 

Redes de Martín:
YouTube: https://www.youtube.com/c/MartinGonzalezZF
Instagram: https://www.instagram.com/zorbafilms 
Facebook: https://www.facebook.com/zorbafilms

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero

CONTACTO PARA MARCAS: 
jesus@katanatalent.com



aleman en mexico
alemán en méxico
extranjeros en méxico
extranjeros en mexico
ciudad de mexico
cdmx
puebla
cdmx vs puebla 
puebla vs cdmx"
3,VEfX0mxf-ys,EXTRANJEROS AGRADECEN A MÉXICO🙏Grito de Independencia @VAGABOOM @El Coreano  @Ford Quarterman y más!,100,14,0.35714285714285715,1,2020-09-16,16:00:04,2,afternoon,407198,31091,268,0,2725,13.25,hd,true,True,https://i.ytimg.com/vi/VEfX0mxf-ys/maxresdefault.jpg,1280,720,"['grito', 'grito de independencia', '15 de septiembre', '16 de septiembre', 'dia de independencia', 'día de independencia', 'mexico', 'méxico', 'extranjeros en méxico', 'vagaboom', 'el coreano', 'werowerotv', 'soy compa rosh', 'jossalm', 'joss and janik', 'makalakesh', 'ixpanea', 'menonita mexicana', 'luis cortes', 'ford quarterman', 'fiestas patrias', 'grito 2020', 'grito de independencia 2020', 'fiestas patrias 2020', 'ford quarterman porque mexico']",25,27,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Jan El Wero,175000,8165002,39,"Checa los canales de todos que colaboraron: ​
VAGABOOM https://www.youtube.com/channel/UCPgrd83e1TOKFs46JdFu4Gg  
El Coreano https://www.youtube.com/channel/UCHAHRlgflciksI_DVB58C4g
Ford Quarterman https://www.youtube.com/channel/UCjvWmAY6zNmMILCm1ECrnZg 
Mente Despierta https://www.youtube.com/channel/UC3LB8AVTBttBgaLG70KzbYA 
Soy Compa Rosh https://www.youtube.com/channel/UCNbum0GwBw15K80yXnUGrMw 
jossalm https://www.youtube.com/user/jossalmm
Joss and Janik https://www.youtube.com/c/JossAndJanik
Menonita Mexicana https://www.youtube.com/channel/UCRe7SpRNbeGZu60PGs3Awbg 
Luis Cortes https://www.youtube.com/channel/UCUYW1zlYmPGzC4mKURW1vrw
MAKALAKESH https://www.youtube.com/user/makalakesh
Ixpanea  https://www.youtube.com/user/ixqanea
Un árabe en México https://www.youtube.com/channel/UCOAHqB2ozNLJLdhIVQEv5iQ
WeroWeroTV https://www.youtube.com/user/WeroWeroTV 

Colaboraciones / negocios: https://forms.gle/pNvpAmRSjAT9vqzP7 

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero

Preparé un video para las fiestas patrias 2020. Este año todo el grito fue diferente así que preparé una pequeña sorpresa con la ayuda de muchos amigos mexicanos y extranjeros. ¡Viva México!"
4,q3ILajH0jbM,Hablé a mi NOVIA MEXICANA solo en ALEMÁN por 24 Horas @WeroWeroTV @El Coreano @VAGABOOM,87,15,0.26666666666666666,0,2020-12-16,19:54:15,2,night,395501,24151,323,0,1428,20.266666666666666,hd,false,True,https://i.ytimg.com/vi/q3ILajH0jbM/maxresdefault.jpg,1280,720,"['novia mexicana', 'novia mexicana jan el wero', 'werowerotv novia mexicana', 'mou el wero novia', 'jan werowerotv novia', 'jan wero wero tv novia', 'novio aleman', 'mexicana', 'novia', '24 horas', '24 horas solo hablando aleman', 'hablando aleman', '24 horas hablando aleman', '24 horas hablando', 'vagaboom', 'el coreano', 'no manches que rico', 'ford quarterman', 'werowerotv aleman', 'werowerotv alemania', 'joss and janik', 'novia mexicana novio aleman', 'aprender aleman', 'tips para aprender aleman', 'como aprender aleman']",25,19,none,en-US,,Jan El Wero,175000,8165002,39,"@Mente Despierta - Canal de Jess
@WeroWeroTV - Canal de Mou y Jan
@No Manches • Qué Rico - Canal de Mou
@VAGABOOM - Canal de Demis
@El Coreano - Canal de Minu
@Ford Quarterman - Canal de Ford

Hablé a mi novia mexicana solo en alemán por 24 horas, sin embargo ella entiende muy poco. Durante todo el día le hice retos divertidos en alemán. 

En la noche tuvimos una cena con Mou, Minu y CheChe donde Jess otra vez tuvo que comprobar su nivel de alemán.

Comenta ""Schnitzel mit Senf"" si quieres ver más videos relacionados con el idioma alemán en los vlogs como por ejemplo tips para aprender alemán.

Colaboraciones / negocios: https://forms.gle/pNvpAmRSjAT9vqzP7 

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero

LAS REDES DE JESS
YouTube: https://www.youtube.com/channel/UC3LB8AVTBttBgaLG70KzbYA 
Instagram: https://www.instagram.com/jessjess_ro/"
5,x7ZtHtO0PKA,ME CORTARON EL CABELLO PARA UN CAMBIO de LOOK ASOMBROSO @WeroWeroTV @No Manches • Qué Rico​ @CHeCHe,99,16,0.5625,0,2020-12-09,18:00:28,2,night,384127,23590,209,0,3092,19.116666666666667,hd,false,True,https://i.ytimg.com/vi/x7ZtHtO0PKA/maxresdefault.jpg,1280,720,"['werowerotv', 'wero wero tv', 'wero werotv', 'werowero tv', 'guero guero tv', 'guero guero', 'wero wero', 'cambio de look', 'corte de cabello', 'me corté el cabello', 'cabello', 'cortar cabello', 'look', 'nuevo look', 'cambio', 'cambio de', 'de look', 'jan el wero', 'jan werowerotv', 'jan wero wero tv', 'ian werowerotv', 'mou werowerotv', 'vagaboom', 'coreano vlogs', 'cambio de look werowerotv', 'el coreano', 'asombroso', 'cambio de look asombro', 'estilo', 'peinados', 'corte de pelo', 'pelo largo', 'cabello largo', 'me cortaron el cabello']",34,19,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Jan El Wero,175000,8165002,39,"​@WeroWeroTV - canal de Mou y Jan
@No Manches • Qué Rico  - canal de Mou
@CHeCHe  - canal de CheChe
@Mente Despierta  - canal de Jess

Después de 4 años con el cabello largo me hicieron un cambio de look y me cortaron el cabello por una buena causa.. Si quieres saber cómo quedó mi nuevo corte de cabello, checa el video ;-)

REDES DE BARBERÍA DE AUTOR
https://www.facebook.com/barberiadeautor/
https://www.instagram.com/barberiadeautor/
http://www.barberiadeautor.com/

Colaboraciones / negocios: https://forms.gle/pNvpAmRSjAT9vqzP7 

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero"
6,4vpV_LVx8aI,NO TOMÉ AZÚCAR por 30 DÍAS Y MIRA LO QUE ME PASÓ ☆ WeroWeroTV ☆ El Coreano ☆ No Manches • Qué Rico,98,19,0.5263157894736842,0,2020-01-27,19:15:00,0,night,381835,16710,267,0,1720,15.25,hd,false,True,https://i.ytimg.com/vi/4vpV_LVx8aI/maxresdefault.jpg,1280,720,"['pinches weros', 'jan el wero', '30 dias azucar', '30 dias sin azucar', 'deje el azucar por 30 dias', '30 dias', '30 días', 'El Coreano', 'WeroWeroTV', 'el coreano de corea', 'No Manches • Qué Rico', 'no manches que rico', 'CHeCHe', 'wero wero tv', 'sin azucar', 'reto azucar']",16,27,none,,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Jan El Wero,175000,8165002,39,"WeroWeroTV: https://www.youtube.com/user/WeroWeroTV
No Manches • Qué Rico: https://www.youtube.com/channel/UCouA8XF50J_3jfmTKGBWpyg 
El Coreano: https://www.youtube.com/channel/UCHAHRlgflciksI_DVB58C4g
CHeCHe: https://www.youtube.com/channel/UC7rAMuoiCb2cHW2hEgdw-2Q

Durante 30 días me propuse no comer productos con azúcar añadido. Fue un camino muy difícil y note muchos efectos inesperados en mi cuerpo. Algunos positivos, otros no tanto...

Sígueme en mi Instagram: https://instagram.com/janelwero"
7,byuOvFryUVw,POR QUÉ EL ESPAÑOL ES TAN DIFÍCIL PARA EXTRANJEROS @Ford Quarterman @WeroWeroTV @Jan El Wero,92,15,0.6,0,2020-12-21,18:00:20,0,night,355754,20571,232,0,2576,15.333333333333334,hd,true,True,https://i.ytimg.com/vi/byuOvFryUVw/maxresdefault.jpg,1280,720,"['español', 'aprender español', 'aprender español mexicano', 'idioma español', 'porque el español es dificil', 'porque el español es dificil para los extranjeros', 'porque el español es tan dificil', 'extranjeros hablando español', 'extranjeros hablando español perfecto', 'extranjeros hablando español mexicano', 'ford quarterman', 'jan el wero', 'werowerotv', 'werowero', 'wero wero tv', 'werowero tv', 'gringo en mexico', 'extranjeros en mexico', 'idiomas mas dificiles del mundo', 'idioma', 'superholly', 'superholly español']",22,19,none,es-MX,,Jan El Wero,175000,8165002,39,"@Ford Quarterman - Canal de Ford
@WeroWeroTV - Canal de Mou y Jan
@Mente Despierta - Canal de mi novia

¿Por qué el idioma español es tan difícil de aprender para los extranjeros? Mi amigo Ford y yo les platicamos lo que más se nos dificultó al aprender el español y les compartimos algunas historias bastante vergonzosas que nos pasaron..  

Aparte de todas las dificultades, el español es un idioma hermoso con una infinidad de diferentes acentos que apreciamos mucho. Da igual si hablas español mexicano, colombiano o chileno, si alguna vez has tenido qué es lo más difícil para los extranjeros a la hora de aprender el idioma español, deberías ver este video.

Comenta ""Streichholzschächtelchen"" si lees esto ;-)

Colaboraciones / negocios: https://forms.gle/pNvpAmRSjAT9vqzP7 

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero

LAS REDES DE JESS
YouTube: https://www.youtube.com/channel/UC3LB8AVTBttBgaLG70KzbYA 
Instagram: https://www.instagram.com/jessjess_ro/"
8,W_FwZq0gKD4,RECIBÍ UNA MALA NOTICIA EN MÉXICO 💥 Documental Motivacional   @WeroWeroTV,73,9,0.6666666666666666,0,2021-02-17,20:40:45,2,night,316989,23795,145,0,1850,15.516666666666667,hd,false,True,https://i.ytimg.com/vi/W_FwZq0gKD4/maxresdefault.jpg,1280,720,"['jan el wero', 'janel wero', 'werowerotv', 'werowero', 'werowero tv', 'wero wero tv', 'el coreano de corea', 'el coreano', 'eder central de abastos', 'eder el coreano', 'superación personal', 'motivacion personal', 'motivacional', 'documental motivacional', 'documental', 'motivacion', 'documental de superacion personal', 'superacion personal', 'jan wero wero tv', 'jan wero', 'documentales interesantes', 'superacion', 'superacion personal y motivacion en español', 'no manches que rico', 'EN MEXICO', 'EN MÉXICO', 'sorpresa']",27,19,none,es-MX,,Jan El Wero,175000,8165002,39,"Quiero contarles algo muy importante en este documental.. Recibí estos días una llamada que me dejó sin palabras pero que me dió un aprendizaje muy importante.. Se trata de un amigo ya conoces y que está pasando por un momento muy difícil. 

Sin embargo a pesar de todas las dificultades con las que se encuentra, su superación personal es admirable y su mensaje es muy motivacional.. Más que un típico documental esto es un documental motivacional que intenta contar una historia inspiradora de una superación personal como pocos lo han visto..

#Motivación #Documental 

Redes de Martín:
YouTube: https://www.youtube.com/c/MartinGonzalezZF
Instagram: https://www.instagram.com/zorbafilms 
Facebook: https://www.facebook.com/zorbafilms 

Redes de Eder:
YouTube: https://www.youtube.com/channel/UClHZWP-fIQOu-srcgPEISQA/videos
@Eder el del la central 
Instagram: https://www.instagram.com/eder_bravojr
TikTok: Ederbravos

SIGUEME EN MIS REDES PARA MÁS CONTENIDO
Mi otro canal: https://www.youtube.com/user/WeroWeroTV 
Instagram: https://www.instagram.com/janelwero 
Twitter: https://twitter.com/janelwero
Facebook: https://es-la.facebook.com/JanElWero/ 
TikTok: JanElWero"
9,JKfO-LOxu1U,CÓMO NOS CONOCIMOS MI NOVIA MEXICANA Y YO (Storytime) 🔥 @WeroWeroTV @Mente Despierta,84,12,0.6666666666666666,0,2021-06-06,19:17:43,6,night,276200,12676,268,0,659,19.683333333333334,hd,false,True,https://i.ytimg.com/vi/JKfO-LOxu1U/maxresdefault.jpg,1280,720,"['novia mexicana', 'novia mexicana novio extranjero', 'pareja mexicana aleman', 'pareja mexicana', 'pareja mexicana y', 'pareja mexicana extranjero', 'pareja extranjera', 'novia en mexico', 'aleman y mexicana', 'historia de amor', 'como nos conocimos', 'una pareja real en mexico', 'amor a primera vista', 'amor fugaz', 'amor', 'parejas extranjeras', 'alemania y mexico', 'amor en el extranjero', 'pareja internacional', 'historia aleman mexicana', 'como conoci a mi novia', 'como conoci a mi novia mexicana', 'amor mexicano']",23,19,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Jan El Wero,175000,8165002,39,"​@WeroWeroTV - mi otro canal
@Mente Despierta- canal de Jess 

Y por fin en este video les cuento como conoci a mi novia mexicana y que pensabamos uno del otro asi como algunos secretos de nuestra historia de amor 

Insta de Jess: https://www.instagram.com/jessjess_ro/   
YouTube : @Mente Despierta 

SIGUEME EN MIS REDES PARA MÁS CONTENIDO Instagram: https: // www .instagram.com / janelwero Twitter: https://twitter.com/janelwero  
Facebook: https://es-la.facebook.com/JanElWero /   
TikTok: JanElWero 

CONTACTO PARA MARCAS: jesus@katanatalent.com

Redes de Martín:
YouTube: https://www.youtube.com/c/MartinGonza...
Instagram: https://www.instagram.com/zorbafilms 
Facebook: https://www.facebook.com/zorbafilms


novia mexicana novia mexicana novio extranjero pareja mexicana aleman pareja mexicana  pareja mexicana y  pareja mexicana extranjero  pareja extranjera  novia en mexico  aleman y mexicana  historia de amor  como nos conocimos  una pareja real en mexico  amor a primera vista amor fugaz amor  parejas extranjeras  alemania y mexico  amor en el extranjero  pareja internacional  historia aleman mexicana  como conoci a mi novia como conoci a mi novia mexicana amor mexicano"
