,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,xxlkeRuAhbs,Las razones que los Gringos prefieren Las Latinas!,50,8,0.0,0,2020-09-22,14:28:46,1,afternoon,697237,48037,490,0,9114,7.483333333333333,hd,false,True,https://i.ytimg.com/vi/xxlkeRuAhbs/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"Siempre me preguntan si a mi me gustan las mujeres latinas.  Yo creo que la mujer latina es la mas trabajadora y buena en todo el mundo.  Quería analizar un poco mas las razones por la cual los gringos prefieren mujeres latinas. 

Musica:
mood. by sakura Hz https://soundcloud.com/sakurahertz
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download / Stream: https://bit.ly/mood-sakura-hz
Music promoted by Audio Library https://youtu.be/KwGZ30_QCDU"
1,668kXuxVKMw,Jacob por fin Conoce a Su Novia Paraguaya!!,43,8,0.0,0,2021-05-06,13:32:26,3,afternoon,160619,5453,61,0,617,4.833333333333333,hd,false,True,https://i.ytimg.com/vi/668kXuxVKMw/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,Mi hermano Jacob por fin conoce a su novia paraguaya!!! hace un año que han estado hablando y hoy por fin pudieron conocerse!! están contentos ahora!
2,vNEmruqh43g,Como Conquistar a un Gringo!,28,5,0.0,0,2020-11-17,12:00:13,1,afternoon,110035,10520,60,0,2290,7.1,hd,false,True,https://i.ytimg.com/vi/vNEmruqh43g/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"Les voy a ayudar para saber cuales son los secretos de conquistar hombres gringos.  Si tienen otras buenas ideas, favor de dejarlos en los comentarios abajo.

Music:

––––––––––––––––––––––––––––––
My Itinerary by Tokyo Music Walker https://soundcloud.com/user-356546060 
Creative Commons — Attribution 3.0 Unported — CC BY 3.0 
Free Download / Stream: https://bit.ly/t-w-my-itinerary
Music promoted by Audio Library https://youtu.be/AKy14wPxaSo
––––––––––––––––––––––––––––––"
3,VONySY0TeUY,Mi Opinión de Paraguay ha Cambiado! - miren todo para saber porque,66,11,0.0,0,2020-12-29,09:52:06,1,morning,72767,7237,50,0,952,7.933333333333334,hd,false,True,https://i.ytimg.com/vi/VONySY0TeUY/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,,Nathan Seastrand,43100,1929473,59,Despues de mi viaje con mi hermano mi opinión de Paraguay ha cambiado.  Ahora lo amo Aún más!! Descubrí cosas que no conocía y quería hablar de eso.
4,ivRqqlR2iaA,Primer Día en Paraguay! - fue espectacular,42,6,0.0,0,2020-12-07,08:00:25,0,morning,55129,5559,32,0,473,7.666666666666667,hd,false,True,https://i.ytimg.com/vi/ivRqqlR2iaA/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"@zachseastrand y yo recorrimos Capiatá y la costanera en Asunción hoy.  fue super lindo y divertido.  Comimos en la casa de una de mis familias favoritas en toda Paraguay! Estamos super contentos con todo!

Musica: 

 ––––––––––––––––––––––––––––––
Free Range by Mona Wonderlick https://soundcloud.com/monawonderlick
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download / Stream: http://bit.ly/-free-range
Music promoted by Audio Library https://youtu.be/XcqtbhIc1ZQ
––––––––––––––––––––––––––––––

––––––––––––––––––––––––––––––
Track: Doing Nothing — sakura Hz [Audio Library Release]
Music provided by Audio Library Plus
Watch: https://youtu.be/o5ivAJQ_iHQ
Free Download / Stream: https://alplus.io/Doing-nothing
––––––––––––––––––––––––––––––"
5,Z9vHpkz2Cgs,El Caribe en Paraguay? - Las Dunas de San Cosme,47,9,0.0,0,2020-12-21,17:44:04,0,afternoon,54448,4534,16,0,387,7.566666666666666,hd,false,True,https://i.ytimg.com/vi/Z9vHpkz2Cgs/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"Tuvimos la gran suerte de poder conocer un lugar en Paraguay que es tan místico y mágico que no hay palabras para describirlo la verdad.  Este lugar es de uno de mis sueños.  Solo tienen que verlo.

Musica:

––––––––––––––––––––––––––––––
Hope for Tomorrow by Tokyo Music Walker https://soundcloud.com/user-356546060 
Creative Commons — Attribution 3.0 Unported — CC BY 3.0 
Free Download / Stream: https://bit.ly/hope-for-tomorrow
Music promoted by Audio Library https://youtu.be/O_cqRiHm0KY
––––––––––––––––––––––––––––––"
6,jmYNjE9ZLz4,Como era que yo llegue en PARAGUAY??,36,7,0.14285714285714285,0,2020-11-12,12:31:24,3,afternoon,53213,5507,29,0,670,8.25,hd,false,True,https://i.ytimg.com/vi/jmYNjE9ZLz4/maxresdefault.jpg,1280,720,"['THE NARROWS HIKE', 'The Narrows', 'Zion National Park', 'hiking The Narrows', 'Utah', 'Zion National Park hikes', 'Hikes to do in Zion National Park', 'Things to do in Zion National Park', 'cool hikes', 'awesome hikes', 'river trekking', 'coolest US hikes', 'Hikes to do in Utah', 'Utah hikes', 'nates adventures', 'hiking', 'river', 'waders', 'Zion Utah', 'Tecotzky', 'US National Parks', 'Coolest national parks']",22,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"Queria explicar mejor como es la historia de como llegue en Paraguay.  Cuento todo acá de mi experiencia y como fue que me mandaron a Asuncion como un Misionero.

musica: 
––––––––––––––––––––––––––––––
chill. by sakura Hz https://soundcloud.com/sakurahertz
Creative Commons — Attribution 3.0 Unported  — CC BY 3.0 
Free Download / Stream: http://bit.ly/chill-sakuraHz
Music promoted by Audio Library https://youtu.be/pF2tXC1pXNo
––––––––––––––––––––––––––––––"
7,LbsjET_-i-E,Hablando Guaraní y Conociendo Paraguay con mi Papá!,51,8,0.0,0,2021-05-08,09:30:02,5,morning,49925,3617,14,0,352,12.883333333333333,hd,false,True,https://i.ytimg.com/vi/LbsjET_-i-E/maxresdefault.jpg,1280,720,"['paraguay', 'aventure', 'adventure', 'guarani']",4,22,none,es-419,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"Mi Papá y yo nos fuimos al area de Viñas Cue, donde yo vivi antes, y vimos a amigos antiguos y hicimos amigos nuevos.  La gente paraguaya es muyyy amable y amorosa!!"
8,evpzR649b9M,La Despedida De Jacob y Jazmin :(,33,6,0.0,0,2021-05-15,11:48:24,5,afternoon,45469,2422,15,0,273,3.183333333333333,hd,false,True,https://i.ytimg.com/vi/evpzR649b9M/hqdefault.jpg,480,360,"['paraguay', 'aventure', 'adventure', 'guarani']",4,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Nathan Seastrand,43100,1929473,59,"Jacob y Jazmin tuvieron una semana espectacular y ahora que Jacob tiene que volver a USA, ellos compartieron su ultimo abrazo por ahora"
9,-PQ0A7jQJRM,Mi Papá Gringo intenta entender El Acento Paraguayo! - super dificíl,68,10,0.0,0,2021-03-16,16:00:01,1,afternoon,34384,2907,20,0,726,12.95,hd,false,True,https://i.ytimg.com/vi/-PQ0A7jQJRM/maxresdefault.jpg,1280,720,"['Guarani', 'paraguay', 'Asuncion', 'paraguayo', 'jopara', 'español']",6,22,none,,['https://en.wikipedia.org/wiki/Entertainment'],Nathan Seastrand,43100,1929473,59,"Mi Papá tiene ya 60 años pero cuando el tenia 19 años el vivió en España. El va a venir conmigo a Paraguay y quería ver si el podia entender bien la jopara paraguaya.  Cuando ves mi papa en Paraguay y le queres hablar, favor de hablarle despacio! Ikatu! Aguyje! 

el video que vimos:

https://www.youtube.com/watch?v=kBTqJJusTqg"
