,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,bkIWcVrLTnA,PRONUNCIAS MAL ESTAS MARCAS?? | Superholly,42,5,0.8,0,2019-01-31,15:06:38,3,afternoon,13809232,638590,68232,0,59430,11.316666666666666,hd,true,True,https://i.ytimg.com/vi/bkIWcVrLTnA/maxresdefault.jpg,1280,720,"['pronunciando marcas', 'cómo pronunciar marcas en inglés', 'pronunciación en inglés', 'inglés americano', 'brands in english', 'inglés con Superholly', 'acento estadounidense', 'cómo pronunciar Starbucks', 'pronunciación correcta de Starbucks', 'La chica Disney', 'pronunciación correcta de palmolive', 'Pronunciación de Amazon en Estados Unidos', 'cómo pronunciar goodyear', 'cómo se dice Colgate en Estados Unidos', 'Naiki o Nike?', 'Naiki o Naik o Nike?', 'No se dice estarbas', 'No se dice disney se dice disni']",18,24,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"¿Cuántas de estas marcas has estado pronunciando mal?
#MissHolly está de regreso con esta divertida clase de inglés enfocada en la pronunciación...

CONTRAPARTE DE ESTE VIDEO:
https://youtu.be/GitOdB4YeRM

Canal de English with Lucy:
https://www.youtube.com/c/englishwithlucy

MI CANAL EN INGLÉS
https://www.youtube.com/c/superhollyenglish

Por si me quieren seguir (a veces publico cosas chidas):
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
WEBSITE: http://www.superholly.com"
1,C-RZO7jrRXQ,¿Cómo enseñan español en USA? | Superholly,42,6,0.16666666666666666,0,2019-04-19,23:23:00,4,late_night,10293099,451774,8800,0,32262,21.516666666666666,hd,true,True,https://i.ytimg.com/vi/C-RZO7jrRXQ/maxresdefault.jpg,1280,720,"['español en USA', 'español en Estados Unidos', 'Cómo enseñan español', 'aprenden español en EEUU', 'cuánto español sabe el estadounidense promedio', 'estadounidenses hablando español', 'gringos hablando español', 'mexicano en Estados Unidos', 'imigrantes en USA']",9,24,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Amiguitosss
En este video me acompaña mi sobrina Katie para hablar de su experiencia aprendiendo español en Estados Unidos.
¡Lo más impresionante es que casi TODO el video está en español!
Ojalá lo disfruten...
xoxo,
Holly


MY ENGLISH CHANNEL:
https://www.youtube.com/c/superhollyenglish

¡Sígueme!
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
WEBSITE: http://www.superholly.com"
2,k2vQ5E3amww,Tips para mejorar tu INGLÉS | Superholly,40,6,0.16666666666666666,0,2017-03-09,19:39:37,3,night,8265219,531501,5083,0,24996,16.3,hd,true,False,https://i.ytimg.com/vi/k2vQ5E3amww/hqdefault.jpg,480,360,"['aprende ingles', 'domina el inglés', 'como hablar inglés', 'errores más comunes en inglés', 'como me quito el acento', 'acento en ingles', 'ingles sin acento', 'cómo aprender ingles', 'mejora tu pronunciacion', 'aprender ingles rápido y fácil', 'Tips para mejorar tu INGLÉS', 'consejos', 'aprendiendo inglés', 'pronunciación', 'estructura', 'gramática', 'fluidez', 'vocabulario', 'los errores más comunes', 'superholly', 'hollyradio', 'bilingue', 'speack English', 'snakk engelsk uten en aksent', 'Tips for å forbedre din engelsk']",25,26,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Hola amiguitos!!!!
En este video les comparto algunos consejos para todos los que están aprendiendo inglés o ya lo hablan y lo quieren perfeccionar. Cubrimos temas como pronunciación, estructura/gramática, fluidez y vocabulario. También menciono los errores más comunes que escucho y los corrijo.
Recuerden, aprender un idioma puede ser muy divertido, y tener un acento no tiene nada de malo! Estos son sólo algunos tips si quieren que su inglés fluya mejor.
Ojalá les guste el video... BESOS!
- Holly 

Para escuchar más inglés, puedes obtener un audiolibro GRATIS, aquí:
http://www.audible.com/superholly  

HOW TO IMPROVE YOUR SPANISH:
https://www.youtube.com/watch?v=3J8_JM7Qiss

STALK ME!!!

WEBSITE: http://www.superholly.com
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
BLOG: http://www.superholly.com


¿De qué trata mi canal?
http://bit.ly/2ovrrmm

¿Cada cuánto subo video?
http://bit.ly/2oSQzWK

¿Por qué no les pongo un nombre a mis suscriptores?
http://bit.ly/2q0YDSW

¿Hasta cuando estaré grabando videos de YouTube?
http://bit.ly/2oe2HmM

¿Cómo aprendí Español?
http://bit.ly/2oyx1Um"
3,QzJf1L6GPpY,Clientes hispanos hablaron mal de mí EN MI CARA!? | Mi experiencia como mesera | #CaféConHolly,94,14,0.21428571428571427,0,2020-04-16,17:00:11,3,afternoon,6847384,428710,13607,0,24872,35.61666666666667,hd,true,True,https://i.ytimg.com/vi/QzJf1L6GPpY/maxresdefault.jpg,1280,720,"['Superholly', 'Storytime', 'No seas como Holly', 'Mesera', 'Café con Holly', 'Holly Storytime', 'historias de Holly', 'Superholly mesera', 'Superholly en Los Angeles', 'Superholly Olive Garden', 'Superholly Acapulco', 'como tratan a los meseros', 'experiencias de meseros', 'mi vida como mesera']",14,24,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Hola amiguitos!
Bienvendios a este #Storytime en el que les estaré contanto anécdotas de los años en los que trabajé como mesera. 
Veremos casos de clientes abandonando el restaurant sin pagar, meseros vengándose, otros haciendo trampa para ganar más $, momentos que restauraron mi fe en la humanidad, lo bueno, lo malo y lo feo, para que me entiendan.


¡Sígueme!
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
WEBSITE: http://www.superholly.com"
4,L98nlrGDYF0,UNA GRINGA EN MÉXICO | Mi experiencia en la escuela | Superholly,64,10,0.4,0,2017-04-09,22:54:56,6,night,5775560,286396,6336,0,38364,17.833333333333332,hd,true,False,https://i.ytimg.com/vi/L98nlrGDYF0/maxresdefault.jpg,1280,720,"['escuela en méxico', 'primaria en México', 'secundaria en mexico', 'prepa en méxico', 'estadounidense viviendo en México', 'aprender español en México', 'colegio americano', 'Puebla', 'Orizaba', 'veracruz', 'Oaxaca', 'bullying', 'storytime en español', 'Neither Here Nor There', 'Gringa in Mexico', 'niether here nor there', 'TCK', 'ni de aqui ni de allá', 'ni de aqui ni de alla', 'de dónde es superholly?', 'Holly Grace Marie']",21,26,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Hola Amiguitos!
En este video les cuento de mis experiencias estudiando varios años en México, desde aprender español a los 6 años en Puebla, hasta experimentar los diferentes ritmos de enseñanza entre México y Estados Unidos mientras me movía de un país a otro. Algunas historias me hacen reír, otras me hacen llorar. Pero todas me hacen reflexionar.
¡Espero que les guste!
xo,
Holly

ESTE VIDEO EN INGLÉS: https://www.youtube.com/watch?v=swnOlUVXytY

STALK ME!!!

WEBSITE: http://www.superholly.com
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
BLOG: http://www.superholly.com

¿De qué trata mi canal?
http://bit.ly/2ovrrmm

¿Cada cuánto subo video?
http://bit.ly/2oSQzWK

¿Por qué no les pongo un nombre a mis suscriptores?
http://bit.ly/2q0YDSW

¿Hasta cuando estaré grabando videos de YouTube?
http://bit.ly/2oe2HmM

¿Cómo aprendí Español?
http://bit.ly/2oyx1Um


Canción de intro: Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) http://amzn.to/2giHRjj (affiliate)"
5,OdJF-Hpykp8,SOY UN MEME | Superholly,24,4,0.75,0,2019-05-22,21:19:58,2,night,4651179,283051,9950,0,36739,26.983333333333334,hd,false,True,https://i.ytimg.com/vi/OdJF-Hpykp8/maxresdefault.jpg,1280,720,"['superholly', 'memes', 'reaccionando a mis memes', 'no se dice nike', 'no se dice disney', 'pronunciación de marcas', 'pronuncias mal estas marcas', 'facebook', 'Memes en español']",9,24,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Aquí con la novedad de que ME HE CONVERTIDO EN UN MEME EN FACEBOOK!!!!
TODOS andan compartiendo memes de mi basados en el video de pronunciación de las marcas, ESTO SE HA SALIDO DE CONTROL!!!!
Me pidieron un video reaccionando a mis memes, y aquí lo tienen. Me acompaña Ben para entrarle a la diversión y darnos otra perspectiva.
enjoy!
Y recuerden, no es DISNEY, es DISNI! jajaja
xo,
Holly

¡Sigue a Ben!
Instagram: http://instagram.com/benjamincoyote

¡Sígueme a mi!
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
WEBSITE: http://www.superholly.com

VISTIMA REMIX ORIGINAL:
https://www.youtube.com/watch?v=boPEHqX3T0k

MI CANAL EN INGLÉS:
https://www.youtube.com/c/superhollyenglish"
6,JAfWg7ZygPc,Cómo conocí a mi ESPOSO ♡ Superholly,36,6,0.16666666666666666,0,2017-10-23,18:08:02,0,night,4173771,150852,2809,0,17142,37.85,hd,false,False,https://i.ytimg.com/vi/JAfWg7ZygPc/maxresdefault.jpg,1280,720,"['Nuestra historia de amor', 'Superholly esposo', 'Holly y Ben', 'relación interracial', 'novia extranjera', 'Como conocí a mi novio', 'Como nos conocimos', 'Como me enamore', 'Mexicano y gringa', 'Me casé con un Mexicano', 'Benjamin y Holly', 'me casé con un fan', 'como conocí a mi esposo', 'esta casada Superholly?', 'la flaca', 'armin van buuren', 'Cómo conocí a mi ESPOSO', 'esposo Benjamin', 'esposo de superholly', 'Storytime en español', '#HollyandBenForever']",21,22,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Finalmente, aquí les presento la historia de cómo conocí a mi precioso esposo Benjamin. Es loquísimo cómo de ser una persona que me escuchaba de repente en la radio, se convirtió en el amor de mi vida.
El es Mexicano y yo soy Estadounidense. El es introvertido y yo extrovertida. Y al final, nos complementamos perfectamente.
El video va a ser algo larguito, así que agarren una buena taza de café y siéntense a disfrutar de esta historia de AMOR ♡
¡Los quiero mucho!
Gracias por el apoyo constante...
xo,
Holly

THIS VIDEO IN ENGLISH: https://youtu.be/tXqbM9q2SOs

NUESTRA BODA: https://www.youtube.com/watch?v=wb7dm68xhkE

💕💕💕💕💕
Protectores de celular super cute: https://velvetcaviar.com
Usa el código HOLLYXO para recibir 15% de descuento 
💕💕💕💕💕


▽ ¡Conectemonos! ▽
BLOG: http://www.superholly.com
Instagram: http://instagram.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly
Twitter: https://twitter.com/hollyradio

SUPERHOLLY FAQ

¿De qué trata mi canal?
http://bit.ly/2ovrrmm

¿Cada cuánto subo video?
http://bit.ly/2oSQzWK

¿Por qué no les pongo un nombre a mis suscriptores?
http://bit.ly/2q0YDSW

¿Hasta cuando estaré grabando videos de YouTube?
http://bit.ly/2oe2HmM

¿Cómo aprendí Español?
http://bit.ly/2oyx1Um


Video filmado con el Canon 80D http://amzn.to/2h2J0bA (affiliate)

Canciones que aparecen en el video:
Agua - Jarabe de Palo http://apple.co/2zQMOEN (affiliate)
Virtual Friend - Armin Van Buuren http://apple.co/2gKpALW (affiliate)
Never Fade Away (Andy Duguid Mix Edit) http://apple.co/2yT0SQ0 (affiliate)
Si tú me miras - Alejandro Sanz http://apple.co/2zH0iSF (affiliate)
La Flaca - Jarabe de Palo http://apple.co/2y6uOc8 (affiliate)"
7,J_9MkKAFrFw,15 palabras difíciles de pronunciar en inglés | Superholly,58,8,0.0,0,2018-02-25,00:19:22,6,late_night,4055489,183295,3025,0,10906,18.733333333333334,hd,false,True,https://i.ytimg.com/vi/J_9MkKAFrFw/maxresdefault.jpg,1280,720,"['pronunciación en inglés', 'inglés americano', 'palabras difíciles de pronunciar', 'alfabeto fonético internacional', 'como se pronuncia infrastructure?', 'Como se pronuncia through', 'pronunciacion de thorough', 'pronunciacion de schedule', 'pronunciación de palabras en inglés americano', 'mejora tu pronunciación del inglés americano', 'pronunciación correcta de February', 'Pronunciación del inglés americano con Miss Holly', 'pronunciación correcta de infrastructure', 'Infraeschochor']",14,22,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Hola amiguitos!
Ya era hora de que sacara un video dedicado a la pronunciación en inglés. Es tan raro e impredecible, alguien tiene que ayudarlos a navegar en sus redes tramposas... muahahahahaa
Aquí veremos 15  palabras de uso frecuente que según sus tweets y mensajes, a ustedes se les dificulta pronunciar. También les mostraré cómo se deletrean con el alfabeto fonético internacional, para que se vayan acostumbrando a esta manera estandarizada de representar sonidos. Por suerte, estos símbolos SIEMPRE representan los mismos sonidos.
¡Espero que este video les ayude un poquito a mejorar su pronunciación!
¡No olviden dejarme un comentario para que les pueda regalar su estrellita de oro por asistir a clase!
xoxo,
Miss Holly

SUBSCRIBE TO MY ENGLISH CHANNEL!
http://bit.ly/2GeqNDh

¡CONÉCTATE CONMIGO!

WEBSITE: http://www.superholly.com
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly

0:00 Intro
1:32 Cupcake ˈkʰʌpˌkʰeɪk 
2:09 Setup ˈsɛˌɾʌp 
3:27 Infrastructure ˌɪnfrəˈstrʌkʧər 
4:36 Though ðoʊ, Althoughˌɔlˈðoʊ 
5:17 Through θru 
6:37 Tough tʰʌf 
7:17 Thorough ˈθɜroʊ 
7:48 Thought θɔt 
8:23 February ˈfɛbjəˌwɛri o ˈfɛbruˌwɛri
9:20 January ˈʤænjuˌɛri 
9:37 Schedule ˈskɛʤʊl, ˈʃɛdjuːl 
10:34 Jewelry ˈʤuəlri 
12:04 Aunt ænt 
13:00 Author ˈɔθər 
14:30 Rural ˈrʊrəl 
15:30 Comfortable ˈkʌmftərbəl / Uncomfortable ənˈkʌmftərbəl


SUPERHOLLY FAQ

¿De qué trata mi canal?
http://bit.ly/2ovrrmm

¿Cada cuánto subo video?
http://bit.ly/2oSQzWK

¿Por qué no les pongo un nombre a mis suscriptores?
http://bit.ly/2q0YDSW

¿Hasta cuando estaré grabando videos de YouTube?
http://bit.ly/2oe2HmM

¿Cómo aprendí Español?
http://bit.ly/2oyx1Um


Video filmado con el Canon 80D http://amzn.to/2zmABXl"
8,K_2gWP20MSY,10 palabras en español que NO EXISTEN en inglés! | Superholly,61,10,0.2,0,2018-06-16,22:19:08,5,night,3876191,184149,3797,0,23055,12.15,hd,false,True,https://i.ytimg.com/vi/K_2gWP20MSY/maxresdefault.jpg,1280,720,"['superholly', '10 palabras en ingles que no existen en español', '10 palabras', 'palabras que no existen', 'palabras que no existen en inglés', 'palabras en español que no existen en ingles', 'cuando se explica algo mejor en español que en inglés', 'traduciendo de español a inglés', 'palabras del español sin traducción al inglés', 'palabras en ingles y español', '10 palabras que no existen en ingles', 'superholly ingles', 'Miss Holly Clase de inglés', 'cómo se explica estrenar en inglés']",14,24,none,es-MX,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"Amiguitos! 
Al fin la contraparte de mi video de 10 palabras en inglés que no existen en español!
Volví con esta lista de 10 de mis palabras favoritas en español que no existen en inglés. Lo que  podemos decir con una palabra en un idioma, requiere toda una explicación en otro.
¿Por qué? Porque así funcionan los idiomas!
Y ME ENCANTAAAAAA
¡ojalá disfruten el video!
xoxo
Holly

VISITEN MI NUEVA TIENDA DE ROPA Y ACCESORIOS INSPIRADOS EN EL ARTE DE MI ESPOSO:
https://superhollyshop.myshopify.com

10 palabras en inglés que NO EXISTEN en español:
https://youtu.be/x47CM2nEe9U

ESTE VIDEO EN INGLÉS:
https://youtu.be/5ZNdo5kHL-E

¡CONÉCTATE CONMIGO!

WEBSITE: http://www.superholly.com
Instagram: http://instagram.com/hollyradio
Twitter: https://twitter.com/hollyradio
Facebook: https://www.facebook.com/yosoyholly



SUPERHOLLY FAQ

¿De qué trata mi canal?
http://bit.ly/2ovrrmm

¿Cada cuánto subo video?
http://bit.ly/2oSQzWK

¿Por qué no les pongo un nombre a mis suscriptores?
http://bit.ly/2q0YDSW

¿Hasta cuando estaré grabando videos de YouTube?
http://bit.ly/2oe2HmM

¿Cómo aprendí Español?
http://bit.ly/2oyx1Um


Video filmado con el Canon 80D http://amzn.to/2zmABXl"
9,k4490XlETIs,Cómo hacer una lámpara de Nube ☁ | Superholly,45,7,0.0,0,2015-07-09,13:42:20,3,afternoon,3821813,133775,3769,0,2152,7.016666666666667,hd,false,True,https://i.ytimg.com/vi/k4490XlETIs/hqdefault.jpg,480,360,"['instrucciones lámpara nube', 'como hacer una nube', 'lampara nube', 'superholly lámpara nube', 'bricolaje Superholly lámpara nube', 'lámpara nube', 'lampara de nubes', 'tutorial lampara de nube neon', 'lampara de nube', 'DIY lámpara nube', 'Holly lámpara nube', 'lamparas de nubes neon', 'bricolaje lámpara nube', 'nubes neon', 'lampara', 'como hacer', 'como hacer una lampara', 'nube', 'lámpara', 'polinesios lámpara nube', 'bricolage Superholly', 'bricolaje Holly y Ben', 'tutoriales Ben y Superholly', 'bricolaje lampara']",24,26,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],superholly,4280000,236898709,256,"¡Disfruta de relámpagos y atardeceres relajantes dentro de tu cuarto! Aquí te doy todos los pasos para hacer tu propia lámpara multicolor en forma de nube.   Aquí puedes ver una lista de materiales en amazon que se podrían usar para hacer su propia lámpara. http://amzn.to/2nrDkxv (affiliate).
 Algunas piezas son diferentes a las mías, pero te servirán para hacer una lámpara parecida. 

Más info en mi blog post completo:
https://www.superholly.com/blog-2/2015/07/22/diy-cloud-lamp

¡Conéctate conmigo!

BLOG: http://www.superholly.com
Facebook: https://www.facebook.com/yosoyholly
Twitter: https://twitter.com/hollyradio
Instagram: http://instagram.com/hollyradio

Materiales: 
*Este enlace les llevará a una página en amazon con los materiales todos en un sólo lugar* http://a.co/jlbIjb6
Linternas de Papel- de varios colores y tamaños. http://amzn.to/2yCDdjU (affiliate)
 Cotton or Stuffing Ultralast 
Luces LED que cambian de color (opcional) http://amzn.to/2yDrotX (affiliate)
 Pistola de silicona http://amzn.to/2zF3S33 (affiliate)
Hilo para pescar http://amzn.to/2zEEUkh (affiliate)
Ganchos que se puedan atornillar http://amzn.to/2AJmBIT (affiliate)
Largo cable de extension http://amzn.to/2zHwecQ (affiliate)
Relleno para formal la nube https://www.michaels.com/polyester-classic-fiber-fill-by-loops-and-threads/10323436.html

Superholly is an Amazon associate."
