video_id,thumbnail_url,labels,faces,texts,adult,medical,racy,spoof,violence
pGOi6_Uq4WI,https://i.ytimg.com/vi/pGOi6_Uq4WI/maxresdefault.jpg,"['Advertising', 'Banner', 'Brand', 'Conversation', 'Electric blue', 'Event', 'Facial expression', 'Flag', 'Font', 'Gesture', 'Graphics', 'Happy', 'Job', 'Line', 'Logo', 'Product', 'Rectangle', 'Sharing', 'Shirt', 'Sleeve', 'Smile', 'T-shirt', 'Team', 'Television program', 'Youth']","['happy', 'happy']","['ACENTO', 'ACENTO\nYANQUI\nACENTO\nSUREÑO\nROOLYN\nVLOG GÜERO\nAMERICANBOY\nACENTOS DE U.S.A.\n', 'ACENTOS', 'AMERICANBOY', 'DE', 'GÜERO', 'ROOLYN', 'SUREÑO', 'U.S.A.', 'VLOG', 'YANQUI']",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY,UNLIKELY
eJa8udXHrn8,https://i.ytimg.com/vi/eJa8udXHrn8/maxresdefault.jpg,"['Advertising', 'Beard', 'Brand', 'Conversation', 'Event', 'Eyewear', 'Facial expression', 'Facial hair', 'Font', 'Fun', 'Gesture', 'Glasses', 'Hairstyle', 'Happy', 'Job', 'Leisure', 'Logo', 'Moustache', 'Photo caption', 'Room', 'Sleeve', 'Smile', 'T-shirt', 'Team', 'Vision care']","['happy', 'other']","['APRENDE', 'GRINGO', 'GRINGO\nAPRENDE\nVENEZOLANO\n', 'VENEZOLANO']",UNLIKELY,POSSIBLE,UNLIKELY,VERY_LIKELY,UNLIKELY
hxo-0FaOsSM,https://i.ytimg.com/vi/hxo-0FaOsSM/maxresdefault.jpg,"['Art', 'Carmine', 'Conversation', 'Design', 'Engineering', 'Event', 'Font', 'Fun', 'Gesture', 'Happy', 'Job', 'Muscle', 'People', 'Product', 'Recreation', 'Red', 'Room', 'Sharing', 'Smile', 'Social group', 'T-shirt', 'Team', 'Technology']","['happy', 'happy']","['KE', 'LO', 'i', 'i KE LO\nKE\n']",UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY
aP8loSFLsyg,https://i.ytimg.com/vi/aP8loSFLsyg/maxresdefault.jpg,"['Active shirt', 'Audio equipment', 'Beard', 'Chest', 'Computer', 'Computer keyboard', 'Computer monitor', 'Desk', 'Elbow', 'Font', 'Forehead', 'Fun', 'Input device', 'Jaw', 'Job', 'Mouth', 'Output device', 'Peripheral', 'Room', 'Sitting', 'T-shirt', 'Table']",['other'],"['EN', 'ESPAÑOL', 'HABLANDO', 'HABLANDO\nESPAÑOL\nEN USA\n', 'USA']",VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY,UNLIKELY
KsCAvQ7-6jA,https://i.ytimg.com/vi/KsCAvQ7-6jA/maxresdefault.jpg,"['Audio equipment', 'Beard', 'Brand', 'Electric blue', 'Font', 'Happy', 'Job', 'Logo', 'Organ', 'Product', 'Room', 'Sleeve', 'Smile', 'T-shirt']",['happy'],"['CÓMO', 'INGLÉS', 'JAPAN', 'JAPAN\nCÓMO\nMEJORAR TU\nINGLÉS\n', 'MEJORAR', 'TU']",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,POSSIBLE,UNLIKELY
PsAtMiw7d14,https://i.ytimg.com/vi/PsAtMiw7d14/maxresdefault.jpg,"['Artist', 'Cool', 'Entertainment', 'Event', 'Eyewear', 'Facial hair', 'Fashion', 'Fun', 'Gesture', 'Glasses', 'Goggles', 'Hair', 'Jewellery', 'Leisure', 'Music', 'Music artist', 'Necklace', 'Party', 'Performance', 'Performing arts', 'Red', 'Social group', 'Sunglasses', 'T-shirt', 'Vision care', 'Youth']","['other', 'happy', 'other']","['CUDUR', 'de', 'de\nCUDUR\n']",VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY
AdyLXa_eJgM,https://i.ytimg.com/vi/AdyLXa_eJgM/maxresdefault.jpg,"['Art', 'Community', 'Conversation', 'Event', 'Facial expression', 'Font', 'Fun', 'Gesture', 'Happy', 'Human', 'Logo', 'Mammal', 'Microphone', 'Mouth', 'Muscle', 'Organ', 'People', 'Red', 'Sharing', 'Smile', 'T-shirt']","['happy', 'happy']","['DE', 'GRETI', 'LA', 'LLECA', '¿LOS', '¿LOS GRETI\nDE LA\nLLECA\n']",UNLIKELY,UNLIKELY,POSSIBLE,UNLIKELY,UNLIKELY
XWWMLD-52JU,https://i.ytimg.com/vi/XWWMLD-52JU/maxresdefault.jpg,"['Advertising', 'Brand', 'Cap', 'Community', 'Event', 'Facial expression', 'Flag', 'Flag Day (USA)', 'Flag of the united states', 'Flash photography', 'Font', 'Fun', 'Gesture', 'Happy', 'Hat', 'Human', 'Jewellery', 'Logo', 'Muscle', 'People', 'Photo caption', 'Photograph', 'Product', 'Sleeve', 'Smile', 'T-shirt', 'Team', 'Thumb', 'Vest']","['other', 'happy']","['COMO', 'GRINGOS', 'HABLAR', 'HABLAR\nINGLÉS\nCOMO LOS GRINGOS\n', 'INGLÉS', 'LOS']",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_LIKELY,UNLIKELY
YDPF1ot4XTY,https://i.ytimg.com/vi/YDPF1ot4XTY/maxresdefault.jpg,"['Active shirt', 'Beard', 'Brand', 'Buzz cut', 'Cheek', 'Chin', 'Cool', 'Eyebrow', 'Eyelash', 'Facial hair', 'Flash photography', 'Font', 'Forehead', 'Hairstyle', 'Happy', 'Jaw', 'Moustache', 'Mouth', 'Neck', 'Nose', 'Photo caption', 'Picture frame', 'Shirt', 'T-shirt']",['happy'],"['CUESTA', 'EN', 'NE', 'NEW', 'NYC?', 'VIVIR', 'YOR', 'YORK', '¿CUANTO', '¿CUANTO\nCUESTA\nVIVIR\nEN NYC?\nNEW YOR\nNE YORK\n']",UNLIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY,UNLIKELY
p5VvKIDeIMQ,https://i.ytimg.com/vi/p5VvKIDeIMQ/maxresdefault.jpg,"['Active shirt', 'Beard', 'Chin', 'Clothing', 'Cool', 'Event', 'Eyewear', 'Font', 'Forehead', 'Formal wear', 'Friendship', 'Gesture', 'Hair', 'Happy', 'Head', 'Jaw', 'Mammal', 'Moustache', 'Mouth', 'Neck', 'Outerwear', 'Product', 'Sleeve', 'Smile', 'T-shirt', 'Vertebrate']","['happy', 'happy']","['APRENDE', 'GRINGO', 'GRINGO APRENDE\nVENEZOLANO\nParte II\n', 'II', 'Parte', 'VENEZOLANO']",UNLIKELY,UNLIKELY,UNLIKELY,VERY_LIKELY,UNLIKELY
