,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,v9yPjQ0G1VM,GRINGO EXPERIMENTO SOCIAL HABLANDO ESPAÑOL A OTROS ESTADOUNIDENSES,66,8,1.0,0,2017-04-23,20:08:03,6,night,3314272,88299,4068,0,12744,12.483333333333333,hd,false,True,https://i.ytimg.com/vi/v9yPjQ0G1VM/maxresdefault.jpg,1280,720,"['hablando a gringos en español', 'Gringo español', 'Gringo Spanish', 'Hablando español en los estados unidos', 'Speaking spanish to Americans', 'cantando puro chantaje', 'Experimento social hablando español a americanos', 'top 10 spanish youtubers', 'learn spanish', 'Gringo hablando espanol a otros gringos', 'estadounidense hablando espanol a otros estadounidenses', 'Blog guero', 'Vlog güero']",13,22,none,es-419,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Vlog Güero,97600,4095109,17,"Un experimento social Español, en el que estoy hablando español a los americanos y voy a varias tiendas diferentes y lugares para ver si alguien fue capaz de ayudarme con lo que necesito en español, pero por desgracia nadie fue capaz. 

A Spanish social experiment where I am speaking spanish to Americans, and I go to various different stores and locations to see if anybosy is able to help me with what I need in spanish but unfortunately nobody was able. 

Follow me on Instagram https://www.instagram.com/soyrobertogerringer/

Sígueme en Instagram https://www.instagram.com/soyrobertogerringer/"
1,kFG5GciffPM,POR QUE ESPAÑOL?,16,3,1.0,0,2019-01-03,15:25:17,3,afternoon,106809,10824,58,0,2343,10.95,hd,false,True,https://i.ytimg.com/vi/kFG5GciffPM/maxresdefault.jpg,1280,720,"['Gringos', 'hablando', 'español', 'porque espanol', 'dustin luke', 'gringo spanish', 'american spanish', 'spanish learning', 'spanish tips']",9,24,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Vlog Güero,97600,4095109,17,"Explicando porque yo decidí aprender español y la historia de esa aventura, desde el punto de vista gringo."
2,sJBTW9gj9Vs,GRINGO HABLANDO ESPAÑOL A LOS AMERICANOS(PARTE 2),49,8,0.875,0,2017-07-28,00:27:38,4,late_night,101486,10168,33,0,1795,8.216666666666667,hd,false,True,https://i.ytimg.com/vi/sJBTW9gj9Vs/maxresdefault.jpg,1280,720,"['Gringo hablando espanol', 'Gringo spanish', 'Gringo experimento', 'American speaking spanish', 'Spanish', 'Social Experiment']",6,22,none,es,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Vlog Güero,97600,4095109,17,"Este es un video de mi realización de un experimento social en LOS ESTADOS UNIDOS , quería tratar de ver cuántas personas en los Estados Unidos podrían ayudarme a traducir mi español en un entorno inglés. No se olvide de suscribirse y dejarme un comentario! ¡Tenga un buen día!

This is a video of me conducting a social experiment in The United States, I wanted to try to see how many people in the United States could help me translate my Spanish in an English setting. don't forget to subscribe and leave me a comment! Have a good day!"
3,SLDWpNCLQPA,ESTADOUNIDENSE PROBANDO DULCES MÉXICANOS,40,4,1.0,0,2017-06-13,18:36:46,1,night,81621,6893,77,0,1872,8.9,sd,false,True,https://i.ytimg.com/vi/SLDWpNCLQPA/hqdefault.jpg,480,360,"['Gringo probando dulces mexicanos', 'gringo hablando espanol', 'probando dulces mexicanos', 'gringo cantando en espanol', 'American trying mexican candy', 'American singing in spanish', 'American singing despacito', 'Gringo cantando despacito', 'Dulces mexicanos']",9,19,none,es-419,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Vlog Güero,97600,4095109,17,Video de un gringo tratando dulces mexicanos. Fui a la tienda para probar y explorar y encontrar algunos dulces nuevos para probar! No se olvide de suscribirse!
4,v_Vc0R7V6Os,GRINGOS EN MÉXICO (VLOGGÜERO),29,4,1.0,0,2017-05-26,18:13:59,4,night,60733,3004,44,0,537,3.533333333333333,hd,false,True,https://i.ytimg.com/vi/v_Vc0R7V6Os/maxresdefault.jpg,1280,720,"['Gringos en mexico', 'Costa maya', 'Americanos hablando espanol', 'Gringos bailando a reggaeton', 'Carnival Fantasy', 'Robert Gerringer', 'Gringo hablando espanol', 'espanol', 'gringo', 'guapo hablando espanol', 'Gringo cantando despacito']",11,19,none,es-MX,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",Vlog Güero,97600,4095109,17,"Un video de unos gringos, mí y de mis amigos, pasando algún tiempo en México por unos pocos días. Espero que todos disfruten del video y no se olviden de suscribirse!"
5,hdKmZ1ulaUU,UNIVISION: VLOGGÜERO,20,2,1.0,0,2017-08-13,12:27:30,6,afternoon,59935,3039,15,0,296,1.1333333333333333,sd,false,True,https://i.ytimg.com/vi/hdKmZ1ulaUU/hqdefault.jpg,480,360,"['Univision', 'Gringo', 'Americans', 'Espanol', 'Spanish', 'Intrevista', 'Phoenix', 'Roberto', 'Gerringer', 'Donald Trump', 'what do americans think about building a wall', 'gringo hablando espanol']",12,22,none,,['https://en.wikipedia.org/wiki/Society'],Vlog Güero,97600,4095109,17,"Mi informe para Univision sobre estadounidenses en los Estados Unidos que quieren aprender a hablar español y apoyar a la comunidad latina

http://www.univision.com/arizona/ktvw/noticias/comunidad/estadounidenses-ven-el-hablar-espanol-como-un-nuevo-nicho-de-oportunidades-video"
6,G7uLX6U12ZQ,UN FESTIVAL LATINO EN MI PUEBLO (con Ford Quarterman),53,9,0.6666666666666666,0,2019-01-17,13:11:33,3,afternoon,49699,3187,24,0,540,7.816666666666666,hd,false,True,https://i.ytimg.com/vi/G7uLX6U12ZQ/hqdefault.jpg,480,360,"['Gringos', 'hablando', 'español', 'ford quarterman', 'gringos bailando', 'musica espanol', 'festival latino', 'roberto gerringer', 'gringos bailando merengue', 'mexican food', 'los gringos tv', 'latin festival', 'vlog guero', 'probando comida boricua', 'comida latina', 'baliando salsa', 'festival de bailar', 'funny gringo spanish', 'spanish tips', 'spanish learning']",20,24,none,,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Vlog Güero,97600,4095109,17,"Dos gringos locos en un festival latino hablando español con gente desconocida. Tuve el gran placer de hacer el video con otro gringo enamorado con Mexico, señor Ford Quarterman.  Fuimos a probar arepas de Venezuela y Puerto Rico. Y luego averiguamos que El Ford sabe bailar mucho mejor que yo, así que vayan a verlo ya! Yo soy un gringo 100% de North Carolina y Ford es tambien 100% gringo pero de Georgia. Disfrútenlo y subscríbete!

Follow Vlog Güero en Instagram https://www.instagram.com/soyrobertogerringer/

Follow el YouTube de Ford https://www.youtube.com/channel/UCjvWmAY6zNmMILCm1ECrnZg

Follow Señor Ford en Instagram https://www.instagram.com/fordquarterman/"
7,cWr5UD34mhQ,TE QUIERO MUCHO MEXICO! (VLOGGÜERO),35,5,1.0,0,2017-11-03,13:43:33,4,afternoon,47912,3052,32,0,691,15.0,hd,false,True,https://i.ytimg.com/vi/cWr5UD34mhQ/maxresdefault.jpg,1280,720,"['Mexico', 'Puerto Morelos', 'Gringo en mexico', 'Tacos al pastor', 'Tacos de lengua', 'Gringo probando comida mexicana', 'Riviera maya', 'Cancun', 'Cenotes', 'Gringo hablando espanol', 'Cancun Billys', 'Roberto Gerringer', 'Is mexico safe']",13,22,none,,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],Vlog Güero,97600,4095109,17,Esta es una ciudad en México llamada Puerto Morelos y es absolutamente hermosa. Me quedé en un barrio muy amigable llamado Villa Morelos Dos y fue tan perfecto. No puedo esperar para volver y visitar los cenotes y el resto de la riviera maya.
8,su-AA2qVQ7I,Mi primera vez en CDMX (primeras reacciones),44,7,0.14285714285714285,0,2019-02-13,16:58:14,2,afternoon,47204,3340,50,0,542,4.883333333333333,hd,false,True,https://i.ytimg.com/vi/su-AA2qVQ7I/maxresdefault.jpg,1280,720,"['ciudad de mexico', 'CDMX', 'Chilango', 'gringo explorando mexico', 'tacos al pastor', 'white guy in mexico city', 'blog Guero', 'vlog Guero', 'roberto gerringer']",9,24,none,,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",Vlog Güero,97600,4095109,17,Un niño americano visita la ciudad capital de México por primera vez y va a probar tacos al pastor. Un plato mexicano muy típico. La forma en que un gringo ve a México.
9,UBXbn2gekcQ,50 COSAS SOBRE MI,17,4,0.75,0,2017-12-06,19:03:22,2,night,47157,4656,39,0,1013,13.3,hd,false,True,https://i.ytimg.com/vi/UBXbn2gekcQ/maxresdefault.jpg,1280,720,"['50 things about me', '50 cosas sobre mi', 'gringo hablando espanol', 'american speaking spanish', 'perfect spanish', 'Roberto Gerringer', 'Gerringer', 'Vlogmas', 'Funny gringo']",9,22,none,,,Vlog Güero,97600,4095109,17,50 COSAS SOBRE MI Y SOBRE MI VIDA ESPERO QUE LO DISFRUTEN
