,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,5ZbKlHU85OA,FANS PRANK THEIR ANGRY MOMS ON FORTNITE!,40,7,1.0,0,2018-11-04,19:15:42,6,night,3899437,68927,1202,0,4961,12.983333333333333,hd,false,True,https://i.ytimg.com/vi/5ZbKlHU85OA/maxresdefault.jpg,1280,720,"['fortnite', 'Fortnite trolling', 'mom abusing child on fortnite', 'angry mom', 'voice trolling', 'fortnite voice trolling', 'fortnite funny trolling', 'fortnite funny moments', 'fortnite trolling kid', 'fortnite fails', 'fortnite funny fails', 'fortnite best moments', 'fortnite montage', 'fortnite funny', 'fortnite angry mom', 'prank call', 'fortnite mom voice', 'fortnite mom', 'fortnite girl', 'fortnite voice impressions', 'fortnite rage', 'best in class voice impressions', 'voice changer', 'best in class asmr']",24,23,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"in this episode fans prank call their moms and their reactions are hilarious! Hope you enjoy!

Did you enjoy? Leave a Like! :D
20,000 Likes for more!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

FANS PRANK THEIR ANGRY MOMS ON FORTNITE! | Best In Class
https://www.youtube.com/watch?v=5ZbKlHU85OA

Best In Class:
https://www.youtube.com/bicboygaming"
1,Z56hlqzEFhw,HILARIOUS SPONGEBOB VOICE IMPRESSIONS ON FORTNITE!,50,6,1.0,0,2019-01-21,19:15:04,0,night,2836833,94598,1537,0,5856,11.6,hd,false,True,https://i.ytimg.com/vi/Z56hlqzEFhw/maxresdefault.jpg,1280,720,"['Fortnite', 'fortnite trolling', 'fortnite voice trolling', 'spongebob', 'fortnite voice impression', 'fortnite trolling kid', 'voice', 'impression', 'voice impression', 'patrick star', 'voice acting', 'squidward', 'dab', 'funny moments', 'voice changer', 'reaction', 'amazing', 'best in class', 'best in class voice impressions', 'voice impressions', 'best in class asmr', 'best in class fortnite', 'angry mom', 'fortnite singing', 'fortnite season 8', 'fortnite funny', 'fortnite funny moments', 'fortnite snowman']",28,23,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"FOLLOW MY INSTAGRAM: https://goo.gl/nT5s73
in this episode i do my Spongebob voice impressions on Fortnite! That's Patrick Star, Squidward and Spongebob SquarePants! Hope you enjoy!

Did you enjoy? Leave a Like! :D
25,000 Likes for more!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

HILARIOUS SPONGEBOB VOICE IMPRESSIONS ON FORTNITE! | Best In Class
https://youtu.be/Z56hlqzEFhw

Best In Class:
https://www.youtube.com/bicboygaming"
2,UTRRDwStWu8,CHILD ABUSING MOM ON FORTNITE! *Hilarious Mom Voice Impression*,63,9,0.5555555555555556,0,2019-06-06,19:15:02,3,night,2619768,99225,1413,0,3514,8.75,hd,false,True,https://i.ytimg.com/vi/UTRRDwStWu8/maxresdefault.jpg,1280,720,"['fortnite', 'trolling', 'Fortnite trolling', 'mom abusing child', 'mom abusing child on fortnite', 'voice trolling', 'voice changer', 'mom voice', 'angry mom', 'fortnite voice trolling', 'fortnite funny trolling', 'fortnite funny moments', 'fortnite fails', 'fortnite funny fails', 'fortnite best moments', 'fortnite funny', 'fortnite angry mom', 'fortnite mom voice', 'fortnite mom', 'fortnite girl', 'best in class voice impressions', 'fortnite season 10', 'fortnite monster', 'fortnite godzilla', 'best in class']",25,23,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"Did you enjoy? Leave a Like! :D
25,000 Likes for part 2!!!
JOIN MY STREAM 🔥: https://www.caffeine.tv/bestinclass

in this episode i use my mom voice impression to trick fortnite players into thinking i'm abusing my angry mom on Fortnite! Hope you enjoy!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

CHILD ABUSING MOM ON FORTNITE!
https://youtu.be/UTRRDwStWu8

Best In Class:
https://www.youtube.com/bicboygaming"
3,ayNcRFEuZSc,VOICE CHANGER SQUEAKER FINDS A GIRLFRIEND ON FORTNITE‬!,55,8,1.0,0,2018-09-23,19:15:13,6,night,2387496,39394,1000,0,3213,11.2,hd,false,False,https://i.ytimg.com/vi/ayNcRFEuZSc/maxresdefault.jpg,1280,720,"['fortnite', 'trolling', 'fortnite trolling', 'fortnite girl', 'fortnite funny moments', 'fortnite fails', 'girl', 'girlfriend', 'gamer girl', 'fortnite hot girl', 'finding a girlfriend fortnite', 'gamer girl plays fortnite', 'trolling on fortnite', 'voice changer', 'voice changer trolling', 'voice changer squeaker', 'reaction', 'funny reactions', 'fortnite squeaker', 'fortnite squeaker trolling', 'fortnite voice changer', 'mom voice', 'best in class', 'best in class voice impressions', 'voice impressions', 'best in class asmr']",26,23,none,en-US,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"in this episode i use my voice changer squeaker voice on some internet tough guys and find a girlfriend on Fortnite! Hope you enjoy!

 

Did you enjoy? Leave a Like! :D
20,000 Likes for more!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

VOICE CHANGER SQUEAKER FINDS A GIRLFRIEND ON FORTNITE‬! | Best In Class
https://www.youtube.com/watch?v=ayNcRFEuZSc

Best In Class:
https://www.youtube.com/bicboygaming"
4,UphIm5iMsZk,SQUEAKER BEASTS TRYHARDS ON BLACK OPS 4! *RAGE QUIT*,52,9,0.8888888888888888,0,2019-01-28,19:15:34,0,night,2137120,65170,1212,0,2674,10.316666666666666,hd,false,True,https://i.ytimg.com/vi/UphIm5iMsZk/maxresdefault.jpg,1280,720,"['fortnite', 'trolling', 'fortnite trolling', 'fortnite girl', 'fortnite funny moments', 'fortnite fails', 'girl', 'girlfriend', 'gamer girl', 'fortnite hot girl', 'finding a girlfriend fortnite', 'gamer girl plays fortnite', 'trolling on fortnite', 'voice changer', 'voice changer trolling', 'voice changer squeaker', 'reaction', 'funny reactions', 'fortnite squeaker', 'fortnite squeaker trolling', 'fortnite voice changer', 'mom voice', 'best in class', 'fortnite season 8', 'black ops 4', 'bo4', 'angry mom']",27,23,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"Did you enjoy? Leave a Like! :D
25,000 Likes for more!

in this video i play black ops 4 using my squeaker voice changer against tryhards and absolutely BEAST them until they rage quit! Hope you enjoy!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

SQUEAKER BEASTS TRYHARDS ON BLACK OPS 4! *RAGE QUIT*
https://youtu.be/UphIm5iMsZk

Best In Class:
https://www.youtube.com/bicboygaming"
5,75uU72xgU3s,Mom Abusing Child on FORTNITE 2! (Hilarious Voice Impression Reactions!),72,10,0.1,0,2018-10-28,19:29:11,6,night,2040689,61405,702,0,4338,12.95,hd,false,True,https://i.ytimg.com/vi/75uU72xgU3s/maxresdefault.jpg,1280,720,"['fortnite', 'trolling', 'Fortnite trolling', 'mom abusing child on fortnite', 'mom abusing child', 'voice trolling', 'fortnite voice trolling', 'fortnite funny trolling', 'fortnite funny moments', 'fortnite kid trolled', 'fortnite trolling kid', 'fortnite fails', 'fortnite funny fails', 'fortnite best moments', 'fortnite montage', 'fortnite funny', 'fortnite angry mom', 'fortnite mom voice', 'fortnite mom', 'fortnite girl', 'best in class voice impressions', 'voice changer', 'best in class asmr', 'best in class fortnite']",24,23,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"in this episode i use my mom voice impression to bamboozle fortnite players into thinking my mom is abusing me! Hope you enjoy!

Did you enjoy? Leave a Like! :D
20,000 Likes for more!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

Mom Abusing Child on FORTNITE 2! (Hilarious Voice Impression Reactions!) | Best In Class
https://www.youtube.com/watch?v=75uU72xgU3s

Best In Class:
https://www.youtube.com/bicboygaming"
6,yGwfljMJTkc,FANS PRANK THEIR ANGRY MOMS ON FORTNITE PART 2!,47,9,0.8888888888888888,0,2019-01-14,19:15:07,0,night,1988735,70060,1007,0,3007,10.8,hd,false,True,https://i.ytimg.com/vi/yGwfljMJTkc/maxresdefault.jpg,1280,720,"['fortnite', 'Fortnite trolling', 'mom abusing child on fortnite', 'angry mom', 'voice trolling', 'fortnite voice trolling', 'fortnite funny trolling', 'fortnite funny moments', 'fortnite trolling kid', 'fortnite fails', 'fortnite funny fails', 'fortnite best moments', 'fortnite montage', 'fortnite funny', 'fortnite angry mom', 'prank call', 'fortnite mom voice', 'fortnite mom', 'fortnite girl', 'fortnite voice impressions', 'fortnite rage', 'best in class voice impressions', 'voice changer', 'best in class asmr']",24,23,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Simulation_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"in this episode fans prank call their moms and their reactions are hilarious! Hope you enjoy!
JOIN MY DISCORD→→→ https://discord.gg/bestinclass

Did you enjoy? Leave a Like! :D
20,000 Likes for more!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

FANS PRANK THEIR ANGRY MOMS ON FORTNITE 2! | Best In Class
https://youtu.be/yGwfljMJTkc

Best In Class:
https://www.youtube.com/bicboygaming"
7,kn-XqXycrH4,if you wanna laugh for 30 min straight...watch this video 😂,59,11,0.0,1,2019-01-07,19:12:36,0,night,1978209,44504,811,0,2587,30.7,hd,false,True,https://i.ytimg.com/vi/kn-XqXycrH4/maxresdefault.jpg,1280,720,"['fortnite', 'fortnite funny', 'fortnite funny moments', 'best in class', 'fortnite trolling kid', 'fortnite season 7', 'angry mom', 'mom voice', 'squeaker', 'voice changer', 'fortnite voice changer', 'fortnite squeaker', 'voices', 'voice impression', 'fortnite voice impression', 'fortnite best moments', 'best fortnite clips', 'best fortnite plays', 'hilarious reactions', 'mom voice on fortnite', 'funny moments', 'funny twitch clips', 'ninja', 'tfue']",24,23,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Best In Class,2630000,366916465,288,"Did you enjoy? Leave a Like! :D

This video is one that you save for when you're down or need a smile! and is also a best of all of my videos in 2018. thanks for such an amazing year. Here's to 2019!!!.

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/bestinclassmostpopular
Watch my Hilarious Fortnite videos: http://bit.ly/bestinclassfortnite 

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
i annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

if you wanna laugh for 30 min straight...watch this video 😂
https://youtu.be/kn-XqXycrH4

Best In Class:
https://www.youtube.com/bicboygaming"
8,KPq2S33aS14,so my Angry Mom is a Tik Tok meme...,36,9,0.0,0,2019-01-24,19:16:18,3,night,1911936,54549,801,0,4112,9.5,hd,false,True,https://i.ytimg.com/vi/KPq2S33aS14/maxresdefault.jpg,1280,720,"['tik tok memes', 'tik tok', 'funny tik tok memes', 'tik tok cringe', 'tik tok song', 'tik tok ads', 'tik tok videos', 'fortnite', 'trolling', 'Fortnite trolling', 'mom abusing child on fortnite', 'mom abusing child', 'voice trolling', 'fortnite voice trolling', 'fortnite funny moments', 'fortnite kid trolled', 'fortnite trolling kid', 'fortnite best moments', 'fortnite montage', 'fortnite funny', 'fortnite angry mom', 'fortnite mom voice', 'fortnite mom', 'fortnite girl', 'best in class voice impressions']",25,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Best In Class,2630000,366916465,288,"Did you enjoy? Leave a Like! :D
25,000 Likes for more!
MY TIK TOK: bestinclass_

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

HILARIOUS SPONGEBOB VOICE IMPRESSIONS ON FORTNITE! | Best In Class
https://youtu.be/Z56hlqzEFhw

Best In Class:
https://www.youtube.com/bicboygaming"
9,lPSJBTCA02Q,Mom Abusing A REAL CHILD on Fortnite! *Mom Voice Impression*,60,10,0.3,0,2019-07-14,19:15:18,6,night,1822512,113713,1231,0,2466,12.35,hd,false,True,https://i.ytimg.com/vi/lPSJBTCA02Q/maxresdefault.jpg,1280,720,"['fortnite', 'trolling', 'Fortnite trolling', 'mom abusing child', 'mom abusing child on fortnite', 'voice trolling', 'voice changer', 'mom voice', 'angry mom', 'fortnite voice trolling', 'fortnite funny trolling', 'fortnite funny moments', 'fortnite fails', 'fortnite best moments', 'fortnite funny', 'fortnite angry mom', 'fortnite mom voice', 'fortnite mom', 'fortnite girl', 'best in class voice impressions', 'fortnite season 10', 'fortnite monster', 'fortnite giant robot', 'fortnite event', 'best in class']",25,23,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Entertainment']",Best In Class,2630000,366916465,288,"Did you enjoy? Leave a Like! :D
25,000 Likes for part 2!!!

in this episode i use my mom voice impression to trick fortnite players into thinking my angry mom is abusing a kid on Fortnite! Hope you enjoy!

Subscribe!: http://bit.ly/sub2bestinclass
Watch my most popular videos here: http://bit.ly/mostpopularbestinclass
Watch my Hilarious Fortnite videos: http://bit.ly/fortnitebestinclass

FOLLOW MY SOCIAL MEDIAS!
Twitter: https://twitter.com/bestinclassyt
Twitch: http://twitch.tv/bestinclasss
Snapchat: https://snapchat.com/add/bestinclassyt
Instagram: https://instagram.com/bestinclass_

About Best In Class:
I annoy people on video games for your entertainment using voice changers and voice impressions. Subscribe for the DOPEST content! :D

MOM ABUSING A REAL CHILD ON FORTNITE!
https://youtu.be/lPSJBTCA02Q

Best In Class:
https://www.youtube.com/bicboygaming"
