,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,fGgOzxg2lRI,All Star But It's 24 Cartoon Impressions,40,8,0.0,0,2017-06-18,13:00:01,6,afternoon,15489489,370258,8714,0,24637,2.85,hd,false,False,https://i.ytimg.com/vi/fGgOzxg2lRI/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'All Star', 'Smash Mouth', 'Smash', 'Mouth', 'All Star But', 'cartoons', 'animated', 'shrek', 'rick and morty', 'impressions', 'voices', 'the joker', 'disney', 'goofy', 'mickey mouse', 'mickey', 'mouse', 'pete', 'funny', 'song', 'cover', 'song cover', 'meme', 'roomieofficial', 'roomie', 'one guy', '43 voices', '24 voices', 'official', 'brian hull', 'hull', 'brian', 'mikey bolts', 'mikey', 'bolts', 'cartoon', 'characters', 'prozd', 'brizzy', 'brizzyvoices', 'brizzy voices']",45,10,none,,,Brock Baker,1130000,186774579,243,"We Are Number One but it's 30ish Villain Impressions: https://bit.ly/2Ifm5dQ
All Star But It's 30 Celebrity Impressions: https://bit.ly/2yCO2DH
Never Gonna Give You Up: https://bit.ly/2tk5DPf
Africa But It's 29 Cartoon Impressions: https://bit.ly/2PrPy3t
I Want It That Way: https://bit.ly/2oFvpKR
All Star But it's Every Day for a Year: https://bit.ly/2KZIVXi

SUBSCRIBE! http://bit.ly/14PX6Du 
PURCHASE on iTunes: http://apple.co/2sKBEzQ
Facebook: http://www.facebook.com/brockbakerfans
Brock's Dubs: http://www.youtube.com/brocksdubs
Second Channel: http://www.youtube.com/mcgoiter2
Twitter: http://www.twitter.com/brockbaker
Twitch: http://www.twitch.tv/brockbaker
Snapchat: BrockBaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com

Music by Todd Bryanton: http://www.youtube.com/lildeucedeuce

Ever wanted to hear Smash Mouth's ""All Star"" sung by 24 cartoon characters? Well...good news!"
1,rAx5LIul1N8,Never Gonna Give You Up But It's 24 Cartoon Impressions,55,11,0.0,0,2018-06-18,13:44:29,0,afternoon,6931345,215837,3544,0,15179,3.0166666666666666,hd,false,False,https://i.ytimg.com/vi/rAx5LIul1N8/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'impressions', 'song cover', 'never gonna give you up', 'rick astley', 'rick', 'astley', 'cartoon', 'mikey bolts', 'brizzy voices', 'brian hull', 'mikey', 'bolts', 'brizzy', 'voices', 'brian', 'hull', 'disney', 'rick and morty', 'morty', 'south park', 'impersonations', 'funny', 'spongebob', ""bob's burgers"", 'roomie official', 'roomie', 'one guy', ""america's got talent"", ""britain's got talent"", 'AGT', 'BGT', 'talent', 'viral', 'brizzyvoices', 'brianhull', 'rickroll', 'roll', 'rick roll']",42,10,none,,['https://en.wikipedia.org/wiki/Music'],Brock Baker,1130000,186774579,243,"FREE 30 Day trial of VRV Premium: http://bit.ly/Brock_VRV

All Star But it's 24 Cartoon Impressions: https://bit.ly/2NOkLfl
All Star But It's 30 Celebrity Impressions: https://bit.ly/2yCO2DH
Africa But it's 29 Cartoon Impressions: https://bit.ly/2PrPy3t
I Want It That Way But It's 24 Nickelodeon Impressions: https://bit.ly/2oFvpKR

SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Brock's Dubs: http://www.youtube.com/brocksdubs
Second Channel: http://www.youtube.com/mcgoiter2
Twitter: http://www.twitter.com/brockbaker
Twitch: https://www.twitch.tv/brockbaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com

Music n mixing by: http://www.youtube.com/lildeucedeuce


Some memes will never die, not on MY WATCH."
2,Vz69L4qyuuE,"""Joker"" but it's Goofy and Winnie the Pooh (Brock's Dub)",56,12,0.0,0,2020-02-14,14:00:07,4,afternoon,5035735,298919,4021,0,12763,4.883333333333333,hd,false,False,https://i.ytimg.com/vi/Vz69L4qyuuE/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'joker', 'winnie the pooh', 'disney', 'goofy', 'joaquin phoenix', 'movie', 'funny', 'dub', 'parody', 'oscar', 'performance', 'talk show', 'scene', 'talk', 'show', 'murray', 'todd phillips']",20,23,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Brock Baker,1130000,186774579,243,"Twitch: http://twitch.tv/brockbaker
SUBSCRIBE! http://bit.ly/14PX6Du
Second Channel: http://www.youtube.com/brockbaker2
Brock's Dubs: http://www.youtube.com/brocksdubs
TikTok: @brockbakerofficial 
Twitter: http://www.twitter.com/brockbaker
Instagram: http://instagram.com/brockbaker86
Facebook: http://www.facebook.com/brockbakerfans
Shirts: http://brockbaker.spreadshirt.com

Artwork by the talented Jeff Delgado: http://www.twitter.com/jeff_delgado

You get what you hyuckin' deserve!"
3,7Fd7hKWeOqA,Goofy Wants His Money: The Complete Saga,40,7,0.0,0,2019-08-26,20:20:15,0,night,3928532,154960,1427,0,7782,20.516666666666666,hd,false,False,https://i.ytimg.com/vi/7Fd7hKWeOqA/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'goofy wants his money', 'goofy', 'puppet', 'disney', 'funny', 'damian', 'makemebad35', 'tiktok', 'comedy', 'winnie the pooh', 'mickey', 'mickey mouse', 'mouse', 'donald duck', 'donaldducc', 'donald', 'duck', 'impression', 'voices']",22,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Brock Baker,1130000,186774579,243,"SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Second Channel: http://www.youtube.com/brockbaker2
Brock's Dubs: http://www.youtube.com/brocksdubs
Twitch: http://www.twitch.tv/brockbaker
Twitter: http://www.twitter.com/brockbaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com

Starring Damian: http://www.youtube.com/makemebad35

Voiced, puppeteered, written, directed, and edited by: Brock Baker. That's me!

Thumbnail art by Jeff Delgado: https://twitter.com/Jeff_Delgado

Puppets from: http://www.folkmanis.com

This is ""Goofy Wants His Money: The Complete Saga,"" where I harass my roommate for money using a Goofy puppet."
4,EdBfPdwIEe0,Africa But It's 29 Cartoon Impressions,38,7,0.0,0,2018-08-20,14:02:29,0,afternoon,3441893,109119,1559,0,6984,3.4166666666666665,hd,false,False,https://i.ytimg.com/vi/EdBfPdwIEe0/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'africa', 'toto', 'impressions', 'cartoon', 'song', 'cover', 'song cover', 'music video', 'meme', 'viral', 'all star', 'africa but', 'all star but', 'never gonna give you up', 'cartoon impressions', 'spongebob', 'impression', 'ed edd n eddy', 'funny', 'parody', 'internet', 'weezer', 'wheezer', 'brian hull', 'brian', 'hull', 'disney', 'pixar', 'brizzy voices', 'voices', 'brizzy', 'mikey bolts', 'mikey', 'bolts', 'Africa Toto', 'Toto Africa', 'music', 'video', 'cool', 'humor', 'comedy', 'Weezer - Africa (starring Weird Al Yankovic)', 'weird al']",47,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Brock Baker,1130000,186774579,243,"Download Quidd! http://bit.ly/2LSpdJi 

All Star But It's 24 Cartoon Impressions: https://bit.ly/2wObikJ
All Star But It's 30 Celebrity Impressions: https://bit.ly/2yCO2DHNever Gonna Give You Up But It's 24 Cartoon Impressions: https://bit.ly/2tk5DPf
I Want It That Way But It's 24 Nickelodeon Impressions: https://bit.ly/2oFvpKR

SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Second Channel: http://www.youtube.com/mcgoiter2
Brock's Dubs: http://www.youtube.com/brocksdubs
Twitter: http://www.twitter.com/brockbaker
Twitch: http://www.twitch.tv/brockbaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com


Music by Todd Bryanton: http://www.youtube.com/lildeucedeuce


I bless the memes."
5,yyCZk_MC9wI,I Want It That Way But It's 24 Nickelodeon Impressions,54,11,0.09090909090909091,0,2018-09-04,13:30:45,1,afternoon,3028541,92981,1322,0,8035,3.9833333333333334,hd,false,False,https://i.ytimg.com/vi/yyCZk_MC9wI/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'nickelodeon', 'impressions', 'spongebob', 'squarepants', 'song cover', 'song', 'cover', ""but it's"", ""but it's 24 cartoon impressions"", 'i want it that way', 'backstreet boys', 'the backstreet boys', 'funny', 'viral', '90s', '90s nickelodeon', 'impression', 'voices', 'brian hull', 'brian', 'hull', 'brizzy voices', 'brizzy', 'mikey bolts', 'mikey', 'bolts', ""blue's clues"", 'nigel thornberry', 'brooklyn nine nine', 'jake peralta', 'police line up', 'meme']",36,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Brock Baker,1130000,186774579,243,"FREE 30 Day trial of VRV Premium: http://vrv.co/baker

Africa But It's 29 Cartoon Impressions: https://bit.ly/2PrPy3t
All Star But It's 24 Cartoon Impressions: https://bit.ly/2wObikJ
All Star But It's 30 Celebrity Impressions: https://bit.ly/2yCO2DH
Never Gonna Give You Up But It's 24 Cartoon Impressions: https://bit.ly/2tk5DPf

SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Second Channel: http://www.youtube.com/mcgoiter2
Brock's Dubs: http://www.youtube.com/brocksdubs
Twitch: twitch.tv/brockbaker
Twitter: http://www.twitter.com/brockbaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com


Music by Todd Bryanton: http://www.youtube.com/lildeucedeuce


Not as memey, but just as steamy. Remember the '90s and sometimes the 2000s?"
6,WQXXGGIwIAw,All Star But It's 30 Celebrity Impressions,42,8,0.0,0,2018-10-13,13:00:02,5,afternoon,2649339,93828,2395,0,7652,2.95,hd,false,False,https://i.ytimg.com/vi/WQXXGGIwIAw/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'celebrity impressions', 'celebrity', 'impressions', 'voices', 'impression', 'louis ck', 'tj miller', 'betty white', 'christopher walken', 'liam neeson', 'weird al', 'song', 'cover', 'song cover', 'mikeybolts', 'mikey bolts', 'brizzy voices', 'brizzy', 'brian hull', 'hull', 'funny', 'parody', 'jack black', 'tenacious d', 'danny padilla', 'danny', 'padilla']",31,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Brock Baker,1130000,186774579,243,"All Star But it's 24 Cartoon Impressions: https://bit.ly/2NOkLfl
Never Gonna Give You Up But it's 24 Cartoon Impressions: https://bit.ly/2tk5DPf
Africa But it's 29 Cartoon Impressions: https://bit.ly/2PrPy3t
I Want It That Way But It's 24 Nickelodeon Impressions: https://bit.ly/2oFvpKR

SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Second Channel: http://www.youtube.com/brockbaker2
Brock's Dubs: http://www.youtube.com/brocksdubs
Twitch: http://www.twitch.tv/brockbaker
Twitter: http://www.twitter.com/brockbaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com


What's a....dead meme?


Music!

Todd Bryanton: http://www.youtube.com/lildeucedeuce
Alex Walker Smith: https://www.youtube.com/AlexWalkerSmith"
7,RFzwHvJ1WLI,25 Cartoon Network Impressions,30,4,0.0,0,2017-10-01,14:54:06,6,afternoon,2301965,46627,1015,0,5213,3.8666666666666667,hd,false,True,https://i.ytimg.com/vi/RFzwHvJ1WLI/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'cartoon network', 'cartoon', 'network', 'impressions', 'impersonations', 'voices', 'brak', 'zorak', 'planet', 'cartoon planet', 'powerpuff girls', ""dexter's lab"", 'cow and chicken', 'trailer', 'preview', 'reboot', 'funny', 'ed', 'edd', 'eddy', 'mojo', 'steven universe', 'animated', 'animation', 'johnny bravo', 'kajillion', 'courage', 'chowder', 'OK KO', 'grim', 'fred fredburger', 'fred', 'fredburger', 'lemongrab', 'regular show', 'gumball', 'amazing world of gumball']",41,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Brock Baker,1130000,186774579,243,"SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Brock's Dubs: http://www.youtube.com/brocksdubs
Second Channel: http://www.youtube.com/brockbaker2
Twitter: http://www.twitter.com/brockbaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com

Cartoon Network turns 25 years old today, so here are my impressions of 25 Cartoon Network characters!"
8,w4ot77sKIMM,"""Marriage Story"" but it's Mickey Mouse and Goofy (Brock's Dub)",62,12,0.0,0,2019-12-14,22:26:23,5,night,2221252,153791,852,0,5645,2.35,hd,false,True,https://i.ytimg.com/vi/w4ot77sKIMM/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'goofy', 'marriage story', 'marriage goofy', 'dub', ""brock's dub"", 'brocksdubs', 'funny', 'comedy', 'marriage', 'adam driver', 'kylo ren', 'movie', 'trailer', 'scarlett johansson', 'divorce', 'scene', 'fight', 'meme']",22,23,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Brock Baker,1130000,186774579,243,"SUBSCRIBE! http://bit.ly/14PX6Du
Twitch: http://www.twitch.tv/brockbaker
Second Channel: http://www.youtube.com/brockbaker2
Brock's Dubs: http://www.youtube.com/brocksdubs
Instagram: http://instagram.com/brockbaker86
Twitter: http://www.twitter.com/brockbaker
TikTok: BrockBakerOfficial
Facebook: http://www.facebook.com/brockbakerfans
Shirts: http://brockbaker.spreadshirt.com

Thumbnail art by Jeff Delgado: https://twitter.com/Jeff_Delgado

Gawrsh!"
9,Vn4gCdF0KDk,'90s Nickelodeon Impressions,28,3,0.0,0,2016-06-03,09:14:09,4,morning,1431397,29441,875,0,3244,4.483333333333333,hd,false,True,https://i.ytimg.com/vi/Vn4gCdF0KDk/maxresdefault.jpg,1280,720,"['brock', 'baker', 'brock baker', 'mcgoiter', 'nickelodeon', 'the nineties', '90s', 'the 90s', '90s nickelodeon', 'ren and stimpy', 'doug', ""rocko's modern life""]",12,23,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Brock Baker,1130000,186774579,243,"More impressions: http://bit.ly/1zJpLVQ
PATREON: http://www.patreon.com/brockbaker
SUBSCRIBE! http://bit.ly/14PX6Du
Facebook: http://www.facebook.com/brockbakerfans
Brock's Dubs: http://www.youtube.com/brocksdubs
Second Channel: http://www.youtube.com/mcgoiter2
Twitter: http://www.twitter.com/brockbaker
Vine: https://vine.co/BrockBaker
Snapchat: BrockBaker
Periscope: @BrockBaker
Instagram: http://instagram.com/brockbaker86
Shirts: http://brockbaker.spreadshirt.com

Brock Baker, The Man of a Kajillion Voices, does 23 impressions from classic '90s Nickelodeon cartoons! Voices from Ren & Stimpy, Doug, Rocko's Modern Life, Ahhhh! Real Monsters, Hey Arnold, Catdog, The Wild Thornberrys, and Spongebob Squarepants. Holy nostalgic crap!"
