,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,h051300xsEg,Drive Thru Characters   FAMILY GUY Goes to Taco Bell,52,9,0.2222222222222222,0,2020-10-18,00:46:33,6,late_night,12487,236,11,0,102,5.516666666666667,hd,false,False,https://i.ytimg.com/vi/h051300xsEg/maxresdefault.jpg,1280,720,"['drive thru impressions family guy', 'drive thru characters', 'jadoinstuff', 'Ja doin stuff', 'drive thru impressions', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'family guy', 'peter griffin', 'stewie griffin', 'cleveland brown', 'herbert', 'Drive thru prank', 'family guy pranks', 'taco bell', 'drive through impressions', 'drive through fast food', 'viral', 'drive thru', 'impressions reaction']",24,24,none,en,,JA Doin Stuff,387,30412,61,"We surprise taco bell employees with Family Guy impressions... they didn't have 6,000 chicken fajitas :(

Drive Thru Characters   FAMILY GUY Goes to Taco Bell

Thanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 
LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff
 
#jadoinstuff #voiceover #impressions #funny #viral #familyguy #petergriffin #stewiegriffin #clevelandbrown"
1,l2ypAlsyq0E,Drive Thru Characters   Spongebob and Patrick go to McDonalds,61,9,0.0,0,2020-10-18,00:38:13,6,late_night,5925,76,5,0,35,4.45,hd,false,False,https://i.ytimg.com/vi/l2ypAlsyq0E/maxresdefault.jpg,1280,720,"['drive thru characters', 'jadoinstuff', 'drive thru impressions', 'ja doin stuff', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'spongebob', 'patrick', 'spongebob squarepants', 'viral', 'drive thru', 'drive thru prank', 'patrick impression', 'spongebob impressions', 'mcdonalds drive thru', 'impressions reaction', 'voice impressions reaction', 'fast food pranks drive thru', 'Fast food prank', 'Drive through', 'patrick star']",25,24,none,en,,JA Doin Stuff,387,30412,61,"Doing what we do best, eating food! Oh, also doing Spongebob and Patrick to get it!

Drive Thru Characters   Spongebob and Patrick go to McDonalds

Thanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 
LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff
 
#jadoinstuff #voiceover #impressions #funny #drivethru #mcdonalds #patrick #spongebob #viral"
2,AiQlYaXgpUU,Drive Thru Characters  Simpsons Fast Food FAILURE,49,7,0.14285714285714285,0,2021-02-27,11:15:14,5,afternoon,2260,33,2,0,8,5.166666666666667,hd,false,False,https://i.ytimg.com/vi/AiQlYaXgpUU/maxresdefault.jpg,1280,720,"['jadoinstuff', 'Ja doin stuff', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'voice impressions', 'drive thru characters', 'Drive thru prank', 'drive through impressions', 'drive through fast food', 'viral', 'stewie griffin', 'simpsons', 'simpsons impressions', 'homer simpson', 'barney gumble', 'barney gumble burp', 'wendys', ""wendy's"", 'fast food', 'ordering fast food', 'plankton', 'spongebob', 'drive thru', 'Drive thru impressions', 'impressions reaction']",29,24,none,en,['https://en.wikipedia.org/wiki/Entertainment'],JA Doin Stuff,387,30412,61,"Can't Homer Simpson get a bite to eat? Tough luck for Homer and Barney at the drive thru.

Drive Thru Characters  Simpsons Fast Food FAILURE

IThanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 
LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff

#jadoinstuff #voiceover #impressions #funny"
3,IZ2gDJKfXXs,Drive Thru Characters  MICKEY and GOOFY get Mexican Food,56,9,0.2222222222222222,0,2020-11-28,11:15:00,5,afternoon,1891,27,1,0,9,5.3,hd,false,False,https://i.ytimg.com/vi/IZ2gDJKfXXs/maxresdefault.jpg,1280,720,"['Drive thru characters', 'Ja doin stuff', 'jadoinstuff', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'drive thru impressions', 'Disney', 'walt disney', 'mickey', 'mickey mouse', 'goofy', 'mexican food', 'impressions reaction', 'reaction', 'voice over', 'drive thru pranks', 'drive thru impersonation', 'Disney characters drive thru']",22,24,none,en,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],JA Doin Stuff,387,30412,61,"They never saw it coming. We order food as Mickey and Goofy. Uh-heeeuck (Or however you spell that Goofy noise)

Drive Thru Characters  MICKEY and GOOFY get Mexican Food

Thanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 
LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff
 
#jadoinstuff #voiceover #impressions #funny #disney #mickey #goofy #mexicanfood #drivethru

Hidden Agenda by Kevin MacLeod is licensed under a Creative Commons Attribution 4.0 license. https://creativecommons.org/licenses/by/4.0/

Source: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200102

Artist: http://incompetech.com/"
4,T39iRpU6JTU,Drive Thru Characters SHREK and Donkey Get Food,47,8,0.125,0,2021-01-02,11:15:01,5,afternoon,756,17,0,0,17,4.266666666666667,hd,false,False,https://i.ytimg.com/vi/T39iRpU6JTU/maxresdefault.jpg,1280,720,"['Ja doin stuff', 'jadoinstuff', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'voice impressions', 'drive thru characters', 'dreamworks', 'shrek', 'shrek and donkey', 'shrek and donkey funny scenes', 'burger king', 'drive thru impressions', 'drive through impressions', 'donkey', 'fast food', 'character impressions reaction', 'Free food']",21,24,none,en,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",JA Doin Stuff,387,30412,61,"Donkey just wants some waffles. He'll have to settle for a burger this time. 

Drive Thru Characters SHREK and Donkey Get Food

Thanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 
LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff
#jadoinstuff #voiceover #impressions #funny 
#jadoinstuff #voiceover #impressions #funny"
5,zUSeqkm59K8,Drive Thru Characters MICKEY SPONGEBOB and STEWIE at McDonald's,63,10,0.3,0,2021-05-29,10:15:08,5,morning,641,23,0,0,1,3.5,hd,false,False,https://i.ytimg.com/vi/zUSeqkm59K8/maxresdefault.jpg,1280,720,"['character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'voice impressions', 'jadoinstuff', 'ja doin stuff', 'drive thru impressions family guy', 'drive thru characters', 'Ja doin stuff', 'drive thru impressions', 'family guy', 'peter griffin', 'stewie griffin', 'Drive thru prank', 'family guy pranks', 'drive through impressions', 'drive through fast food', 'viral', 'drive thru', 'impressions reaction', 'mickey mouse', 'spongebob', 'drive-thru impressions']",26,24,none,en,['https://en.wikipedia.org/wiki/Entertainment'],JA Doin Stuff,387,30412,61,"We order food in voice impressions and the WORKERS did impressions too!!

Drive Thru Characters MICKEY SPONGEBOB and STEWIE at McDonald's

Thanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 

Rode NT1-A (Pretty Darn Cool Mic): https://amzn.to/3sTdz5P

LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff
#jadoinstuff #voiceover #impressions #funny"
6,pgSoVqu_-1U,Character Impression Battles - Spongebob Squarepants - Plankton #Shorts,71,7,0.0,0,2020-10-17,18:15:01,5,night,539,14,2,0,4,0.6333333333333333,hd,false,False,https://i.ytimg.com/vi/pgSoVqu_-1U/maxresdefault.jpg,1280,720,"['jadoinstuff', 'voice over', 'impressions', 'funny', 'viral', 'spongebob', 'plankton', 'character impression battles', 'voice acting', 'Cool Voice Impressions', 'ja doin stuff', 'spongebob squarepants']",12,24,none,en,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",JA Doin Stuff,387,30412,61,"Character Impression Battles - Spongebob Squarepants - Plankton #Shorts

Jacob and Andrew battle it out to see who is better at doing the voice of Sheldon J Plankton from Spongebob Squarepants!


If you liked this video, like, subscribe, turn on the noticifcation bell and share! Also check out our other videos!
If you hated this video, like, subscribe, turn on the noticifcation bell and share! Also check out our other videos!

🚨➡️  Here at JandA we want to wow with our whacky impressions, and brighten your day! Will you read on? Shall you stay?

✅ Subscribe for more awesome charater impressions!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

➡️Have you seen my latest video: https://www.youtube.com/watch?v=RHHTVmaYFTM&list=PLUYqVq1bCp0zlqXdPjW_AlG1dyv8MlbWT&index=1&ab_channel=JandA

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6

Character Impression Battles:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zlqXdPjW_AlG1dyv8MlbWT

Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH

Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1

💕My Most Watched Videos:

Character Impression Battles - Spongebob Squarepants - Plankton
https://www.youtube.com/watch?v=pgSoVqu_-1U

38 Characters Karaoke Song - Disney's Moana - You're Welcome - Andrew
https://www.youtube.com/watch?v=wVkYxXqoPnY

Drive Thru Characters Family Guy Goes to Taco Bell
https://www.youtube.com/watch?v=h051300xsEg&t=3s

📷You can also find us on Instagram!
Instagram: https://www.instagram.com/jadoinstuff/

📹You can also also find us on TikTok!
TikTok: https://www.tiktok.com/@jadoinstuff

🎥You can also also also find us on Facebook!
Facebook: https://www.facebook.com/jadoinstuff

New videos every Saturday at 11:15 AM EST! Hopefully they make you chuckle and/or roll your eyes!.  Comment on which voices we could work on, voice videos you want to see, or if we should stop making videos and leave society alone!

Feel free to email us: jacobandandrewdoinstuff@gmail.com
 
#jadoinstuff #voiceover #impressions #funny #viral #spongebob #plankton"
7,-GRjePrf9fk,38 Characters Karaoke Song - Disney's Moana - Song Covers and Parodies,70,11,0.0,0,2020-10-24,10:15:00,5,morning,469,29,1,0,29,2.9833333333333334,hd,false,False,https://i.ytimg.com/vi/-GRjePrf9fk/maxresdefault.jpg,1280,720,"['ja doin stuff', 'characters karaoke song', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'singing', 'karaoke', 'Disney', 'Moana', ""You're Welcome"", 'dwayne johnson', 'moana youre welcome', 'youre welcome', 'disney karaoke', 'disney karaoke songs', 'spongebob', 'Family guy', 'karaoke Disney', 'disney songs', 'voice impressions', 'the simpsons', 'song covers and parodies', 'maui youre welcome', 'jadoinstuff', 'moana karaoke', 'Youre welcome karaoke']",29,24,none,en,['https://en.wikipedia.org/wiki/Entertainment'],JA Doin Stuff,387,30412,61,"I sing (or try to) You're Welcome from Disney's Moana as different characters.

38 Characters Karaoke Song - Disney's Moana - Song Covers and Parodies

If you liked this video, like, subscribe, turn on the noticifcation bell and share! Also check out our other videos!
If you hated this video, like, subscribe, turn on the noticifcation bell and share! Also check out our other videos!

🚨➡️  Here at JandA we want to wow with our whacky impressions, and brighten your day! Will you read on? Shall you stay?

✅ Subscribe for more awesome charater impressions!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

➡️Have you seen my latest video: https://www.youtube.com/watch?v=RHHTVmaYFTM&list=PLUYqVq1bCp0zlqXdPjW_AlG1dyv8MlbWT&index=1&ab_channel=JandA

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6

Character Impression Battles:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zlqXdPjW_AlG1dyv8MlbWT

Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH

Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1

💕My Most Watched Videos:

Character Impression Battles - Spongebob Squarepants - Plankton
https://www.youtube.com/watch?v=pgSoVqu_-1U

38 Characters Karaoke Song - Disney's Moana - You're Welcome - Andrew
https://www.youtube.com/watch?v=wVkYxXqoPnY

Drive Thru Characters Family Guy Goes to Taco Bell
https://www.youtube.com/watch?v=h051300xsEg&t=3s

📷You can also find us on Instagram!
Instagram: https://www.instagram.com/jadoinstuff/

📹You can also also find us on TikTok!
TikTok: https://www.tiktok.com/@jadoinstuff

🎥You can also also also find us on Facebook!
Facebook: https://www.facebook.com/jadoinstuff

New videos every Saturday at 11:15 AM EST! Hopefully they make you chuckle and/or roll your eyes!.  Comment on which voices we could work on, voice videos you want to see, or if we should stop making videos and leave society alone!

Feel free to email us: jacobandandrewdoinstuff@gmail.com
 
#jadoinstuff #voiceover #impressions #funny #disney #moana #dwaynejohnson #therock #song #singing"
8,wVkYxXqoPnY,38 Characters Karaoke Song - Disney's Moana - You're Welcome - Song Covers and Parodies,87,14,0.0,0,2020-10-20,18:15:06,1,night,316,26,0,0,5,2.9333333333333336,hd,false,False,https://i.ytimg.com/vi/wVkYxXqoPnY/maxresdefault.jpg,1280,720,"['characters karaoke song', 'character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'family guy', 'the simpsons', 'disney', 'moana', 'star wars', 'lotr', 'Spongebob', 'barack obama', 'morgan freeman', 'michael caine', 'batman', 'winnie the pooh', 'Harry Potter', 'Disney karaoke', 'karaoke Disney', 'song covers and parodies', 'moana youre welcome', 'moana karaoke', 'dwayne the rock johnson', 'Maui youre welcome', 'jadoinstuff', 'Ja doin stuff']",29,24,none,en,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",JA Doin Stuff,387,30412,61,"I don't remember that song in Moana! Do you?

38 Characters Karaoke Song - Disney's Moana - You're Welcome - Song Covers and Parodies

If you liked this video, like, subscribe, turn on the notification bell and share! Also check out our other videos!
If you hated this video, like, subscribe, turn on the notification bell and share! Also check out our other videos!

🚨➡️  Here at JandA we want to wow with our whacky impressions, and brighten your day! Will you read on? Shall you stay?

✅ Subscribe for more awesome character impressions!!: https://youtube.com/channel/UCqPYUMNbVeEhyTBIZCDO_VQ?sub_confirmation=1

➡️Have you seen my latest video: https://www.youtube.com/watch?v=RHHTVmaYFTM&list=PLUYqVq1bCp0zlqXdPjW_AlG1dyv8MlbWT&index=1&ab_channel=JandA

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6

Character Impression Battles:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zlqXdPjW_AlG1dyv8MlbWT

Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH

Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1

💕My Most Watched Videos:

Character Impression Battles - Spongebob Squarepants - Plankton
https://www.youtube.com/watch?v=pgSoVqu_-1U

38 Characters Karaoke Song - Disney's Moana - You're Welcome - Andrew
https://www.youtube.com/watch?v=wVkYxXqoPnY

Drive Thru Characters Family Guy Goes to Taco Bell
https://www.youtube.com/watch?v=h051300xsEg&t=3s

📷You can also find us on Instagram!
Instagram: https://www.instagram.com/jadoinstuff/

📹You can also also find us on TikTok!
TikTok: https://www.tiktok.com/@jadoinstuff

🎥You can also also also find us on Facebook!
Facebook: https://www.facebook.com/jadoinstuff

New videos every Saturday at 11:15 AM EST! Hopefully they make you chuckle and/or roll your eyes!.  Comment on which voices we could work on, voice videos you want to see, or if we should stop making videos and leave society alone!

Feel free to email us: jacobandandrewdoinstuff@gmail.com
 
#jadoinstuff #voiceover #impressions #funny #disney #moana #yourewelcome #song #karaoke"
9,CABKbJm7yOQ,Drive Thru Characters SCOOBY DOO Fast Food,42,7,0.2857142857142857,0,2021-04-10,10:50:18,5,afternoon,298,8,1,0,9,3.3166666666666664,hd,false,False,https://i.ytimg.com/vi/CABKbJm7yOQ/maxresdefault.jpg,1280,720,"['character impressions', 'voiceover', 'impressions', 'character voiceover', 'voice acting', 'funny', 'voice impressions', 'jadoinstuff', 'ja doin stuff', 'Ja doin stuff', 'drive thru characters', 'Drive thru prank', 'drive through impressions', 'drive through fast food', 'viral', 'fast food', 'ordering fast food', 'drive thru', 'Drive thru impressions', 'scooby doo', 'scooby and shaggy', 'Drive Thru Characters SCOOBY DOO Fast Food', 'scooby doo eating food', 'chickfila drive thru', 'drive-thru impressions']",25,24,none,en,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",JA Doin Stuff,387,30412,61,"Warning! Chicken nuggies and ghosts in this video. Scooby and Shaggy do their thing and order food.

Drive Thru Characters SCOOBY DOO Fast Food

Thanks for watching! :) If you want to support our channel and help us take over the world, click on our Amazon affiliate links below! Whether you like the products we recommend or would rather browse Amazon to buy something else, clicking our links will help us out :) You will pay the same price, but Amazon will give us some sweet money. 
LED Lighting Kit : https://amzn.to/3wYYiU6

🛑Recommended Video Series You Should Check Out!

Drive Thru Characters:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zicCXjbYpLGLk-xVDR8Eh6
Cool Voice Impressions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zjh8HAz5nra2nxCgkZNEvO
Impression Funny Reactions:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0xUJCcJJLDXGsQJzUQE92KV
Song Covers and Parodies:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zN3p-LAbOmyI7l8ZZBXGyH
Voice Impression Challenges:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zhBymXHNtmd3bCfMpnfzR1
Voice Impression Tutorials:
https://www.youtube.com/playlist?list=PLUYqVq1bCp0zGlhntwLl1htJjYLFU5kKY

Here's a link to all our social media!
https://linktr.ee/jadoinstuff
#jadoinstuff #voiceover #impressions #funny"
