,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,-68xL-DGEBo,100 Voice Impressions In 6 Minutes,34,6,0.0,0,2012-10-12,16:00:58,4,afternoon,30696819,413448,30124,0,57681,7.15,hd,false,True,https://i.ytimg.com/vi/-68xL-DGEBo/maxresdefault.jpg,1280,720,"['voices', '100', 'voice', 'overs', 'voiceovers', 'joshua', 'alden', 'impression', 'impressions', 'cartoons', 'cartoon', 'network', 'nickelodeon', 'disney', 'pixar', 'nick', 'tmnt', 'ninja', 'turtles', 'splinter', 'spongebob', 'old', 'man', 'jenkins', 'cannon', 'ball', 'batman', 'joker', 'batmans', 'dark', 'knight', 'bane', 'animated', 'adventure', 'time', 'lumpy', 'space', 'princess', 'lsp', 'finn', 'baby', 'elmo', 'cookie', 'monster', 'yogi', 'bear', 'booboo', 'smokey', 'mario', 'nintendo', 'luigi', 'warrio', 'waluigi', 'doofenshmirtz', 'perry', 'grudge', 'scooby', 'doo', 'shaggy', 'fred', 'fredburger', 'muppets', 'kermit', 'miss', 'piggy', 'gonzo', 'rizzo', 'klump', 'klumps', 'fosters', 'home']",71,24,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"This is my attempt at 100 different voices in 6
I think some of them are kind of good, but most of them probably suck, lol.....(sigh...)

Since some people keep asking, my twitter and instagram are both Joshiiwuh too (I'm so creative with names, right?)

P.S. I had to cut the voice in between each one because I would cough after them or need to drink some water, because I have this stupid cough that won't go away -_-
UPDATE: IT WENTED AWAY!!!!! 

P.S.S. My hair gets all puffy like that when it's windy outside....so yes, I noticed

P.S.S.S.  I don't own any of the images that were in the video (i'm supposed to say that so they don't sue me)

P.S.S.S.S.  Any real people I made fun of, are peoples that I thinks are cools, so it's not supposed to be insulting in any way

P.S.S.S.S.S Someone else just noticed I skippeded 71 !!!!!!!! O_o

Sooooooooooo just pretend my normal voice is another impression. It's me doing an imressions of me!!!!!!


P.S.S.S.S.S.S.S.S   YES, there is a Barbie there....No, you are not the first to notice, xD, and no, it's not mine....I just dressed it.........OK, well it's from a video I made right before this one, called Zombie Slayer Barby......it's on my channel..........bleh"
1,in2vhatyeZU,Cute Baby Gorilla Gets Dragged Around By Bigger Gorilla,55,9,0.0,0,2015-10-17,21:22:20,5,night,6776203,19415,2492,0,1166,2.3166666666666664,hd,false,True,https://i.ytimg.com/vi/in2vhatyeZU/hqdefault.jpg,480,360,"['cute funny', 'gorilla', 'baby', 'ape', 'monkey', 'monkies', 'pushing', 'fighting', 'dead', 'death', 'i bet people actually search these words in youtube so thats why im using them', 'gorillas', 'adorable', 'funny', 'hilarious', 'lol', 'playing', 'wrestling', 'voice impressions', 'harambe cincinatti boy', 'shot', 'messed up', 'watchyourkids']",23,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"So we were at this place called ""Disneyworld,"" and then this one furry thing started pushing and dragging a smaller furry thing, until this bigger furry thing came over and scared the first furry thing away...and in 50 years they will all take over the world, just like in that movie.

OH YEAH, just in case anyone is wondering, the medium one that was fighting with the baby was actually his older sister and the bigger one was his mother. This one girl who worked there said it's just how the sister plays with her younger sibling. So if you have a younger sibling, these are some games they might enjoy. 
(And for those of you who don't get sarcasm well...don't actually drag your younger siblings' bodies across the floor, these gorilla's are trained professionals and they've been doing this routine for nearly 39 years.) 
This video was approved for All Audiences by the Motion Picture Association of Antarctica and the NFL  strictly prohibits the use of stuff without it's express written consent.

......and yes, this was filmed by a drunk with a potato, in case anyone in the comments was thinking of asking ""Was the person who filmed this drunk/what was this filmed with??""....I then proceeded to ""Borrow,"" the drunks cellular device and upload this video myself because we thought it was funny, not we as in my family and me, but we as in me and MY PRECIOUS...(My precious is a signed picture of Jennifer Lawrence. I have her DNA!!! YAY!!!)


......if you're still reading this, you either have seen my videos before (In which case, HEY!! What's up?? How have you bro/broette??)...OR you think I'm completely and totally insane. Well you know what I say to that!?!?!? Two rights don't make a wrong, because left isn't always necessarily the wrong way, it can be the right way to go, depending on where you're heading. And technically there is no right or left since no matter which way you turn, someone else's right will be your left and your left will be someone else's right. And if everyone's left is everyone's right, that means that every left is both right and left which means that two rights make a wrong and a right.... 






P.S. If you ARE one of the people who actually watch my videos, sorry I keep disappearing every few months, it's mostly my ridiculously short attention span...and my job...stupid job...making me do things....I should make THEM do things....see how they like it....ANYWHOO, new videos coming soon to a computer screen near you!!"
2,Ik3amjzowfE,Bohemian Rhapsody in Impressions!! (Queen Cover),48,6,0.0,0,2018-11-23,14:30:01,4,afternoon,2519037,117388,9714,0,7279,4.833333333333333,hd,false,True,https://i.ytimg.com/vi/Ik3amjzowfE/hqdefault.jpg,480,360,"['Bohemian Rhapsody in Impressions', 'Bohemian Rhapsody Queen Cover', 'Bohemian Rhapsody in 42 voices', 'Bohemian Rhapsody Sining Impressions', 'BOhemian Rhapsody 42 Styles', 'Disney Voices Bohemian Rhapsody', 'Disney Impressions Bohemian Rhapsody', 'Bohemian Rhapsody in different voices', 'disney and pixar sing bohemian rhapsody']",9,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"Bohemian Rhapsody in Impressions!! (Queen Cover)
Me trying to sing that one really popular song Bohemian Rhapsody in different character voices / impressions!!

Hey lookit!!! It's one of those new impression videos!!!! And holy butt!!! In the same MONTH as another impression video!! WHAT IS GOING ON YO?!?! Clearly it's a sign of the end of the world, I mean when has that ever happened before??

BUTT yeah anywhoos I had been suggested to try a cover song in Impressions multiple times soooooooooo I finally did! (That's this video btw) I hope you don't absolutely despise it, if you don't I'll totally make more of these types of videos. Just leave any suggestions in the comment below yo

I bet you didn't know Mr. Meyers knew how to sing though did you? Yeah, he's actually a trained operatic performer on the weekends at his local community theatre. He's also participates sometimes in their plays too. This coming week he is actually playing Mary Poppins, so be sure to support him and his dream.

Sorry if there were any mistakes in this video, I was up until 8am finishing it hAhahaAHAHahAHAHAHAHA. Don't worry though I""M SurE ItS NoT likE BAd for mY hEALth OR AnyTHingggggggggggggggggggggg (It's because my work is evil and scheduled me too many days XD don't worry)

But yeah I was so tired I lost my phone in the refrigerator haha, like literally. I couldn't find it but then it started ringing and I could faintly hear it. I probably shouldn't like operate any kind of vehicles until I get some sleep. OK BYE gtg drive to work and then deal with all the pleasant black Friday shoppers!!! yaaaaaaaaaaaaaaaaaaay 

P.S. Since It's officially the day after Thanksgiving (Or Pre-Christmas Eve Lunch as some refer to it as) Merry Christmahanakwanzika!!!

P.S.S. But like I said at the end of the video, I've already been celebrating since like September 1st

P.S.S.S. Don't worry Halloween also gets love, I celebrated that from September 1st through October 31st

P.S.S.S.S. Those two months are the Christmas Eve-eve months

P.S.S.S.S.S. Then the entire two months of January and February are also for Christmas

P.S.S.S.S.S.S. Those are the Christmas mourning months, I need time to grieve ok??

P.S.S.S.S.S.S.S. If you've read this far and know how to read, comment in the comments below what kind of present you want my brother to get you for the holidays 

P.S.S.S.S.S.S.S.S. Don't worry I think he likes going into debt

Music Stuffs:
Pixelland Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0 License
http://creativecommons.org/licenses/by/3.0/"
3,6gW0wENq6Z4,101 OTHER Voice AND Singing Impressions,39,6,0.3333333333333333,0,2014-01-14,16:19:12,1,afternoon,2294717,20127,1291,0,3376,10.966666666666667,hd,false,True,https://i.ytimg.com/vi/6gW0wENq6Z4/maxresdefault.jpg,1280,720,"['joshiiwuh', 'joshua', 'alden', 'spongebob', 'music', 'singing', 'impressions', 'impression', 'brizzy', 'brizzyvoice', 'brizzyvoices', 'voice', 'voices', 'acting', 'actor', 'celebrity', 'celebrities', 'disney', 'lemongrab', 'adventuretime', 'adventure time', 'gir', 'invader zim', 'cartoon', 'cartoons', 'characters', 'character', 'movie', 'television', 'tv', 'show', 'shows', 'nickelodeon', 'nick', 'network', 'pokemon james and the giant peach', 'prince', 'princes', 'muppets', 'mulan', 'miley cyrus']",41,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"If you are reading this and you haven't seen any of my other impression videos, these are like impressions 600 something to 700 something, sooooo if they are a little random or not that good, that is part of the reason, hahahehehohobleh
BUUUUUUUUUUUUUUUUT if you have seen my other impression videos and are watching this one because you liked them or you hated them and watching stuff you hate is fun for you for some reason, then SORRY it took so long to make another video, I will try to make videos a little faster than once every 3 months.....and not just impression videos either, I wanted to try other videos too


Most of these impressions were requested by someone somewhere though, so maybe they aren't all that random, I don't know what a normal persons view of random characters/cartoons is, since I'm kind of like borderline obsessed with cartoons and voice acting....DO I need therapy? Probably not? IDK, maybe talking to a camera in your room, after kicking your family out of the house for a while is a normal thing? I guess it's better than someone in their 20's talking to imaginary friends, right? Hahaha (btw, if any of my imaginary friends are reading this, I wasn't being serious)

If you have any other impression requests, just leave them in the comments I need help making a new list!!
Or an idea for an impression video, like Nintendo/Harry Potter/Adventure Time/Nickelodeon/Cartoon Network and like that persons comment, so I can see if there is one that has like 4 likes and then maybe do it

P.S. This was filmed on two different days because my camera died, so that's what's up with the different looking days

P.S.S. It takes a CRAZY amount of time to edit these videos with all the picture and words, so if I messed up...again...and accidently skipped a number or anything, sorry...It's also hard to count after 10, when you don't have any fingers left over, you know what I mean? Right? Right? Yeah...totes

P.S.S.S.S.S.  A.D.D. thought...why do Unicorns have that horn? I mean, what does it really do? Is it why they can fly? Or is it just for magic powers and stuff. And what happens if it falls off? Do they turn into a horse? Or a donkey? Or do they stop being able to fly/use magic powers? There should be a job for people who study this stuff, it's important


OK BYE....."
4,wE9EHbSkXa0,101 Pokemon Voice Impressions,29,4,0.0,0,2013-04-16,16:29:25,1,afternoon,2145556,19396,2999,0,4010,5.25,hd,false,True,https://i.ytimg.com/vi/wE9EHbSkXa0/maxresdefault.jpg,1280,720,"['pokemon 100 voices 101 151', 'brizzyvoices', 'impressions random', 'voices', 'joshua alden', 'funny', 'ugly guy', 'freak of nature', 'voice cartoon', 'joker', '151', '150', 'original', 'the', 'brizzy', 'all']",16,24,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"Sooooooo the Pokefan inside of me wanted to make a video where I try all 151 original Pokémon voices, but BrizzyVoices already made that video and she did all of them like perfectly..... (btw BrizzyVoices is awesome!!)

Sooooooo instead, I'm just going to ""try,"" 101 Pokémon voices....I actually only remembered 99 so I added 2 Pokémon not from the original 151 to make it 101, because I like the number 101 more than 100 (sorry if that offends anyone....)


I think some of them are aiiiiight, but most of them probably just suck.....


OH YEAH, sorry for the very random moments in this video, I get distracted very easi"
5,ycJGWIHmFFc,Disney Villain Impressions,26,3,0.0,0,2015-06-18,13:04:15,3,afternoon,1121194,18302,846,0,2877,8.25,hd,false,True,https://i.ytimg.com/vi/ycJGWIHmFFc/maxresdefault.jpg,1280,720,"['disney villain impressions', 'villains', 'disneys', 'scar gaston', 'singing', 'prince hans', 'ursula', 'funny stupid random', 'snow white', 'creepy', 'horned evil', 'chernabog', 'queen', 'evil', 'maleficent', 'cruella', '100', 'joshiiwuh', 'cartoon', 'cartoons', 'claude frolo', 'frollo', 'Animation', 'Disney', 'Melody', 'Snow', 'Ariel']",27,23,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",joshiiwuh,290000,52826105,87,"Sorry if I left out any Disney Villains, my brain decided to remember like 20 that I left out the second I finished editing this, like Captain Hook, Hades, that one lady from Tangled, Pete...
But luckily I remembered to add the creepiest of all Disney Villains, Snow White. Well technically she's not a villain, but she...just....seems...evil....those eyes....that voice....the way she creepily moves....shiver....I'm like 38.5% sure she's evil...
If you didn't like any of these impression attempts or my face, we would like to apologize for the inconvenience. Please enjoy your flight and have a nice day
I also have like 10 minutes of Disney Villain Singing impressions, so I will make that into a separate video when I get back from my short vacation. I was deported, so I just have to make my way back over the border again, pssh, stupid laws...
If you are someone who watches my impression video and you are still reading this and you have a certain impression that you want to see my try and potentially make a fool of myself in the process, just leave it in the comments somewhere because the next impression video I will make will probably be another one of the 100 impressions videos, but they will all be requests that I have gotten
If you don't like my impression videos, but like my other videos, I'm also going to start making more of those too, I'm editing like 6 of them right now....I think...7??? Maybe 8???? 22, definitely 22....yeah, most of them are like 10 minutes from being finished too...I'm really bad at staying focused on stuff, my mind easily wanders away from my train of thought I still had another half of my bagel left, must have eaten it...I cannibalized it...R.I.P. Bagel

Bagel 
June 18th 2015 - June 18th 2015

""She tasted so good..."" 
- Joshua, her murderer 




AND THEY ALL LIVED HAPPILY EVER AFTER
THE END................"
6,bU1_asdPkTU,115 Cartoon Network Impressions,31,4,0.0,0,2016-03-24,14:00:01,3,afternoon,1073115,15265,788,0,2760,6.95,hd,false,True,https://i.ytimg.com/vi/bU1_asdPkTU/maxresdefault.jpg,1280,720,"['impressions', 'impression', 'voices', 'voice', 'cartoon network', 'cartoons', 'adventure time', 'ice king', 'simon', 'fosters home', 'powerpuff girls', 'bubbles', 'samurai jack', 'kids next door', 'grim billy mandy', 'ed edd n eddy', 'johnny bravo', 'courage', 'amazing world gumball', 'regular show', 'chowder', 'steven universe', 'we bare bears', 'teen titans', 'scooby doo', 'bugs bunny', 'total drama', 'joshiiwuh', 'flapjack dexters lab', 'dee dee', 'space ghost']",31,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"100 Adventure Time Impressions = https://www.youtube.com/watch?v=yfNV0eCJ5E8

Simon Petrikov/Ice King Impressions = https://www.youtube.com/watch?v=LnNJ-hqHDdo

101 Pokemon Impressions = 
https://www.youtube.com/watch?v=wE9EHbSkXa0

101 MORE Pokemon Impressions = https://www.youtube.com/watch?v=q-6dyaKMXTY

Originally this video had 134 impressions, but it was over 10 minutes, so I did an insane amount of cutting to get it under 7, haha. Apparently when you do over 100 impressions that each go on for like 15 to 30 seconds, it turns into a really long video...But anywho, I tried to keep the most popular cartoons and characters from Cartoon Network in the video, sooooo hopefully I didn't miss any popular ones!!

Also, if you noticed how the background and my clothes and my beanie randomly changed a couple times, that is because I basically filmed this whole thing twice, but lost most of the footage from the original one because technology dies when I touch it. I had to use a couple clips from the older footage though, because I forgot to do those impressions in the newer footage. DON'T YOU LOVE WHEN TECHNOLOGY DIES AT THE WORST TIMES?!?!? HAHAHAHAHAHAHA!!!! (SARCASM) hehe

One time I had to write this 50 page story for one of my college classes and literally seconds after I finished accidently spilled water all over my laptop, because you know, I guess my body felt like it, and then my laptop died. (Oh and my story too)
Fun times, fun times...

Cartoon Network helped inspire me to like cartoons, true story. 

Just like sugar inspired me to want more sugar or how touching a burning stove inspires 69% of kids to not want to touch stoves anymore or how seeing a Michael Bay movie inspires someone to not want to see anymore Michael Bay movies or how repeatedly falling down the stairs inspires my brain to not want to keep falling down the stairs, which ends up being pointless because my body seems to still like falling down the stairs, kind of like how my brain would have said that pouring water all over my laptop would probably not be a good idea, but my body decided it would try it anyways. The lesson of the story is, your body is evil and wants to destroy you. 

P.S. It's totally normal for someone in their 20's to say Cartoon Network is their favorite channel, right??

P.S.S. If it's not normal, that is like age discrimination or something...ageism?? Is that a thing??

P.S.S.S. If you're a 90's kid who still loves Cartoon Network, shout out in the comments!! WHOO!!! Mostly because I feel lonely...

P.S.S.S.S. Totally kidding about that whole lonely thing. I have such a huge group of friends, I can't even begin to name all of them. Or even one of them. The non-fictional ones at least. I can name like 20 fictional ones off the top of my head easily. Ice King, Marceline, Scooby-Doo, SpongeBob, Patrick, Eduardo, Wilt, Bubbles, Raven, Starfire, Woody, Buzz Lightyear, Mickey Mouse, Goofy...see I totally have friends...

P.S.S.S.S.S. I just prefer the cartoon ones over the fleshy ones because the fleshy ones always make up excuses like ""I can't hang out, I'm at work,"" or ""I can't hang out because I'm on vacation with my family in Australia,"" or ""I was just viciously mauled by a grizzly bear and am in critical condition at the hospital,"" or ""The phone number you are trying to reach has been disconnected..."" 
P.S.S.S.S.S.S. Speaking of Adventure Time, did you know they are making a movie?!?!?!? Like an actual, movie theatre movie!!?!?!? Not one of those made for T.V. movies, but a legit movie movie?!?!?!? They didn't say when it comes out yet?!?!?! But I'm wicked excited!?!?!?! The usage of question marks and explanation points in this paragraph is getting out of hand !?!?!?!?!?!?!?!?!?

P.S.S.S.S.S.S.S. ?!?!?!?!?!?!!?!?!?!?!?!?!!?!?!?!???!!?SY­STEMERROR
THE NUMBER YOU'RE TRYING TO REACH HAS BEEN DISCONECCTED"
7,6Kdys7UFu3E,100 Singing Impressions,23,3,0.0,0,2014-06-11,11:22:56,2,afternoon,738094,11392,551,0,2554,13.4,hd,false,True,https://i.ytimg.com/vi/6Kdys7UFu3E/maxresdefault.jpg,1280,720,"['singing impressions voices', 'voice', 'impression', 'singer', 'disney', 'prince', 'princes', 'princesses', 'one direction', 'justin bieber', 'mcfly', 'my favorite band', 'non attractive', 'un cute', 'ugly', 'guy', 'why is it so hot here', 'joshy no like summer', 'at least not when its hot', 'i lyk cold weather', 'or warm', 'joshua', 'alden', 'joshiiwuh', 'joshywuh', 'joshywuhh']",26,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"Since some people asked, yes I have twitter and instagram, they are both Joshiiwuh...I'm so creative with names aren't I? Hehe

The following video is based on a true story. The stuff that happened in it, happened in real life. It's about some guy trying to sound like 100 singers/peoples. It's probably going to be suckish since he literally only sings when he's alone in his car or shower...so he apologizes for any wrong lyrics, pitchy-ness, or bad singing-ness in the video.

B T Dubs, this video had like a million different things to put together and I had to keep cutting and cutting to get it as short as possible because at first it was like 18 minutes long!!!!
So there are a lot of parts that sound really weird or cut short. That's why, hehehe

I also should probably take better care of those wigs. They look even frizzier than my hair, which is really frizzy right now since it's summer. I should probably get it cut. Maybe a mullet? I think those are popular, right? Maybe I can just ask Miley Cyrus, she has really good, clean, family-friendly, taste in how to dress and stuff.

Is anyone reading this anymore? I guess if you read that you are, did you read the disclaimer thingy? Hehe, did you get it, did you get it? At stands for Adventure Time!!! I'm so sneaky
But it's totally normal for a guy over 20 to have a cartoon crush, right?...and watch cartoons....and make videos on YouTube trying to sound like them??...hmm, yeah, I think I need a girlfriend O__o
Maybe Marceline or the real, non-cardboard cutout Jennifer Lawrence is single...and desperate!!!! EEEEEK 

Oh yeah, for anyone who watches all my videos and is subscribed to me, THANKS!!! And SORRY!!!! You clearly have a problem...hehehe, I'm just kidding. Seriously thanks though, and sorry for taking like...5 months for this video?? I was doing stuff, stuff like for the cia or men in black and I was busy...and lazy, but I'll try to stop being so lazy and make more videos

P.S. this video originally had 120 singing impressions (I really suck at counting apparently) so I cut like 20 of them, but I might try making a shorter one of just band impressions or something if anyone wants me to :P

P.S.S. I used that clip at the beginning of the video from my first 100 voice impressions video and in that first video I was coughing a lot, I was also coughing a lot in this one!!! Whoo!!! Thank you asthma!!! Oh and yeah, I wasn't dying, it's just this kind of asthma that makes me cough and lose my breathe a little when my allergies get bad and I had a sinus infection the week before making this so my voice was still a little shaky and stuff

P.S.S.S.S.S.S. I really want to dress up like Quasimodo now and run around in public singing. I think he's part goat. Seriously, look up a video of him singing, I tried to sound like him but...(Duh, bro it's called an impression video)...I know it's an impression video but that doesn't meant it's a good impression (Well that's obvious) What's that supposed to mean!! (If it was a good impression then it would sound like him and not like a constipated goat) HEY!!!!...good burn bruh!!! (OMG, THANKS!!!! I just though of it myself!!) NO WAY!!!! (LOL) ROFLCALCDTMHA
(Rolling on floor laughing, cramping, and losing consciousness due to having asthma).....

P.S.S.S.S.S.S.S.S.S.S.....yes I was just having a conversation with myself....

P.S.S.??? This is the last sentence in this description thingy. If you read all of it, you probably have as many issues as me, hehehehe

LATER!!!!"
8,ICCmkE13U50,100 MORE Voice Impressions (In 5 minutes...well kind of),56,10,0.1,0,2013-02-15,13:03:53,4,afternoon,603247,10246,204,0,1334,5.466666666666667,hd,false,True,https://i.ytimg.com/vi/ICCmkE13U50/maxresdefault.jpg,1280,720,"['100 more voices', 'impressions voice over', 'characters', 'cartoons brizzyvoices', 'original pokemon', 'ed edd eddy', 'powerpuff girls', 'him mojo jojo', 'regular show', 'adventure time choose goose', 'urkel', 'joshua alden', 'spongebob chocolate', 'simpsons movie', 'courage the cowardly dog', 'joshiiwuh tiny tim', 'tmnt', 'teenage mutant ninja turtles', 'kung pow enter the fist', 'eeyore shrek coraline', 'chowder eduardo cheese']",21,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"THANK YOU to everyone who watched, left all the nice comments and liked my first 100 impressions video!!!!!!!!!!

I decided to TRY to do another 100 voice impressions.........

Sooooooooo these are another 100 voice ""impressions"" that I tried......they are like the backup though to the original ones, sooooo a lot of them probably suck, xD


I am sorry to anyone who may have been permanently damaged in the brain, ears, eyes, or......spleen.....from watching this video and these impressions.....

P.S. I filmed this in one day, but I had to do like 5 more voices to get to 100, soooooooo that is why it goes from day time to night time really randomly....


P.S.S....I didn't do an intro for this 100 voices video because I talk too much (adhd...xD).......I didn't know it would be so long (that's what she said....not really......)

P.S.S.S.......I am going to ground myself for that lame attempt at a that's what she said joke...........ok bye........

P.S.S.S.S..............the inner Pokemon fanboy in me REAAAAAAAAAALLLLLLY wants to try to do a 100 Pokemon voices video.......does anyone even read this far down the comment description thingy? If so, hi.....how are you???..........."
9,yfNV0eCJ5E8,100 Adventure Time Impressions,30,4,0.0,0,2014-08-06,03:50:41,2,late_night,578692,8606,456,0,1636,10.366666666666667,hd,false,True,https://i.ytimg.com/vi/yfNV0eCJ5E8/maxresdefault.jpg,1280,720,"['adventure time', 'impressions', 'impression', 'finn', 'jake', 'bubblegum', 'gumball', 'marshall lee', 'ugly weird non attractive or cute guy', 'singing un amazingly', 'he sucks i knows eye am me', 'cartoon network', 'marceline', 'lemongrab', 'lemonhope', 'gunter', 'ice king', 'simon', 'petrikov', 'hunson abadeer']",20,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],joshiiwuh,290000,52826105,87,"I get asked sometimes, so yes I have these thingys
Instagram - http://instagram.com/joshiiwuh#
Twitter = https://twitter.com/joshiiwuh

Soooooo the most requested type of impression video I've been asked to make (like 11 times) is...was...are...were...Adventure Time!!...which is one of my favorite shows, so I thought ""OH MAH GLOB, I GOTS TO TRY DEM IMPRESSIONS!!!""
Sooooooooo I did...this is it,well not this, this is the video description thingy, but the video above it that is possibly playing  (Depending on your internet connection and if you didn't pause it because you hated it)
OH, and since I'm such an AT nerd, I actually tried most of these impressions from memory, but I think I remembered what pretty much all of them sounded like...that doesn't mean they are going to be good impressions though, I think my Jake impression sucked for example, but I know WHAT he sounds like

OH YEAH!!! Ok, so the Lady Rainicorn impression...I tried using this translator app to write a sentence in Korean and then I listened to it and tried to say it while trying to sound like Lady Rainicorn, which means I was trying to sound like a girl, who speaks Korean, while trying to also speak Korean, which I don't know.....sooooooo if I said anything offensive by accident in Korean, I'm sorrrryyyyyy!!!! it wasn't my fault!!!!!! it was the translator thingys!!!!!!

But if you DO speak Korean, then write in the comments, what I actually said!!!...if I said anything, hehe

I also didn't try an Ice King impression in this video because I want to actually practice that one, which is saying a lot about how much I like the Ice King since I literally never ""Practice,"" any of the impressions because I'm lazy but not really it's just my attention span, I probably couldn't focus long enou


P.S. For anyone who actually watches my videos, sorry for not making videos that often, I PROMISE I am going to try to make them faster, I just have a crazy schedule, but I'm going to try making them faster now ^w^
okay?

P.S.S. Maybe Okay should be our always...hehehe, get it?? Like from TFIOS??...that movie has a lot of feels in it....  V_____V
No worries though, in my head, after the screen went black, the guy woke up and it turns out he was just in a coma, but now he's cured and so is Shailene Woodley, who btw apparently eats clay, has no house, makes her own food, and carries everything she owns in a rolling suitcase...and also is Divergent, so she's pretty much the Queen of all hippies/hipsters, but in a cool, non-crazy-celebrity type of way...plus she's cute, hehehehehe (giggle giggle)

P.S.S.S. I feel like having a hippie phase now

P.S.S.S.S.S.S. Someone asked me what would I do-OO-oo for a Klondike bar....well I've never had one...so I guess, I would maybe want to try one because the commercials are kind of funny and the song is catchy, so I guess I would pay $0.95 for a Klondike bar

P.S.S.S.S.S.S.S.S.S.S. How long does it take before you can tell if you have food poisoning??? I just made fish but I can't cook so i'm pretty sure i'm going to get food poisoning, plus I'm a little dizzy, but that might be from it being 4:56 am right now while I'm typing this, my sleep schedule is kind of messed up right now, hahahaha, I don't know why I'm laughing at that, my brain is in loopy lala land right now since it's late, it gets cray up in my bray bray (that's my brain), but luckily my family is going to Hawaii on Friday for a week, so i'm already on Hawaii's time, hehehehe...but yeah, I'll probably sleep in tomorrow until 3 pm....goodnight!!!!"
