,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,VtplvFSTakY,Donald Trump plays Among Us! (Voice Troll),42,7,0.0,0,2020-10-02,11:00:09,4,afternoon,11750,469,6,0,60,12.433333333333334,hd,false,True,https://i.ytimg.com/vi/VtplvFSTakY/maxresdefault.jpg,1280,720,"['trump', 'donald trump', 'voice trolling', 'nep', 'knep', 'kneep', 'knep voice trolling', 'TRUMP', 'Donald Trump Plays Among Us', 'Among us', 'among us imposter', 'among us crewmate', 'trump plays among us', 'trump among us', 'among us trump', 'among us voice trolling', 'among us donald trump']",17,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Hello Folks, this is your president speaking. I am here to inform you of a tremendous video of myself, Donald John Trump, playing Among Us. If you enjoy the video, please consider subscribing, liking and sharing the video, and leaving a comment. Hope you all enjoy!


Subscribe and turn on all notifications! 
Join my Discord! https://discord.gg/fFyJCmA
Twitter: https://twitter.com/the_knep




Thanks for Watching!


Free Music For Your Youtube Videos
https://www.youtube.com/user/HeatleyBros"
1,LvoB07MyGXE,Trump Plays Call of Duty: Black Ops Cold War (Voice Troll),58,11,0.0,0,2020-11-20,12:00:08,4,afternoon,10112,428,3,0,86,10.55,hd,false,True,https://i.ytimg.com/vi/LvoB07MyGXE/maxresdefault.jpg,1280,720,"['Donald Trump', 'Black Ops Cold War', 'Trump Plays Call of Duty: Black Ops Cold War', 'Trump plays call of duty', 'Knep COD', 'knep', 'Trump plays cod', 'trump call of duty', 'Donald trump call of duty', 'donald trump voice trolling', 'trump voice trolling', 'voice troll', 'voice trolling', 'impersonation', 'impression', 'trump impression', 'trump playing cod', 'trump playing cod voice troll', 'trump cod', 'cod trump', 'faze trump', 'trump warzone']",22,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Welcome to Donald Trump plays Call of Duty: Black Ops Cold War! I go into COD: Cold War lobbies and impersonate Donald Trump to get funny reactions and clips from people. If you enjoyed this video please leave a like and share it with your friends.


**Discord: https://discord.gg/fFyJCmA **

Subscribe and turn on all notifications! 
Twitter: https://twitter.com/the_knep




Thanks for Watching!"
2,HM8OPhNsNnY,TRUMP IS BACK! - Call of Duty: Modern Warfare Voice Trolling,60,10,0.3,0,2020-03-03,00:31:29,1,late_night,9697,215,16,0,36,13.05,hd,false,True,https://i.ytimg.com/vi/HM8OPhNsNnY/maxresdefault.jpg,1280,720,"['knep', 'donald trump plays call of duty', 'trump plays call of duty', 'trolling in call of duty', 'call of duty voice trolling', 'modern warfare trolling', 'voice trolling modern warfare', 'launchers gold modern warfare', 'call of duty modern warfare voice trolling', 'trump', 'trump win', 'the_knep', '_knep', 'theknep', 'cod', 'cod mw', 'mw', 'cod: mw', 'call of duty', 'modern warfare', 'call of duty modern warfare', 'donald trump', 'president trump', 'mike pence']",24,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Join my Discord! https://discord.gg/fFyJCmA


Donald Trump is back from a hiatus to play some Call of Duty: Modern Warfare with the great American people! Make sure to like and subscribe for more content like this!




Music:
Amazing Plan Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/"
3,JXgUfWxLl58,Trump Plays Search and Destroy in Black Ops Cold War (Voice Trolling),69,12,0.0,0,2021-05-10,11:00:07,0,afternoon,6637,581,3,0,92,10.083333333333334,hd,false,True,https://i.ytimg.com/vi/JXgUfWxLl58/maxresdefault.jpg,1280,720,"['knep', 'donald trump plays call of duty', 'trump plays call of duty', 'trolling in call of duty', 'call of duty voice trolling', 'modern warfare trolling', 'voice trolling modern warfare', 'launchers gold modern warfare', 'call of duty modern warfare voice trolling', 'trump', 'trump win', 'the_knep', '_knep', 'theknep', 'cod', 'cod mw', 'mw', 'cod: mw', 'call of duty', 'modern warfare', 'call of duty modern warfare', 'donald trump', 'president trump', 'mike pence']",24,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Welcome to another voice trolling video! Hopefully you guys enjoy! The support on my videos has been crazy lately and very appreciated.

Become a channel member! 
https://www.youtube.com/channel/UCy7gv-FM-dMvw6dMtj8Qfgg/join

*Discord: https://discord.gg/fFyJCmA *

Subscribe and turn on all notifications! 

Fiverr: https://www.fiverr.com/share/qx8jDV
TikTok: https://www.tiktok.com/@theknep
Twitter: https://twitter.com/the_knep


Thanks for Watching!"
4,NzLdQ2bkLKc,"""TOO MUCH WINNING!"" - COD: Modern Warfare Trump Voice Trolling",62,9,0.4444444444444444,0,2020-02-03,19:13:02,0,night,5486,145,6,0,19,10.683333333333334,hd,false,True,https://i.ytimg.com/vi/NzLdQ2bkLKc/maxresdefault.jpg,1280,720,"['Call of Duty', 'call', 'of', 'duty', 'modern warfare', 'modern', 'warfare', 'knep', 'donald', 'trump', 'donald trump', 'voice', 'trolling', 'voice trolling', 'winning', 'too', 'much', 'too much winning']",18,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Join my Discord! https://discord.gg/fFyJCmA

Voice trolling in Modern Warfare as Donald Trump yet again, and showing people exactly how to win.

Please consider liking, commenting, and subscribing if you enjoyed."
5,Y_7B_XvZI3A,"""NOBODY BEATS AMERICA"" - Call of Duty: Modern Warfare Voice Trolling as Donald Trump!",85,13,0.23076923076923078,0,2020-03-10,00:33:20,1,late_night,5050,164,6,0,33,11.5,hd,false,True,https://i.ytimg.com/vi/Y_7B_XvZI3A/maxresdefault.jpg,1280,720,"['knep', 'modern warfare', 'the_knep', '_knep', 'call of duty', 'COD MW', 'call of duty warzone', 'modern warfare warzone', 'donald trump', 'trump', 'president donald trump', 'president trump', 'voice trolling', 'voice impressions', 'comedy']",15,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Join my Discord! https://discord.gg/fFyJCmA

Donald Trump is back and shows everyone exactly what the title says: nobody beats America. 



(Call of Duty: Modern Warfare Voice Trolling and Impressions as President Trump)"
6,7RdRwlGYajw,Donald Trump plays GTA RP but he interrupts the cops and takes over... (Voice Trolling),87,15,0.13333333333333333,0,2021-04-19,11:00:02,0,afternoon,4754,431,1,0,85,9.333333333333334,hd,false,True,https://i.ytimg.com/vi/7RdRwlGYajw/maxresdefault.jpg,1280,720,"['knep', 'modern warfare', 'the_knep', '_knep', 'call of duty', 'COD MW', 'call of duty warzone', 'modern warfare warzone', 'donald trump', 'trump', 'president donald trump', 'president trump', 'voice trolling', 'voice impressions', 'comedy']",15,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Donald Trump plays GTA RP and gets in the cop's way, brings only fists to a gun fight, kidnaps some random person, and ultimately befriends the server admin in the end....


Become a channel member! 
https://www.youtube.com/channel/UCy7gv-FM-dMvw6dMtj8Qfgg/join

*Discord: https://discord.gg/fFyJCmA *

Subscribe and turn on all notifications! 

Fiverr: https://www.fiverr.com/share/qx8jDV
TikTok: https://www.tiktok.com/@theknep
Twitter: https://twitter.com/the_knep


Thanks for Watching!"
7,hxkyhvtgozY,Best of Donald Trump plays COD/Knep 2020,40,8,0.125,0,2020-12-29,14:02:02,1,afternoon,4590,279,1,0,25,31.333333333333332,hd,false,True,https://i.ytimg.com/vi/hxkyhvtgozY/maxresdefault.jpg,1280,720,"['knep', 'modern warfare', 'the_knep', '_knep', 'call of duty', 'COD MW', 'call of duty warzone', 'modern warfare warzone', 'donald trump', 'trump', 'president donald trump', 'president trump', 'voice trolling', 'voice impressions', 'comedy']",15,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"I wanted to compile some of my favorite moments of this year to share with you all. Crazy I started this channel almost a year ago and I have had so many cool things happen, I’m grateful for it all. Thank you to everyone who is subscribed and who watches my stuff. I appreciate all of you. This is Knep’s Best of 2020.


**Discord: https://discord.gg/fFyJCmA **

Subscribe and turn on all notifications! 
Twitter: https://twitter.com/the_knep




Thanks for Watching!"
8,wQfMoqgT5v8,Donald Trump plays Call of Duty (feat. Walter Jr.),50,9,0.0,0,2021-05-03,11:00:32,0,afternoon,4277,406,3,0,43,14.133333333333333,hd,false,True,https://i.ytimg.com/vi/wQfMoqgT5v8/maxresdefault.jpg,1280,720,"['knep', 'modern warfare', 'the_knep', '_knep', 'call of duty', 'COD MW', 'call of duty warzone', 'modern warfare warzone', 'donald trump', 'trump', 'president donald trump', 'president trump', 'voice trolling', 'voice impressions', 'comedy']",15,20,none,en-US,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"I am back with a classic video of Donald Trump playing Call of Duty: Modern Warfare/Warzone. But this time I am collaborating with @Genie Boy (go check him out and subscribe!) to bring you a video where Walt Jr. from Breaking Bad goes at it with Donald Trump!

Become a channel member! 
https://www.youtube.com/channel/UCy7gv-FM-dMvw6dMtj8Qfgg/join

*Discord: https://discord.gg/fFyJCmA *

Subscribe and turn on all notifications! 

Fiverr: https://www.fiverr.com/share/qx8jDV
TikTok: https://www.tiktok.com/@theknep
Twitter: https://twitter.com/the_knep


Thanks for Watching!"
9,iLsW_luaxVI,Call of Duty : Angering Players as Donald Trump! (Voice Trolling),65,10,0.0,0,2020-01-27,20:31:25,0,night,4075,112,2,0,8,11.583333333333334,hd,false,True,https://i.ytimg.com/vi/iLsW_luaxVI/maxresdefault.jpg,1280,720,"['knep', 'donald', 'trump', 'voice', 'trolling', 'call', 'of', 'duty', 'call of duty', 'modern warfare', 'modern', 'warfare']",12,20,none,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Knep,3880,146676,47,"Join my Discord! https://discord.gg/fFyJCmA

Playing Call of Duty with randoms, the Trump voice seems to piss a lot of people off. 




*****
Note: This is not supposed to be political, it's just meant to be funny and entertaining."
