,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,KLxoyeRvqDw,Kermie lookin' for baddies on Omegle,36,6,0.0,0,2021-02-27,11:04:50,5,afternoon,4827779,230642,2129,0,7030,8.016666666666667,hd,false,True,https://i.ytimg.com/vi/KLxoyeRvqDw/maxresdefault.jpg,1280,720,"['kermit omegle', 'kermit omegle packing', 'omegle kermit', 'omegle', 'maxamili', 'funny omegle', 'kermit the frog on omegle', 'maxamili omegle', 'funny omegle moments', 'kermit tiktok']",10,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit's back on Omegle lookin' for baddies

We're on the road to 15K subscribers.
Thank you guys so much for all the support thus far! 

If you enjoy my videos, please like, share and subscribe! :)

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - maxamiliyt
Follow me on Twitter @MaxamiliYT"
1,TWLjrSs8AOM,Happy International Women's Day from Kermie,43,7,0.0,0,2021-03-08,19:56:51,0,night,3629317,193174,2178,0,5370,6.166666666666667,hd,false,True,https://i.ytimg.com/vi/TWLjrSs8AOM/maxresdefault.jpg,1280,720,"['kermit omegle', 'international womans day', 'international womans day 2021', 'kermit on omegle', 'omegle', 'maxamili', 'maxamili omegle', 'funny omegle', 'funny omegle moments', 'kermit the frog omegle']",10,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit's back on Omegle wishing all the baddies a happy International Women's Day

We're now on the road to 30K subscribers.
Thank you guys so much for all the support thus far! 

If you enjoy my videos, please like, share and subscribe! :)

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - maxamiliyt
Follow me on Twitter @MaxamiliYT"
2,mNoZ9orCRYs,Kermit's showing off his zucch on Omegle,40,8,0.0,0,2021-03-05,15:33:10,4,afternoon,2713795,133632,886,0,4299,8.45,hd,false,True,https://i.ytimg.com/vi/mNoZ9orCRYs/maxresdefault.jpg,1280,720,"['kermit omegle', 'omegle kermit', 'kermit on omegle', 'kermit the frog omegle', 'maxamili', 'maxamili omegle', 'omegle', 'funny omegle', 'omegle trolling', 'funny omegle moments', 'omegle kermit the frog']",11,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit's back on Omegle showing off his zucch

We're now on the road to 20K subscribers.
Thank you guys so much for all the support thus far! 

If you enjoy my videos, please like, share and subscribe! :)

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - maxamiliyt
Follow me on Twitter @MaxamiliYT"
3,TFVNNB3ujIw,Kermie's back looking for baddies on Omegle,43,8,0.0,0,2021-03-24,10:00:01,2,morning,2487798,121672,970,0,4610,8.1,hd,false,True,https://i.ytimg.com/vi/TFVNNB3ujIw/maxresdefault.jpg,1280,720,"['kermit omegle', 'omegle', 'maxamili', 'funny omegle', 'kermit packin', 'kermit on omegle', 'omegle kermit', 'kermit the frog omegle', 'maxamili omegle', 'funny omegle moments']",10,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermie's back on Omegle looking for baddies

I hit 250k subscribers! 
Thank you so much for all the support. My channel has been growing at 
a ridiculous rate. I now have over 250k subscribers and it's all thanks 
to you guys. So again, thank you.

Kermit the Frog rap - https://youtu.be/pYVID2iROs0

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - https://www.instagram.com/maxamiliyt
Follow me on Twitter - https://twitter.com/maxamiliyt"
4,hwnsFuKhx5k,Kermit shouldn't be allowed on Omegle,37,7,0.0,0,2021-01-19,20:16:41,1,night,972021,43640,260,0,1618,6.1,hd,false,True,https://i.ytimg.com/vi/hwnsFuKhx5k/maxresdefault.jpg,1280,720,"['kermit omegle', 'kermit on omegle', 'omegle', 'funny omegle', 'omegle funny', 'omegle funny moments', 'kermit the frog on omegle', 'funny omegle moments', 'omegle kermit']",9,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit is on Omegle but it’s not as wholesome as you’d think it would be...

If you enjoy my videos, please like and subscribe! :)

Follow me on TikTok - tiktok.com/@maxamiliyt"
5,ta9Al6KCYhc,Kermie meets some of his fans on Omegle,39,8,0.0,0,2021-03-12,12:49:20,4,afternoon,797463,48778,285,0,2555,10.033333333333333,hd,false,True,https://i.ytimg.com/vi/ta9Al6KCYhc/maxresdefault.jpg,1280,720,"['kermit omegle packing', 'kermit omegle', 'kermit fap omegle', 'omegle', 'funny omegle moments', 'maxamili', 'maxamili omegle', 'kermit the frog omegle', 'omegle kermit', 'omegle prank', 'omegle trolling']",11,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit's back on Omegle talking to some of his fan and showing off his zucch

I can't believe i'm saying this but we're now on the road to 100K subscribers.
Thank you guys so much for all the support thus far! 

If you enjoy my videos, please like, share and subscribe! :)

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - maxamiliyt
Follow me on Twitter @MaxamiliYT"
6,x1xHCnv2zM0,Kermit vs Kermit on Omegle,26,5,0.0,0,2021-04-02,11:04:01,4,afternoon,782306,71258,368,0,2830,8.516666666666667,hd,false,True,https://i.ytimg.com/vi/x1xHCnv2zM0/maxresdefault.jpg,1280,720,"['kermit omegle', 'omegle kermit', 'kermit packin', 'kermit omegle packin', 'maxamili', 'maxamili omegle', 'funny omegle moments', 'omegle trolling', 'funny omegle', 'kermit on omegle', 'kermit vs kermit', 'Areusupercereal', 'Are u super cereal', 'Areusupercereal Omegle']",14,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"In this very special episode, Kermit meets another kermit on Omegle!

Thank you so much for all the support. My channel has been growing at 
a ridiculous rate. I now have over 260k subscribers and it's all thanks 
to you guys. So again, thank you.

Check out Are U Super Cereals channel! - https://www.youtube.com/cerealschannel

Also check out my friends Kermit rap!
https://youtu.be/pYVID2iROs0​​

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - https://www.instagram.com/maxamiliyt​​
Follow me on Twitter - https://twitter.com/maxamiliyt​​"
7,LQBsdtoSF8Y,Kermit tries using pick up lines on Omegle,42,8,0.0,0,2021-05-15,11:30:22,5,afternoon,740925,32537,247,0,1097,8.183333333333334,hd,false,True,https://i.ytimg.com/vi/LQBsdtoSF8Y/maxresdefault.jpg,1280,720,"['kermit on omegle', 'omegle', 'omegle kermit', 'maxamili', 'kermit packing', 'maxamili omegle', 'funny omegle moments', 'funny omegle', 'kermit omegle', 'omegle funny moments', 'omegle trolling']",11,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermits is back on Omegle this time trying some pick up lines on some baddies

Thank you so much for all the support. My channel has been growing at 
a ridiculous rate. I just recently hit 300k subscribers and it's all thanks 
to you guys. Keep hitting those like and subscribe buttons and you'll be blessed with baddies for all eternity. Can we get 10k likes?

“Lookin’ for baddies” T-shirts - https://maxamili.creator-spring.com

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - https://www.instagram.com/maxamiliyt​...
Follow me on Twitter - https://twitter.com/maxamiliyt​​​​​"
8,iZTWVXoBCbY,Kermit looks for a valentine on Omegle,38,7,0.0,0,2021-02-14,11:55:38,6,afternoon,729204,28775,203,0,762,8.466666666666667,hd,false,True,https://i.ytimg.com/vi/iZTWVXoBCbY/maxresdefault.jpg,1280,720,"['kermit omegle', 'kermit the frog omegle', 'omegle kermit', 'kermit on omegle', 'maxamili', 'maxamili omegle', 'funny omegle', 'omegle funny moments', 'maxamili kermit', 'omegle kermit the frog']",10,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit is back on Omegle but this time he's looking to find a valentine

Road to 10k subs! 
Thank you guys so much for all the support thus far! 

If you enjoy my videos, please like, share and subscribe! :)

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - maxamiliyt
Follow me on Twitter @MaxamiliYT"
9,NupLMC5ewus,Kermit will steal yo' girl on Omegle,36,7,0.0,0,2021-06-20,16:47:15,6,afternoon,707841,31116,287,0,1044,8.983333333333333,hd,false,True,https://i.ytimg.com/vi/NupLMC5ewus/maxresdefault.jpg,1280,720,"['kermit omegle', 'omegle kermit', 'kermit', 'omegle', 'funny omegle', 'omegle trolling', 'maxamili', 'maxamili omegle', 'kermit packin', 'lookin for baddies', 'kermit looking for baddles', 'kermit the frog', 'kermit the frog omegle']",13,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Maxamili,361000,25219586,87,"Kermit will most definitely steal yo' girl on Omegle.

Thank you so much for all the support. My channel has been growing at 
a ridiculous rate. I recently hit 330,000 subscribers and it's all thanks 
to you guys. Keep hitting those like and subscribe buttons and you'll be blessed with baddies for all eternity. Can we get 10k likes?

“Lookin’ for baddies” T-shirts - https://maxamili.creator-spring.com

Follow me on TikTok - tiktok.com/@maxamiliyt
Follow me on Instagram - https://www.instagram.com/maxamiliyt​...
Follow me on Twitter - https://twitter.com/Maxamiliyt​​​YT"
