,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,JdT9bGgrMh0,Mickey Loses His Sanity on Omegle (Voice Trolling),50,8,0.0,0,2021-03-23,22:54:55,1,night,194134,7669,60,0,468,8.166666666666666,hd,false,True,https://i.ytimg.com/vi/JdT9bGgrMh0/hqdefault.jpg,480,360,"['omegle trolling', 'omegle funny', 'omegle', 'omegle trolling funny', 'mickey mouse omegle', 'omegle mickey mouse', 'voice impressions', 'omegle prank', 'Redfireball555', 'omegle funny moments', 'omegle tik tok', 'donald duck impressions omegle', 'omegle donald duck voice', 'voice trolling on omegle', 'voice trolling', 'voices', 'satire']",17,24,none,en-US,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Mickey Mouse hops on Omegle to make people laugh. There are many voice impressions in this video and funny voice trolling. 
▶️ OMEGLE playlist: https://youtube.com/playlist?list=PL2K5lnEad2utRLjScOYyAyc-zqcGPd4Iz
➡️ Follow my TikTok https://www.tiktok.com/@redfireball555?lang=en
⏺ Discord Server: https://discord.gg/tfJsQEQZsx

omegle trolling, omegle funny, omegle, omegle trolling funny, mickey mouse omegle, omegle mickey mouse, voice impressions, omegle prank, Redfireball555, omegle funny moments, omegle tik tok, donald duck impressions omegle, omegle donald duck voice, voice trolling on omegle, voice trolling, voices, satire"
1,ETdjB7nU7iM,Old Town Road (cover) - Donald,30,5,0.0,0,2019-05-14,21:31:29,1,night,133959,3186,98,0,188,2.4,hd,false,False,https://i.ytimg.com/vi/ETdjB7nU7iM/maxresdefault.jpg,1280,720,"['impression', 'cover', 'funny', 'Redfireball555', 'voice impression']",5,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"ORIGINAL MUSIC: https://itunes.apple.com/us/album/old-town-road-single/1456313174

Duck Logo By: Toxic Void

Thanks for 160 subs!


OUTRO: https://www.youtube.com/watch?v=tAA_yWX8ycQ&t=144s
LIKE SUBSCRIBE!"
2,bqNyVsTcvz4,"Mad Duck - ""BAD GUY"" Donald PARODY",34,6,0.5,0,2019-06-18,00:57:47,1,late_night,73051,2430,37,0,174,2.966666666666667,hd,false,False,https://i.ytimg.com/vi/bqNyVsTcvz4/maxresdefault.jpg,1280,720,"['parody', 'impression', 'funny', 'satire', 'cover', 'Redfireball555', 'mad duck']",7,23,none,en,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Thanks for 200 subscribers!

BILLIE EILISH - ""BAD GUY"" Donald Duck PARODY

Like a like for MORE parodies.
COMMENT what you want.

➡️Twitter-  https://twitter.com/redfireball555
➡️Toxic Void (made logo)- https://www.youtube.com/channel/UC9ohFiZLJtSwVaSyBOKP8hw

:-)"
3,mr0ieth3m6w,Donald Duck On Omegle (Voice Trolling),38,6,0.0,0,2020-03-15,21:38:45,6,night,49110,1338,15,0,56,6.716666666666667,hd,false,True,https://i.ytimg.com/vi/mr0ieth3m6w/maxresdefault.jpg,1280,720,"['voice impression', 'funny', 'satire', 'voice troll', 'video call', 'Redfireball555', 'omegle', 'voice trolling', 'donald duck']",9,23,none,,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Here's a new banger for you guys. But on Omegle. Hope you enjoy.
▶️ OMEGLE playlist: https://youtube.com/playlist?list=PL2K5lnEad2utRLjScOYyAyc-zqcGPd4Iz
⏺ Discord Server: https://discord.gg/tfJsQEQZsx
➡️ Follow my TikTok https://www.tiktok.com/@redfireball555?lang=en

Created Duck Logo: https://www.youtube.com/channel/UC9ohFiZLJtSwVaSyBOKP8hw
➡️Twitter- https://twitter.com/redfireball555"
4,KqWGOdvbDUc,Donald Duck SPOOKS people on Omegle (Voice Trolling),52,8,0.125,0,2020-11-02,13:20:48,0,afternoon,43943,1693,17,0,75,8.75,hd,false,True,https://i.ytimg.com/vi/KqWGOdvbDUc/maxresdefault.jpg,1280,720,"['omegle trolling', 'omegle funny', 'omegle', 'omegle trolling funny', 'donald duck omegle', 'omegle donald duck', 'voice impressions', 'omegle prank', 'Redfireball555', 'omegle funny moments', 'omegle tik tok', 'donald duck impressions omegle', 'omegle donald duck voice', 'voice trolling on omegle', 'voice trolling', 'voices', 'satire']",17,23,none,en-US,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Redfireball555,10100,828243,96,"Donald Duck goes on Omegle to voice troll with different voice impressions that shock and wow people.
⏺ Discord Server: https://discord.gg/tfJsQEQZsx

omegle trolling, omegle funny, omegle, omegle trolling funny, donald duck omegle, omegle donald duck, voice impressions, omegle prank, Redfireball555, omegle funny moments, omegle tik tok, donald duck impressions omegle, omegle donald duck voice, voice trolling on omegle, voice trolling, voices, satire"
5,2jSiz6QUYz4,Donald looks for Baddies (omegle trolling funny),48,7,0.0,0,2021-04-10,18:30:32,5,night,43133,2030,14,0,140,14.133333333333333,hd,false,True,https://i.ytimg.com/vi/2jSiz6QUYz4/maxresdefault.jpg,1280,720,"['omegle trolling', 'omegle funny', 'omegle', 'omegle trolling funny', 'donald duck omegle', 'omegle donald duck', 'voice impressions', 'omegle prank', 'Redfireball555', 'omegle funny moments', 'omegle tik tok', 'donald duck impressions omegle', 'omegle donald duck voice', 'voice trolling on omegle', 'voice trolling', 'voices', 'satire']",17,24,none,en-US,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Omegle trolling with Donald Duck voice impressions. Omegle funny and omegle trolling funny
➡️ Follow my TikTok https://www.tiktok.com/@redfireball555?lang=en
THANK YOU SO MUCH FOR 3k SUBSCRIBERS!!!!!!!
▶️ OMEGLE playlist: https://youtube.com/playlist?list=PL2K5lnEad2utRLjScOYyAyc-zqcGPd4Iz
⏺ Discord Server: https://discord.gg/tfJsQEQZsx


omegle trolling, omegle funny, omegle, omegle trolling funny, donald duck omegle, omegle donald duck, voice impressions, omegle prank, Redfireball555, omegle funny moments, omegle tik tok, donald duck impressions omegle, omegle donald duck voice, voice trolling on omegle, voice trolling, voices, satire"
6,2tQnO806OKk,Omegle Voice Trolling [Donald Duck Voice Impression],52,7,0.0,0,2020-08-07,08:39:10,4,morning,41591,1222,8,0,50,8.466666666666667,hd,false,True,https://i.ytimg.com/vi/2tQnO806OKk/maxresdefault.jpg,1280,720,"['omegle voice trolling', 'donald duck voice trolling', 'donald duck voice', 'Redfireball555', 'satire', 'funny', 'voice impressions']",7,23,none,en-US,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Here's a new Omegle voice trolling for you guys. Hope you enjoy. With some epic voice impressions and my Donald Duck voice on Omegle.

Created Duck Logo: https://www.youtube.com/channel/UC9ohFiZLJtSwVaSyBOKP8hw
⏺ Discord Server: https://discord.gg/tfJsQEQZsx
➡️Twitter- https://twitter.com/redfireball555"
7,Q293G9mlZsA,Donald Duck SINGS Christmas Songs on Omegle (Voice Trolling) ft. Baby Yoda,74,12,0.08333333333333333,0,2020-12-10,18:14:55,3,night,35047,1434,9,0,74,12.833333333333334,hd,false,True,https://i.ytimg.com/vi/Q293G9mlZsA/maxresdefault.jpg,1280,720,"['omegle trolling', 'omegle funny', 'omegle', 'omegle trolling funny', 'donald duck omegle', 'omegle donald duck', 'voice impressions', 'omegle prank', 'Redfireball555', 'omegle funny moments', 'omegle tik tok', 'donald duck impressions omegle', 'omegle donald duck voice', 'voice trolling on omegle', 'voice trolling', 'voices', 'satire']",17,24,none,en-US,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Donald Duck is back on Omegle voice trolling people. But since it's December he sings some Christmas songs. Leave a LIKE for another vid!
⏺ Discord Server: https://discord.gg/tfJsQEQZsx

omegle trolling, omegle funny, omegle, omegle trolling funny, donald duck omegle, omegle donald duck, voice impressions, omegle prank, Redfireball555, omegle funny moments, omegle tik tok, donald duck impressions omegle, omegle donald duck voice, voice trolling on omegle, voice trolling, voices, satire"
8,BsL1fKmHcsQ,Goofy shows his new girlfriend on Omegle (Voice Trolling),57,9,0.0,0,2021-05-04,20:30:18,1,night,27898,1784,11,0,139,10.633333333333333,hd,false,True,https://i.ytimg.com/vi/BsL1fKmHcsQ/maxresdefault.jpg,1280,720,"['omegle trolling', 'omegle funny', 'omegle', 'omegle trolling funny', 'goofy omegle', 'omegle goofy', 'disappearing trick', 'disappearing on omegle', 'omegle voice impressions', 'omegle prank', 'vanish omegle', 'Redfireball555', 'omegle funny moments', 'omegle tik tok', 'donald duck impressions omegle', 'omegle donald duck voice', 'voice trolling on omegle', 'voice trolling', 'voices', 'satire']",20,24,none,en-US,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Omegle trolling with Donald Duck voice impressions. Omegle funny and omegle trolling funny
➡️ Follow my TikTok https://www.tiktok.com/@redfireball555?lang=en
THANK YOU SO MUCH FOR 5.9k SUBSCRIBERS!!!!!!!
▶️ OMEGLE playlist: https://youtube.com/playlist?list=PL2K5lnEad2utRLjScOYyAyc-zqcGPd4Iz
⏺ Discord Server: https://discord.gg/tfJsQEQZsx

omegle trolling, omegle funny, omegle, omegle trolling funny, goofy omegle, omegle goofy, disappearing trick, disappearing on omegle, omegle voice impressions, omegle prank, vanish omegle, Redfireball555, omegle funny moments, omegle tik tok, donald duck impressions omegle, omegle donald duck voice, voice trolling on omegle, voice trolling, voices, satire"
9,ZgzEXbxuzDg,Donald Duck disappears on people in Omegle (Voice Trolling),59,9,0.0,0,2021-04-24,12:00:16,5,afternoon,22617,1280,8,0,147,10.85,hd,false,True,https://i.ytimg.com/vi/ZgzEXbxuzDg/maxresdefault.jpg,1280,720,"['omegle trolling', 'omegle funny', 'omegle', 'omegle trolling funny', 'donald duck omegle', 'omegle donald duck', 'disappearing trick', 'disappearing on omegle', 'omegle voice impressions', 'omegle prank', 'vanish omegle', 'Redfireball555', 'omegle funny moments', 'omegle tik tok', 'donald duck impressions omegle', 'omegle donald duck voice', 'voice trolling on omegle', 'voice trolling', 'voices', 'satire']",20,24,none,en-US,['https://en.wikipedia.org/wiki/Entertainment'],Redfireball555,10100,828243,96,"Omegle trolling with Donald Duck voice impressions. Omegle funny disappearing on omegle prank and omegle trolling funny
➡️ Follow my TikTok https://www.tiktok.com/@redfireball555?lang=en
THANK YOU SO MUCH FOR 3k SUBSCRIBERS!!!!!!!
▶️ OMEGLE playlist: https://youtube.com/playlist?list=PL2K5lnEad2utRLjScOYyAyc-zqcGPd4Iz
⏺ Discord Server: https://discord.gg/tfJsQEQZsx

omegle trolling, omegle funny, omegle, omegle trolling funny, donald duck omegle, omegle donald duck, disappearing trick, disappearing on omegle, omegle voice impressions, omegle prank, vanish omegle, Redfireball555, omegle funny moments, omegle tik tok, donald duck impressions omegle, omegle donald duck voice, voice trolling on omegle, voice trolling, voices, satire"
