,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,eyyTBJUKI3c,Skeletor reacts to Episode 1 of Teela and the Masters of the Universe Revelation,80,14,0.0,0,2021-07-25,11:22:54,6,afternoon,15005,1425,44,0,449,25.183333333333334,hd,false,False,https://i.ytimg.com/vi/eyyTBJUKI3c/hqdefault.jpg,480,360,"['he-man', 'he man theme', 'masters of the universe', 'he-man and the masters of the universe', 'he man', 'skaletor', 'skeletor laugh', 'skeletor insults', 'masters of the universe revelation', 'masters of the universe revelation trailer', 'masters of the universe revelation reaction', 'masters of the universe review', 'reaction video', 'netflix review', 'kevin smith', 'kevin smith lies', 'kevin smith caught', 'teela', 'she-ra', ""80's cartoon"", ""80's toy"", ""80's tv show"", ""80's character"", 'retro cartoon', 'reacting', 'woke']",26,24,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program']",Shanieology,2890,142224,311,"In this video Skeletor will react and give his opinion on the first episode of the new Netflix series Masters of the Universe Revelation and also on Kevin Smith's lies 

#heman #Skeletor #masteroftheuniverserevelation"
1,S1Bmx8Dti6Y,Top 5 Worst Reboot Offences Part 2 || Skeletor Reacts,53,9,0.0,0,2021-07-27,18:40:21,1,night,9497,984,9,0,243,14.733333333333333,hd,false,False,https://i.ytimg.com/vi/S1Bmx8Dti6Y/hqdefault.jpg,480,360,"[""80's reboots"", 'reboot', 'skeletor', ""80's cartoon"", 'he-man', 'masters of the universe revelation', 'skaletor laugh', 'skaletor insults', 'kevin smith', 'ghostbusters', 'star wars', 'the last jedi', 'thundercats', 'reaction', 'top 5', 'top 5 list', 'transformers', 'reboots', 'transformers G1', ""80's nostalgia"", ""80's movies"", ""80's shows"", ""80's cartoons"", ""80's toys"", 'funny', 'laughs', 'shanieology', 'luke skywalker', 'ghostbusters 2016', 'netflix']",30,24,none,,['https://en.wikipedia.org/wiki/Entertainment'],Shanieology,2890,142224,311,"In this video Skeletor finishes his top 5 worst 80's reboot offences in which he started. He takes exception to hollywoods constant exploitation of our nostalgia.

#skeletor #masteroftheuniverse #80sreboot"
2,DStvv0peyYQ,Top 5 Worst Reboot Offences Part 1 :Skeletor Reacts,51,9,0.0,0,2021-07-21,11:03:11,2,afternoon,5312,651,9,0,123,14.966666666666667,hd,false,False,https://i.ytimg.com/vi/DStvv0peyYQ/hqdefault.jpg,480,360,"['Masters of the Universe', 'Motu', 'skeletor', 'he-man', 'she-ra', 'pop culture news', 'masters of the universe revelation', 'masters of the universe: revelation', 'he man masters of the universe 1987 full movie', 'Shera', 'she-ra princes of power', 'jem', 'jem and the holograms', 'star trek', 'star trek picard', 'netflix series', 'skeletor laugh', 'skeletor insults', 'skeletor toy', ""80's nostalgia"", ""80's toys"", ""80's cartoons"", 'retro cartoons', ""80's movies"", 'indiana jones 5', 'kevin smith', 'woke hollywood', 'woke he man']",28,24,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Shanieology,2890,142224,311,"In this video Skeletor does a top 5 list of reasons as to why the older fan base shuld be skepticle and guarded about trusting Hollywood with rebooting, remaking and continuing our beloved old franchises we grew up with such as He-man or She-Ra and the Masters of the Universe to Star trek and even Jem and the Holograms

#MastersoftheUniverserevelation #Skeletor #Startrekpicard"
3,PCwtNUQ3t30,Skeletor Reacts to the new MOTU toy line Pt2 Why no Woke Teela Toy huh?,71,15,0.06666666666666667,0,2021-07-17,13:34:25,5,afternoon,5079,411,13,0,119,9.266666666666667,hd,false,False,https://i.ytimg.com/vi/PCwtNUQ3t30/maxresdefault.jpg,1280,720,"['he-man', 'motu', 'masters of the universe', 'masters of the universe revelation', 'skeletor', 'skeletor laugh', 'skeletor insults', 'heman', 'teela', 'she-ra', 'motu toys', ""80's cartoon"", ""80's reboot"", 'reaction', 'reaction video', ""80's toys"", 'woke teela', 'he man', 'go woke go broke', 'netflix', 'new netflix show', 'reboot', 'kevin smith', 'shanieology', 'Motu cartoon', 'toy review', 'teela toy', 'laughs', 'jokes', 'comedy', 'parody', 'netflix series', 'reacting to', 'he man heyheyheyhey', 'he-man toy', 'skeletor toy', 'battle cat']",37,24,none,,['https://en.wikipedia.org/wiki/Entertainment'],Shanieology,2890,142224,311,"This video is part 2 of Skeletor's reaction to the new toy line for the Masters of the Universe Revelation series by Kevin Smith and Netflix.

#mastersoftheuniverserevelation #skeletor #heman"
4,yiQto5PfuII,Skeletor Reacts to Episode 2 of Teela and the Masters of the Universe Revelation Part 1,87,16,0.0,0,2021-07-31,12:13:54,5,afternoon,4891,593,9,0,193,22.45,hd,false,False,https://i.ytimg.com/vi/yiQto5PfuII/hqdefault.jpg,480,360,"['masters of the universe', 'masters of the universe revelation', 'kevin smith', 'masters of the universe: revelation', 'he man masters of the universe 1987 full movie', 'reaction video', 'reactions', 'video reaction', 'reacting to', 'skeletor', 'skeletor laugh', 'skeletor insults', 'he-man', 'teela', 'she-ra', 'Motu', 'netflix series', ""80's cartoon"", ""80's toys"", ""80's nostalgia"", ""80's"", 'cartoons', 'funny', 'laughs', 'jokes', 'parody', 'shanieology', 'heman']",28,24,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Shanieology,2890,142224,311,"This video is part one of Skeletor watches and reacts to Teela and the Masters of the Universe Revelation Episode 2. Also Skeletor discusses Kevin Smith's latest excuses.

#Mastersoftheuniverserevelation  #Skeletor #kevinsmith"
5,Q3ut3A07N-0,Skeletor reacts to the last Original He-man episode,51,9,0.0,0,2021-07-23,11:34:13,4,afternoon,4508,401,7,0,155,23.1,hd,false,False,https://i.ytimg.com/vi/Q3ut3A07N-0/hqdefault.jpg,480,360,"['masters of the universe', 'he-man', 'he man', 'masters of the universe revelation', 'masters of the universe: revelation', 'he man masters of the universe 1987 full movie', 'reaction video', 'skeletor', 'reaction', 'reacting', '80s nostalgia', '80s cartoon', '80s toys', '80s', 'skeletor laugh', 'skeletor insults', 'teela', 'kevin smith', 'kevin smith lied', 'she-ra', 'motu', 'netflix series', 'retro toy', 'laughs', 'jokes', 'funny', 'shanieology', 'he man revelation']",28,24,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program']",Shanieology,2890,142224,311,"In this video Skeletor watches and reacts to the last episode made of the original series to see how well Kevin Smith's Teela series in which he calls a direct continuation matches up.

#mastersoftheuniverserevelation #heman #skeletor"
6,v2bjQITEACQ,Skeletor reacts to new MOTU Toy line: Moss man proves it'll be Woke? Pt1,72,15,0.06666666666666667,0,2021-07-14,14:43:25,2,afternoon,3941,318,12,0,93,10.8,hd,false,False,https://i.ytimg.com/vi/v2bjQITEACQ/hqdefault.jpg,480,360,"['masters of the universe', 'masters of the universe: revelation', 'he man masters of the universe 1987 full movie', 'masters of the universe revelation', 'skeletor', 'skeletor laughs', 'heman', 'He-man', 'skeletor insults', 'skeletor reacts', 'he-man toy', 'teela', 'teela toy', 'toy reaction', 'toy review', '80s toys', '80s toy', '80s cartoon', 'retro toys', 'netflix series', 'kevin smith', 'reaction', 'reactions', 'reacting', 'toy reviews', 'netflix cartoon', 'funny', 'laughs', 'shanieology']",29,24,none,,['https://en.wikipedia.org/wiki/Entertainment'],Shanieology,2890,142224,311,"This video is the first part of a two part series where Skeletor discusses the older He-man and the masters of the universe toy lines and compares them with the new Netflix Motu toys 

#skeletor #mastersoftheuniverserevelation"
7,uEYJidTiG_E,Teela and the Masters of the Universe Revelation Final Trailer? || Skeletor Reacts,82,12,0.0,0,2021-07-06,14:11:26,1,afternoon,3306,275,5,0,130,7.316666666666666,hd,false,False,https://i.ytimg.com/vi/uEYJidTiG_E/hqdefault.jpg,480,360,"['masters of the universe revelation', 'masters of the universe revelation trailer', 'masters of the universe', 'masters of the universe revelation reaction', 'kevin smith', 'skeletor', 'he-man', 'teela', 'netflix', ""80's cartoon"", ""80's toys"", 'skeletor laugh', 'skeletor insults', 'heman', 'Motu', 'Motu revelation trailer', 'beast-man', 'reaction', 'reaction video', 'trailer reaction', 'is kevin smith lying', 'netflix cartoon', 'trailer reaction video', 'trailer review', 'prince adam', ""80's nostalgia"", 'she-ra', 'funny', 'impression', 'laughs']",30,24,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Shanieology,2890,142224,311,"In the video Skeletor Reacts to the final trailer of the Masters of the Universe Revelation by Netflix and Kevin Smith. 

#KevinSmith #mastersoftheuniversetrailer #skeletor"
8,K5fWLyqfR-o,Disney throws employees under the Bus! Parody toy Commercial,60,9,0.0,0,2021-02-13,20:50:39,5,night,3237,595,2,0,109,1.4,hd,false,False,https://i.ytimg.com/vi/K5fWLyqfR-o/maxresdefault.jpg,1280,720,"['Mickey mouse', 'Cancel disney', 'cancel disney plus', 'gina carano', 'cancel culture', 'parody', 'funny', 'laughs', 'satire', 'comedy', 'Disney', 'walt disney', 'the mandealorian', 'disney commercial', 'toy commercial', 'snap chat', 'baby filter', 'sketch', 'skitt', 'fun', 'Johnny depp', 'luke skywalker', 'baby yoda', 'twitter mob', 'gina carano fired', 'cancelled', 'toys', ""80's toys"", 'vengabus is coming', 'cara dune', 'lucasfilm', 'star wars', 'kathleen Kennedy']",33,24,none,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",Shanieology,2890,142224,311,"This video is an 80's Commercial Parody making fun of Disney's caving to cancel culture and the firing of Gina Carano and others. In this commercial I use the Snap Chat baby filter to make myself into little kids.

#CancelDisneyplus #Ginacarano #cancelculture"
9,Dx0CVBnCSaw,Is Kevin Smith killing off Orko? Skeletor Reacts.,49,8,0.0,0,2021-07-18,13:46:05,6,afternoon,2636,283,10,0,111,4.9,hd,false,False,https://i.ytimg.com/vi/Dx0CVBnCSaw/hqdefault.jpg,480,360,"['masters of the universe', 'kevin smith', 'masters of the universe revelation', 'He-man', 'skeletor', 'skeletor laughs', 'skeletor insults', 'heman', 'orko', 'motu', 'reaction', 'reaction video', 'Netflix series', 'reacting to', 'masters of the universe revelation rumours', 'she-ra', 'funny', 'laughs', 'jokes', ""80's nostalgia"", ""80's cartoon"", ""80's toys"", ""80's show"", 'rerto cartoon', 'thundercats', 'retro cartoon', 'shanieology', 'clownfish tv', 'Motu news', 'Netflix Masters of the universe', 'teela', 'kevin smith crying']",32,24,none,,['https://en.wikipedia.org/wiki/Entertainment'],Shanieology,2890,142224,311,"In this video Skeletor reacts to the latest rumour that Kevin Smith and is new Masters of the Universe Revelation Netflix series plans to kill off Orko a much beloved character from the original.

#mastersoftheuniverse #kevinsmith #skeletor"
