,video_id,title,title_len,words,upper_pct,emoji_count,upload_date,upload_time,upload_day,upload_time_of_day,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,thumbnail_url,thumbnail_w,thumbnail_h,tags,num_tags,categoryId,liveBroadcastContent,defaultAudioLanguage,topicCategories,channel,channel_subs,channel_views,channel_videos,desc
0,fzdpKsqMOuU,"You're Welcome but every time Maui talks about himself in any way, the video speeds up",86,17,0.0,0,2016-12-31,13:35:33,5,afternoon,213822,3494,117,0,381,1.3333333333333333,hd,false,False,https://i.ytimg.com/vi/fzdpKsqMOuU/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'Maui', 'moana', 'movie', 'trailer', 'scene', 'scenes', 'shiny', ""you're"", 'your', 'welcome', 'music', 'video', 'full', 'song', 'meme', 'we', 'are', 'number', 'one', 'speeds', 'sped', 'speed', 'up', 'every', 'time', 'let', 'it', 'grow', 'memes', 'lorax', 'cocky', 'narssistic', 'how', 'bad', 'can', 'be', 'but', 'How bad can i be']",63,20,none,en,['https://en.wikipedia.org/wiki/Entertainment'],Simau,5550,300328,53,"Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

Go get some merchandise that has to do with me! I made probably all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau

Also, check out the whole YTGamer community!
www.ytgamers.com/youtuber"
1,k0IoTmGGgC0,MORTY PLAYS CS:GO (Funny Voice Trolling Moments),48,8,0.5,0,2016-04-19,00:56:33,1,late_night,18853,291,24,0,47,5.983333333333333,hd,false,False,https://i.ytimg.com/vi/k0IoTmGGgC0/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'Superbnova', 'superbnova', 'SuperbNova', 'leafyishere', 'leafy', 'is', 'here', 'luna', 'lunaa', 'austinffa', 'cs:go', 'cs', 'go', 'counter', 'strike', 'global', 'offensive', 'surfing', 'surf', 'gameplay', 'how', 'to', 'tutorial', 'call', 'of', 'duty', 'zombies', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentater', 'good', 'amazing', 'clone', 'rick', 'and', 'morty', 'dimension', 'adult', 'swim', 'justin', 'roiland', 'voice', 'trolling', 'impression', 'impressions', 'gaming', 'on', 'while']",63,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

*Do you happen to like the outro song? You can check out the Artist  here:* 
https://www.youtube.com/channel/UC0YHDld_n1yuLbhNT6Qjv7w
https://soundcloud.com/dj-zenit-official
https://itunes.apple.com/us/artist/dj-zenit/id626884594
https://twitter.com/djzenitswe

If you liked the track, you can go buy it here: 
https://itunes.apple.com/us/album/lost-woods-hardstyle-single/id741615894

Go get some merchandise that has to do with me! I made probably all of the stuff unless the description says otherwise!
http://www.simau.spreadshirt.com

Also, check out the whole YTGamer community!
www.ytgamers.com/youtuber"
2,qHv4zzSjsrM,MORDECAI & RIGBY PLAY WARZONE (Funny Voice Trolling Moments),60,8,0.5,0,2021-04-11,13:30:14,6,afternoon,16807,1811,16,0,210,6.366666666666666,hd,false,False,https://i.ytimg.com/vi/qHv4zzSjsrM/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'funny moments', 'voice', 'trolling', 'impression', 'um', 'okay', 'ig', 'umokayig', 'lin', 'manuel', 'miranda', 'carl', 'wheezer', 'plays', 'online', 'offline', 'morty', 'rick', 'and', 'regular', 'show', 'impressions', 'black', 'ops', 'modern', 'warfare', 'cod', 'call of duty', 'impersonation', 'slack', 'mordecai', 'rigby', 'muscle', 'man', 'play', 'warzone', 'War Zone', 'class', 'setup', 'setups', 'benson', 'skips', 'high', 'five', 'ghost']",70,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"Comment if you counted how many times we say ""yeayuhh""

Friends in this Video:
Sway (Rigby/Muscle Man): https://www.youtube.com/channel/UCD0L-xsWRN79EzBAMBOlH2w

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

While you're at it, keep up with me on other social media and streaming platforms!
Twitter: https://twitter.com/Simauan
TikTok: https://www.tiktok.com/@umokayig?lang=en
Twitch: https://www.twitch.tv/simauan
SoundCloud: https://soundcloud.com/umokayig

Go get some merchandise that has to do with me! I made all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau"
3,RcNDH4UQTns,Lin Manuel Miranda Reads His FanFiction,39,6,0.0,0,2017-06-26,12:07:48,0,afternoon,7400,206,6,0,54,3.966666666666667,hd,false,False,https://i.ytimg.com/vi/RcNDH4UQTns/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'hamilton', 'an', 'american', 'musical', 'moment', 'lin', 'manuel', 'miranda', 'Lin-Manuel Miranda', 'Moana', 'In', 'The', 'Heights', 'music', 'composing', 'silly', 'cinnamon', 'roll', 'fam', 'fanfic', 'fan', 'fiction', 'fanfiction', 'reads', 'his', 'about', 'himself']",52,20,none,en,['https://en.wikipedia.org/wiki/Video_game_culture'],Simau,5550,300328,53,"DISCLAIMER: This is obviously me and NOT Lin reading this, but if you thought it was Lin, thank you! Also, I did see the fight in the Hamilton facebook group chat. My opinion is to let them do what they want lol they aren't harming you, let them indulge in their fantasies. I made this so we could all get a lil laugh out of it! 

Music used:
- The Flash CW Theme Song
- How to Train Your Dragon Score: Forbidden Friendship

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

Go get some merchandise that has to do with me! I made probably all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau

Also, check out the whole YTGamer community!
www.ytgamers.com/youtuber"
4,lrBelyIU90o,CARL WHEEZER GETS BOOTED OFFLINE (Funny Voice Trolling Moments Call of Duty: Modern Warfare),92,14,0.35714285714285715,0,2020-10-22,00:31:00,3,late_night,4902,155,2,0,13,4.95,hd,false,False,https://i.ytimg.com/vi/lrBelyIU90o/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'umokayig', 'um', 'okay', 'ig', 'carl', 'wheezer', 'plays', 'modern', 'warfare', 'voice', 'impression', 'trolling', 'impressions', 'cold', 'war', 'beta', 'jimmys', 'jimmy', 'neutron', 'mom', 'warzone']",46,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"This one goes out to Vegabomb. Let's collab sometime my guy :) 

Also.. there is a hidden message in the captions. If yall can find it, comment it!

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

Go get some merchandise that has to do with me! I made probably all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau

Also, check out the whole YTGamer community!
www.ytgamers.com/youtuber"
5,EtthSHsayfQ,MORDECAI & RIGBY PLAY MORE WARZONE (Funny Warzone Voice Impression Moments),75,10,0.5,0,2021-04-25,13:30:19,6,afternoon,2919,350,1,0,53,3.966666666666667,hd,false,False,https://i.ytimg.com/vi/EtthSHsayfQ/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'funny moments', 'voice', 'trolling', 'impression', 'um', 'okay', 'ig', 'umokayig', 'lin', 'manuel', 'miranda', 'carl', 'wheezer', 'plays', 'online', 'offline', 'morty', 'rick', 'and', 'mordecai', 'rigby', 'regular', 'show', 'regular show', 'benson', 'muscle', 'man', 'impressions', 'gold', 'buzzer', 'agt', 'funniest', 'warzone', 'wz', 'trailer', 'nuke', 'event', 'tiktok', 'simauan', 'sim']",65,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"Subscribe to Rigby:
https://www.youtube.com/channel/UCD0L-xsWRN79EzBAMBOlH2w

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

While you're at it, keep up with me on other social media and streaming platforms!
Twitter: https://twitter.com/Simauan
TikTok: https://www.tiktok.com/@umokayig?lang=en
Twitch: https://www.twitch.tv/simauan
SoundCloud: https://soundcloud.com/umokayig

Go get some merchandise that has to do with me! I made all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau"
6,ysmKj_VK25g,5. Last Christmas (Carl Wheezer Sings Christmas Classics Vol. 1) READ PINNED COMMENT,84,13,0.23076923076923078,0,2020-11-27,13:00:12,4,afternoon,2575,78,0,0,14,2.533333333333333,hd,false,False,https://i.ytimg.com/vi/ysmKj_VK25g/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'funny moments', 'voice', 'trolling', 'impression', 'um', 'okay', 'ig', 'umokayig', 'lin', 'manuel', 'miranda', 'carl', 'wheezer', 'plays', 'online', 'offline', 'morty', 'rick', 'and', 'sings', 'christmas', 'classics', 'holiday', 'xmas', 'tune', 'tunes', 'vol', 'volume', 'one', 'vol 1', 'album', 'wham', 'last', 'cover', 'singing', 'sing', 'song', 'songs', 'hits', 'hit', 'mariah', 'carey', 'andy', 'williams', 'josh', 'groban', 'jimmy', 'neutron', 'jimmys', 'mom']",75,24,none,en,['https://en.wikipedia.org/wiki/Music'],Simau,5550,300328,53,"I'll be releasing one of these each week all the way up until Christmas! Today, however, I'm releasing both this one and ""The Most Wonderful Time Of The Year!"" Enjoy! And please share with your friends! :)

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

While you're at it, keep up with me on other social media and streaming platforms!
Twitter: https://twitter.com/Simauan
TikTok: https://www.tiktok.com/@umokayig?lang=en
Twitch: https://www.twitch.tv/simauan
SoundCloud: https://soundcloud.com/umokayig

Go get some merchandise that has to do with me! I made all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau"
7,bVDCpbSWFiA,RICK AND MORTY PLAY FRIDAY THE 13TH (Voice Impression Funny Moments),68,11,0.6363636363636364,0,2017-08-01,20:34:11,1,night,2431,52,5,0,23,6.483333333333333,hd,false,False,https://i.ytimg.com/vi/bVDCpbSWFiA/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'rick', 'and', 'morty', 'season 3', 'season', 'three', 'play', 'impression', 'voice', 'tutorial', 'impressions', 'videogames', 'BCC', 'Trolling', 'Friday', 'the', '13th', 'Game', 'trolling', 'chris', 'ray', 'gun', 'sounds', 'like', 'pizza', 'justin', 'roiland', 'szechuan', 'sauce']",54,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"oh no broh, Rick got Morty into some deep trouble in this one broh. woah.

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

Go get some merchandise that has to do with me! I made probably all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau

Also, check out the whole YTGamer community!
www.ytgamers.com/youtuber"
8,m8tOTfyx5PI,GRUNKLE STAN PLAYS MODERN WARFARE?! (Funny Gravity Falls Call of Duty Moments!!),80,12,0.4166666666666667,0,2020-10-31,12:07:11,5,afternoon,1824,102,0,0,6,4.116666666666666,hd,false,False,https://i.ytimg.com/vi/m8tOTfyx5PI/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'funny moments', 'voice', 'trolling', 'impression', 'um', 'okay', 'ig', 'umokayig', 'lin', 'manuel', 'miranda', 'carl', 'wheezer', 'plays', 'online', 'offline', 'morty', 'rick', 'and', 'gravity', 'falls', 'stan', 'stanley', 'stanford', 'pines', 'greatest', 'one', 'liner', 'liners', 'dipper', 'impressions', 'Grunkle', 'cold', 'war', 'modern', 'warfare', 'warzone', 'alex', 'hirsch', 'actor', 'actors', 'justin', 'roiland', 'facts', 'realistic']",70,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"Hey guys! Hope you enjoyed this video! I released it a day early in celebration of Halloween! The voice itself is still a work in progress so it's definitely nowhere near perfect. Read more below for some fun little things :)

HUGE Thank you to Phizzy for a tutorial on creating the title text from Gravity Falls! It's how I created the thumbnail as well as the little intro I animated at the beginning. Go check him out: https://www.youtube.com/channel/UCcV1EjpBgmIKkQRTO2g529g

Outro Song creator:
https://soundcloud.com/lakeyinspired

Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

Go get some merchandise that has to do with me! I made probably all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau"
9,7iTOmJ46_5U,BEST OF 2020 COMPILATION (Best & Funny Moments),47,7,0.42857142857142855,0,2020-12-31,19:00:01,3,night,1717,79,3,0,22,8.133333333333333,hd,false,False,https://i.ytimg.com/vi/7iTOmJ46_5U/maxresdefault.jpg,1280,720,"['imsimau', 'siimau', 'simau', 'ImSimau', 'Simauan', 'Samoan', 'LDS', 'Mormon', 'Gamer', 'gamer', 'mormon', 'itssimau', 'ItsSimau', 'gameplay', 'call', 'of', 'duty', 'best', 'moments', 'funny', 'commentary', 'commentate', 'commentator', 'good', 'amazing', 'funny moments', 'voice', 'trolling', 'impression', 'um', 'okay', 'ig', 'umokayig', 'lin', 'manuel', 'miranda', 'carl', 'wheezer', 'plays', 'online', 'offline', 'morty', 'rick', 'and', 'grunkle', 'stan', 'gravity', 'falls', 'rewind', '2020', 'recap', 'among', 'us', 'impressions', '4k', 'webcam', 'avermedia', '513', 'twitch', 'stream', 'streaming', 'streamer']",62,20,none,en,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",Simau,5550,300328,53,"HAPPY NEW YEAR EVERYONE!
2020 is about to be over (Finally.) Even though, I only started uploading again a month or two ago, I thought it would be fun to recap on the best moments of 2020 (in my opinion) :) Hope you all enjoy and I'll see you next year!

Friends featured in this video:
Dai/Stephen: https://www.youtube.com/user/TheDAITrickster
Hunter: https://www.youtube.com/user/hjackson409


Like, Comment, and become a Simauan by Subscribing!
https://www.youtube.com/subscription_center?add_user=SuperbNovaGaming

While you're at it, keep up with me on other social media and streaming platforms!
Twitter: https://twitter.com/Simauan
TikTok: https://www.tiktok.com/@umokayig?lang=en
Twitch: https://www.twitch.tv/simauan
SoundCloud: https://soundcloud.com/umokayig

Go get some merchandise that has to do with me! I made all of the stuff unless the description says otherwise!
https://www.teepublic.com/user/simau"
