video_id,thumbnail_url,labels,faces,texts,adult,medical,racy,spoof,violence
eyyTBJUKI3c,https://i.ytimg.com/vi/eyyTBJUKI3c/hqdefault.jpg,"['Action figure', 'Animated cartoon', 'Animation', 'Art', 'Cartoon', 'Costume', 'Drawing', 'Electric blue', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Gesture', 'Hero', 'Illustration', 'Photo caption', 'Superhero']",[],"['A', 'AND', 'BAIT', 'R.I.P.', 'SWITCH!', 'THIS', 'THIS WAS A BAIT\nAND SWITCH!\nR.I.P.\n', 'WAS']",UNLIKELY,UNLIKELY,UNLIKELY,LIKELY,UNLIKELY
S1Bmx8Dti6Y,https://i.ytimg.com/vi/S1Bmx8Dti6Y/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Art', 'Entertainment', 'Event', 'Eyewear', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Games', 'Graphic design', 'Hat', 'Illustration', 'Magenta', 'Music', 'Music artist', 'Performance', 'Performing arts', 'Photo caption', 'Public event', 'Purple', 'Screenshot', 'Suit', 'Tie', 'Violet']","['other', 'other', 'other', 'other', 'other']","['Stop', 'Stop exploiting\nour nostalgia!\n', 'exploiting', 'nostalgia!', 'our']",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,LIKELY,UNLIKELY
DStvv0peyYQ,https://i.ytimg.com/vi/DStvv0peyYQ/hqdefault.jpg,"['Advertising', 'Animated cartoon', 'Animation', 'Art', 'Bow tie', 'Cartoon', 'Comics', 'Conversation', 'Event', 'Eyewear', 'Facial expression', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Gesture', 'Happy', 'Humour', 'Illustration', 'Interaction', 'Magenta', 'Moustache', 'Organism', 'Photo caption', 'Publication', 'Purple', 'Smile', 'Suit', 'Violet']","['other', 'other', 'other', 'other']","['1', '5', 'Hollywood', 'I', ""I wonder why we don't trust\nHollywood with our characters?\nTop 5\nworst reboot\noffences\nPART 1\n"", 'PART', 'Top', 'characters?', ""don't"", 'offences', 'our', 'reboot', 'trust', 'we', 'why', 'with', 'wonder', 'worst']",UNLIKELY,UNLIKELY,VERY_UNLIKELY,LIKELY,UNLIKELY
PCwtNUQ3t30,https://i.ytimg.com/vi/PCwtNUQ3t30/maxresdefault.jpg,"['Animated cartoon', 'Animation', 'Art', 'Cartoon', 'Cool', 'Costume', 'Electric blue', 'Event', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Gesture', 'Happy', 'Humour', 'Magenta', 'Organism', 'Purple', 'Sleeve', 'Vertebrate']",[],"['ETERNIA', 'No', 'SHORE', 'So...', ""So...\nWhy no\nTeela toy?\nNo one want's\nto play with me?\nETERNIA\nSHORE\n"", 'Teela', 'Why', 'me?', 'no', 'one', 'play', 'to', 'toy?', ""want's"", 'with']",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,LIKELY,UNLIKELY
yiQto5PfuII,https://i.ytimg.com/vi/yiQto5PfuII/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Art', 'Electric blue', 'Entertainment', 'Event', 'Fiction', 'Fictional character', 'Font', 'Gesture', 'Hat', 'Illustration', 'Movie', 'Photo caption', 'Poster']",['other'],"['SOMETHING', 'SOMETHING\nSTINKS!\n', 'STINKS!']",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,POSSIBLE,UNLIKELY
Q3ut3A07N-0,https://i.ytimg.com/vi/Q3ut3A07N-0/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Beard', 'Cartoon', 'Comedy', 'Comics', 'Electric blue', 'Entertainment', 'Event', 'Facial expression', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Happy', 'Hat', 'Logo', 'Magenta', 'Mask', 'Microphone', 'Organ', 'Organism', 'Photo caption', 'Product', 'Smile', 'T-shirt']",['suprised'],"['Can', 'Can you tll\nthem apan?\nHeyits\nspelled Khan\nnot con!""\n', 'Heyits', 'Khan', 'apan?', 'con!""', 'not', 'spelled', 'them', 'tll', 'you']",UNLIKELY,UNLIKELY,VERY_UNLIKELY,LIKELY,UNLIKELY
v2bjQITEACQ,https://i.ytimg.com/vi/v2bjQITEACQ/hqdefault.jpg,"['Adaptation', 'Animated cartoon', 'Animation', 'Art', 'Event', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Happy', 'Organism', 'Photo caption', 'Sharing', 'Terrestrial plant']",['other'],"['Is', 'Is Moss-man proof\nthat the new Motu\nis woke?\nYou never nofice\nme Skeletad\n', 'Moss-man', 'Motu', 'Skeletad', 'You', 'is', 'me', 'never', 'new', 'nofice', 'proof', 'that', 'the', 'woke?']",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,LIKELY,UNLIKELY
uEYJidTiG_E,https://i.ytimg.com/vi/uEYJidTiG_E/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Art', 'Cartoon', 'Comics', 'Community', 'Conversation', 'Event', 'Fiction', 'Fictional character', 'Fun', 'Illustration', 'Screenshot', 'Sharing']",['other'],"['Beostman', 'Masters', 'Teela', 'Teela\nand the\nMasters of The Universe\ntrailer?\nWhich ane is Beostman again?\n', 'The', 'Universe', 'Which', 'again?', 'and', 'ane', 'is', 'of', 'the', 'trailer?']",UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_LIKELY,UNLIKELY
K5fWLyqfR-o,https://i.ytimg.com/vi/K5fWLyqfR-o/maxresdefault.jpg,"['Bangs', 'Black hair', 'Cheek', 'Child', 'Chin', 'Ear', 'Eyebrow', 'Eyelash', 'Facial expression', 'Fun', 'Happy', 'Iris', 'Jaw', 'Lip', 'Mouth', 'Nose', 'Organ', 'People', 'Picture frame', 'Room', 'Selfie', 'Shout', 'Sweetness', 'T-shirt', 'Toddler', 'Tongue', 'Tooth', 'Toy']",['suprised'],[],POSSIBLE,UNLIKELY,UNLIKELY,LIKELY,POSSIBLE
Dx0CVBnCSaw,https://i.ytimg.com/vi/Dx0CVBnCSaw/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Art', 'Cool', 'Electric blue', 'Entertainment', 'Event', 'Eyewear', 'Fictional character', 'Font', 'Fun', 'Gesture', 'Graphic design', 'Happy', 'Hat', 'Illustration', 'Magenta', 'Movie', 'Photo caption', 'Poster', 'Purple', 'Violet']",['other'],"['?', 'How', 'How could you\nKevin Smith?\nR:I.P.\nOrko ?\n', 'Kevin', 'Orko', 'R:I.P.', 'Smith?', 'could', 'you']",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,POSSIBLE,UNLIKELY
J7R0eBLMtns,https://i.ytimg.com/vi/J7R0eBLMtns/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Beard', 'Cloud', 'Community', 'Cool', 'Costume', 'Entertainment', 'Event', 'Eyewear', 'Fictional character', 'Font', 'Fun', 'Gesture', 'Happy', 'Hat', 'Headgear', 'Leisure', 'Magenta', 'Moustache', 'Performing arts', 'Photo caption', 'Sky']",['other'],"['(LIAR!', '(LIAR!\n']",UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,LIKELY,UNLIKELY
h7k1fNkaHl4,https://i.ytimg.com/vi/h7k1fNkaHl4/hqdefault.jpg,"['Advertising', 'Black hair', 'Brand', 'Cool', 'Entertainment', 'Event', 'Eyelash', 'Fictional character', 'Font', 'Fun', 'Games', 'Happy', 'Human', 'Magenta', 'Movie', 'Photo caption', 'Product', 'Publication', 'Recreation', 'T-shirt']",['other'],"['HEE', 'HEE\nSKELETOR\nVOICE\nTUTORIAL\n', 'SKELETOR', 'TUTORIAL', 'VOICE']",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,POSSIBLE,UNLIKELY
vD2iFu3vvlE,https://i.ytimg.com/vi/vD2iFu3vvlE/hqdefault.jpg,"['Animated cartoon', 'Animation', 'Art', 'Beard', 'Cap', 'Cartoon', 'Comedy', 'Cool', 'Entertainment', 'Event', 'Eyewear', 'Fiction', 'Fictional character', 'Font', 'Fun', 'Gesture', 'Hairstyle', 'Happy', 'Humour', 'Moustache', 'Mouth', 'Photo caption', 'Sign language', 'T-shirt', 'Thumb']",['other'],"['Faker?', 'Who', 'Who is the\nreal Faker?\n', 'is', 'real', 'the']",UNLIKELY,UNLIKELY,UNLIKELY,POSSIBLE,UNLIKELY
